Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-09-07\2022-09-07_22;11;11_TP11_01.vdt
Sample ID	TP11
Method File Name	PS CONV-0000.vcm
Date Acquired	Sep 07, 2022 - 22:11:11
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.152

Ret. Vol.	 16.45
Mn - (Daltons)	  7761
Mw - (Daltons)	 12031
Mz - (Daltons)	 17691
Mp - (Daltons)	  9822
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	301.97
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	-1.907	 2.976	 5.646	 8.927	21.668	35.50218							
0.00333	-1.907	 2.976	 5.646	 9.003	21.439	35.32822							
0.00667	-1.984	 2.976	 5.646	 8.927	21.363	35.10544							
0.01000	-2.365	 3.052	 5.570	 8.927	21.287	34.96200							
0.01333	-2.075	 2.991	 5.615	 8.911	21.409	35.15976							
0.01667	-2.152	 2.991	 5.585	 8.896	21.332	35.03769							
0.02000	-2.213	 2.991	 5.570	 8.881	21.363	34.94613							
0.02333	-2.274	 3.006	 5.554	 8.850	21.409	34.89547							
0.02667	-2.243	 3.006	 5.570	 8.820	21.485	34.87655							
0.03000	-2.228	 3.021	 5.570	 8.850	21.622	34.87777							
0.03333	-2.213	 3.021	 5.585	 8.835	21.744	34.88693							
0.03667	-2.197	 3.021	 5.570	 8.805	21.805	34.90097							
0.04000	-2.167	 3.006	 5.554	 8.789	21.882	34.91989							
0.04333	-2.152	 2.991	 5.524	 8.774	21.943	34.94308							
0.04667	-2.121	 2.991	 5.509	 8.759	21.943	34.96688							
0.05000	-2.091	 2.991	 5.509	 8.774	21.973	34.98703							
0.05333	-2.106	 2.991	 5.524	 8.774	22.019	35.00656							
0.05667	-2.106	 3.006	 5.493	 8.805	22.065	35.02792							
0.06000	-2.091	 3.006	 5.493	 8.820	22.141	35.04990							
0.06333	-2.091	 2.991	 5.463	 8.820	22.172	35.06821							
