Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-04\2022-10-04_16;52;42_TP13_01.vdt
Sample ID	TP13
Method File Name	ps conv-0003.vcm
Date Acquired	Oct 04, 2022 - 16:52:42
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.818

Ret. Vol.	 14.76
Mn - (Daltons)	 47208
Mw - (Daltons)	 78584
Mz - (Daltons)	114683
Mp - (Daltons)	 76837
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	 32.62
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	11.216	 2.976	74.923	47.914	25.559	35.70055							
0.00333	10.987	 2.976	74.999	47.838	25.407	35.55711							
0.00667	10.758	 2.976	74.770	47.914	25.254	35.16648							
0.01000	10.605	 3.052	74.847	47.838	24.796	34.76669							
0.01333	10.788	 2.976	74.877	47.853	25.163	35.13596							
0.01667	10.605	 2.976	74.877	47.838	25.056	34.86007							
0.02000	10.453	 2.976	74.862	47.807	25.025	34.59090							
0.02333	10.346	 2.976	74.877	47.792	25.056	34.38520							
0.02667	10.285	 2.976	74.847	47.761	25.254	34.25336							
0.03000	10.285	 2.976	74.847	47.761	25.498	34.17890							
0.03333	10.285	 2.976	74.847	47.746	25.758	34.14655							
0.03667	10.346	 2.976	74.862	47.746	26.017	34.14899							
0.04000	10.392	 2.976	74.862	47.716	26.276	34.18073							
0.04333	10.453	 2.976	74.908	47.746	26.505	34.23444							
0.04667	10.483	 2.991	74.923	47.761	26.704	34.30524							
0.05000	10.544	 2.991	74.908	47.792	26.887	34.37971							
0.05333	10.590	 2.991	74.892	47.807	27.039	34.45112							
0.05667	10.651	 2.991	74.908	47.807	27.161	34.51338							
0.06000	10.681	 2.960	74.892	47.792	27.268	34.56770							
0.06333	10.743	 2.976	74.877	47.792	27.360	34.61348							
0.06667	10.758	 2.976	74.892	47.761	27.406	34.65255							
0.07000	10.758	 2.991	74.877	47.777	27.467	34.68612							
0.07333	10.743	 2.991	74.892	47.792	27.528	34.71969							
0.07667	10.758	 3.006	74.892	47.823	27.573	34.75448							
0.08000	10.743	 2.976	74.892	47.823	27.619	34.78439							
0.08333	10.773	 2.976	74.892	47.853	27.665	34.81002							
0.08667	10.788	 2.960	74.923	47.838	27.665	34.83260							
0.09000	10.804	 2.960	74.892	47.868	27.680	34.85153							
0.09333	10.788	 2.960	74.892	47.853	27.665	34.86801							
0.09667	10.788	 2.976	74.877	47.868	27.650	34.88144							
0.10000	10.788	 2.960	74.862	47.838	27.635	34.89364							
0.10333	10.804	 2.960	74.831	47.838	27.635	34.90646							
0.10667	10.834	 2.960	74.816	47.823	27.619	34.92355							
0.11000	10.865	 2.960	74.816	47.807	27.635	34.94003							
0.11333	10.880	 2.976	74.816	47.777	27.619	34.95529							
0.11667	10.865	 2.976	74.831	47.792	27.619	34.97177							
0.12000	10.865	 2.991	74.816	47.792	27.619	34.99008							
0.12333	10.849	 2.991	74.847	47.777	27.604	35.00961							
0.12667	10.834	 3.006	74.862	47.761	27.573	35.02731							
0.13000	10.834	 3.006	74.877	47.777	27.543	35.04562							
0.13333	10.880	 3.021	74.862	47.761	27.528	35.06333							
0.13667	10.880	 3.006	74.892	47.761	27.467	35.08286							
0.14000	10.895	 3.006	74.862	47.777	27.436	35.09934							
0.14333	10.926	 2.991	74.831	47.807	27.421	35.11216							
0.14667	10.926	 2.960	74.831	47.792	27.406	35.12253							
0.15000	10.910	 2.945	74.847	47.807	27.345	35.13413							
0.15333	10.895	 2.945	74.831	47.807	27.329	35.14573							
0.15667	10.895	 2.945	74.831	47.792	27.299	35.15549							
0.16000	10.895	 2.945	74.847	47.792	27.253	35.16526							
0.16333	10.910	 2.960	74.831	47.792	27.223	35.17502							
0.16667	10.926	 2.976	74.816	47.761	27.207	35.18662							
0.17000	10.926	 2.976	74.816	47.777	27.223	35.19761							
0.17333	10.926	 2.976	74.831	47.777	27.207	35.20798							
0.17667	10.910	 2.976	74.831	47.731	27.192	35.21653							
0.18000	10.910	 2.991	74.847	47.746	27.192	35.22630							
0.18333	10.910	 2.991	74.847	47.777	27.177	35.23545							
0.18667	10.941	 2.976	74.847	47.777	27.100	35.24400							
0.19000	10.941	 2.976	74.862	47.777	27.100	35.25071							
0.19333	10.956	 2.960	74.847	47.823	27.055	35.25742							
0.19667	10.941	 2.945	74.816	47.807	26.994	35.26658							
0.20000	10.941	 2.945	74.801	47.792	26.948	35.27695							
0.20333	10.941	 2.960	74.786	47.792	26.933	35.28489							
0.20667	10.941	 2.960	74.786	47.807	26.887	35.29160							
0.21000	10.926	 2.976	74.786	47.792	26.856	35.29893							
0.21333	10.941	 2.976	74.801	47.777	26.872	35.30808							
0.21667	10.941	 2.976	74.816	47.777	26.872	35.31663							
0.22000	10.926	 2.976	74.831	47.777	26.887	35.32090							
0.22333	10.910	 2.976	74.801	47.761	26.841	35.31907							
0.22667	10.926	 2.976	74.831	47.777	26.811	35.31297							
0.23000	10.956	 2.976	74.877	47.807	26.749	35.29893							
0.23333	10.926	 2.976	74.877	47.838	26.688	35.27818							
0.23667	10.910	 2.976	74.877	47.838	26.627	35.25559							
0.24000	10.910	 2.976	74.877	47.823	26.612	35.23789							
