Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-04\2022-10-04_17;23;49_TP14_01.vdt
Sample ID	TP14
Method File Name	ps conv-0003.vcm
Date Acquired	Oct 04, 2022 - 17:23:49
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.956

Ret. Vol.	 17.05
Mn - (Daltons)	  4345
Mw - (Daltons)	  5630
Mz - (Daltons)	  7346
Mp - (Daltons)	  4780
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	658.57
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	11.139	 2.976	74.847	47.990	26.475	35.67614							
0.00333	10.910	 2.976	74.847	47.838	26.399	35.43809							
0.00667	10.681	 2.976	74.847	47.609	25.864	35.07797							
0.01000	10.605	 2.976	74.770	47.990	25.864	34.80941							
0.01333	10.758	 2.960	74.831	47.838	26.109	35.12864							
0.01667	10.636	 2.976	74.816	47.807	26.032	34.90158							
0.02000	10.529	 2.976	74.816	47.807	26.002	34.70687							
0.02333	10.468	 2.976	74.801	47.838	26.124	34.57808							
0.02667	10.437	 2.976	74.831	47.807	26.322	34.50484							
0.03000	10.437	 2.991	74.831	47.838	26.521	34.47249							
0.03333	10.453	 2.991	74.831	47.838	26.719	34.46516							
0.03667	10.453	 2.991	74.831	47.853	26.917	34.47676							
0.04000	10.498	 2.991	74.862	47.838	27.100	34.50240							
0.04333	10.544	 2.991	74.877	47.838	27.238	34.53658							
0.04667	10.575	 2.991	74.847	47.807	27.390	34.57259							
0.05000	10.605	 2.976	74.862	47.761	27.512	34.60921							
0.05333	10.666	 2.976	74.877	47.731	27.604	34.64705							
0.05667	10.681	 2.976	74.877	47.746	27.696	34.68550							
0.06000	10.697	 2.976	74.831	47.700	27.757	34.72335							
0.06333	10.727	 2.960	74.847	47.716	27.818	34.75814							
0.06667	10.743	 2.960	74.831	47.746	27.879	34.79049							
0.07000	10.758	 2.976	74.801	47.761	27.955	34.82223							
