Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-01-17\2023-01-17_23;43;15_TP15R_01.vdt
Sample ID	TP15R
Method File Name	ps conv-0004.vcm
Date Acquired	Jan 17, 2023 - 23:43:15
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.943

Ret. Vol.	 16.10
Mn - (Daltons)	 11693
Mw - (Daltons)	 18534
Mz - (Daltons)	 27615
Mp - (Daltons)	 15750
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	558.92
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 1.297	 3.052	 5.570	 8.927	41.276	35.45030							
0.00333	 1.144	 2.976	 5.646	 9.003	41.429	35.43504							
0.00667	 1.068	 3.052	 5.493	 9.079	41.353	35.30076							
0.01000	 0.916	 2.976	 5.493	 8.927	41.124	35.14206							
0.01333	 1.038	 3.021	 5.524	 8.957	41.215	35.27329							
0.01667	 0.946	 3.006	 5.493	 8.911	41.169	35.17624							
0.02000	 0.839	 3.006	 5.463	 8.881	41.108	35.07615							
0.02333	 0.748	 2.991	 5.448	 8.835	41.063	34.99924							
0.02667	 0.717	 2.991	 5.432	 8.835	41.078	34.94980							
0.03000	 0.702	 2.976	 5.463	 8.835	41.154	34.91806							
0.03333	 0.656	 2.991	 5.493	 8.866	41.215	34.90097							
0.03667	 0.671	 3.006	 5.509	 8.866	41.261	34.89120							
0.04000	 0.717	 3.006	 5.524	 8.881	41.322	34.88754							
0.04333	 0.702	 3.021	 5.554	 8.881	41.383	34.89059							
0.04667	 0.702	 3.021	 5.554	 8.881	41.429	34.89669							
0.05000	 0.748	 3.021	 5.539	 8.896	41.459	34.90524							
0.05333	 0.763	 3.006	 5.539	 8.881	41.490	34.91745							
0.05667	 0.778	 3.006	 5.539	 8.881	41.536	34.92965							
0.06000	 0.809	 3.006	 5.539	 8.881	41.566	34.94186							
0.06333	 0.824	 3.021	 5.524	 8.881	41.581	34.95529							
0.06667	 0.839	 3.021	 5.524	 8.881	41.627	34.96933							
0.07000	 0.839	 3.037	 5.524	 8.911	41.688	34.98154							
0.07333	 0.839	 3.021	 5.509	 8.927	41.719	34.99252							
0.07667	 0.855	 3.021	 5.493	 8.927	41.734	35.00229							
0.08000	 0.855	 3.021	 5.493	 8.927	41.765	35.01389							
0.08333	 0.855	 3.021	 5.493	 8.896	41.765	35.02609							
0.08667	 0.870	 3.021	 5.493	 8.896	41.749	35.03830							
0.09000	 0.885	 3.037	 5.509	 8.866	41.734	35.04929							
0.09333	 0.870	 3.021	 5.524	 8.866	41.734	35.06149							
0.09667	 0.885	 3.021	 5.524	 8.881	41.749	35.07492							
0.10000	 0.855	 3.006	 5.524	 8.881	41.765	35.08652							
0.10333	 0.870	 2.991	 5.509	 8.835	41.749	35.09446							
0.10667	 0.855	 3.006	 5.493	 8.835	41.734	35.09934							
0.11000	 0.870	 3.021	 5.509	 8.820	41.719	35.09812							
0.11333	 0.870	 3.021	 5.509	 8.805	41.673	35.08469							
0.11667	 0.885	 3.021	 5.524	 8.820	41.643	35.05539							
0.12000	 0.855	 3.037	 5.539	 8.866	41.627	35.01144							
0.12333	 0.778	 3.037	 5.570	 8.850	41.581	34.95895							
0.12667	 0.732	 3.037	 5.554	 8.850	41.566	34.89914							
0.13000	 0.702	 3.037	 5.570	 8.866	41.566	34.83688							
0.13333	 0.656	 3.037	 5.570	 8.850	41.551	34.77828							
0.13667	 0.626	 3.021	 5.570	 8.835	41.566	34.72457							
0.14000	 0.610	 3.006	 5.570	 8.850	41.612	34.67513							
0.14333	 0.580	 2.991	 5.554	 8.835	41.627	34.63179							
0.14667	 0.580	 2.976	 5.570	 8.820	41.643	34.59212							
0.15000	 0.565	 2.976	 5.570	 8.850	41.673	34.55550							
0.15333	 0.534	 2.991	 5.554	 8.850	41.673	34.52315							
0.15667	 0.565	 2.991	 5.554	 8.835	41.704	34.49507							
0.16000	 0.549	 2.991	 5.570	 8.850	41.734	34.46943							
0.16333	 0.519	 3.006	 5.554	 8.850	41.765	34.44563							
0.16667	 0.504	 3.006	 5.539	 8.835	41.795	34.42488							
0.17000	 0.519	 3.006	 5.524	 8.835	41.841	34.40657							
0.17333	 0.504	 3.006	 5.524	 8.866	41.871	34.39131							
0.17667	 0.504	 3.006	 5.524	 8.881	41.917	34.37544							
0.18000	 0.504	 3.006	 5.524	 8.896	41.978	34.36262							
0.18333	 0.519	 3.006	 5.539	 8.896	42.024	34.35347							
0.18667	 0.504	 3.006	 5.570	 8.896	42.085	34.34980							
0.19000	 0.488	 3.006	 5.570	 8.896	42.131	34.34919							
0.19333	 0.519	 3.021	 5.554	 8.896	42.192	34.35286							
0.19667	 0.519	 3.006	 5.524	 8.881	42.222	34.36018							
0.20000	 0.534	 3.006	 5.493	 8.896	42.253	34.37666							
0.20333	 0.565	 2.991	 5.493	 8.911	42.283	34.40107							
0.20667	 0.595	 2.991	 5.493	 8.896	42.314	34.43098							
0.21000	 0.595	 2.991	 5.493	 8.896	42.314	34.46638							
0.21333	 0.626	 3.006	 5.509	 8.896	42.314	34.50850							
0.21667	 0.656	 3.006	 5.524	 8.881	42.329	34.55061							
0.22000	 0.656	 3.006	 5.493	 8.881	42.360	34.59273							
0.22333	 0.687	 3.021	 5.493	 8.866	42.360	34.63424							
0.22667	 0.717	 3.006	 5.493	 8.866	42.360	34.67757							
0.23000	 0.732	 2.991	 5.509	 8.850	42.405	34.72029							
0.23333	 0.732	 2.991	 5.493	 8.835	42.390	34.76302							
0.23667	 0.748	 2.991	 5.539	 8.820	42.360	34.80392							
0.24000	 0.732	 2.991	 5.493	 8.835	42.344	34.84298							
0.24333	 0.763	 3.006	 5.493	 8.805	42.314	34.88083							
0.24667	 0.778	 3.021	 5.509	 8.820	42.268	34.91928							
0.25000	 0.793	 3.021	 5.539	 8.820	42.238	34.95773							
0.25333	 0.839	 3.021	 5.524	 8.805	42.192	34.99313							
0.25667	 0.855	 3.006	 5.570	 8.805	42.146	35.02792							
0.26000	 0.855	 3.006	 5.585	 8.835	42.131	35.06210							
0.26333	 0.839	 2.991	 5.554	 8.866	42.070	35.09628							
0.26667	 0.870	 3.006	 5.554	 8.911	42.055	35.12803							
0.27000	 0.885	 3.006	 5.524	 8.942	42.009	35.15915							
0.27333	 0.931	 3.021	 5.524	 8.942	41.963	35.19272							
0.27667	 0.961	 3.021	 5.509	 8.927	41.902	35.22568							
0.28000	 1.007	 3.037	 5.509	 8.896	41.856	35.25559							
0.28333	 1.007	 3.021	 5.509	 8.866	41.765	35.28306							
0.28667	 0.992	 3.021	 5.539	 8.850	41.688	35.30747							
0.29000	 1.038	 3.021	 5.539	 8.835	41.627	35.32822							
0.29333	 1.022	 3.006	 5.524	 8.835	41.566	35.34715							
0.29667	 1.038	 3.006	 5.539	 8.866	41.505	35.36363							
0.30000	 1.053	 3.021	 5.509	 8.866	41.459	35.37828							
0.30333	 1.053	 3.021	 5.493	 8.866	41.429	35.39476							
0.30667	 1.007	 3.006	 5.478	 8.881	41.383	35.41002							
0.31000	 0.977	 3.006	 5.509	 8.881	41.337	35.42466							
0.31333	 0.977	 2.976	 5.493	 8.850	41.307	35.43809							
0.31667	 1.022	 2.960	 5.524	 8.866	41.276	35.44969							
0.32000	 1.053	 2.960	 5.539	 8.866	41.231	35.46068							
0.32333	 1.099	 2.960	 5.570	 8.866	41.185	35.47044							
0.32667	 1.129	 2.960	 5.570	 8.881	41.108	35.47899							
0.33000	 1.129	 2.976	 5.585	 8.881	41.032	35.48448							
0.33333	 1.099	 2.976	 5.570	 8.881	40.986	35.49059							
0.33667	 1.083	 2.976	 5.570	 8.866	40.941	35.49608							
0.34000	 1.038	 2.976	 5.570	 8.866	40.910	35.50096							
0.34333	 1.038	 2.976	 5.554	 8.850	40.880	35.50279							
0.34667	 1.022	 2.991	 5.554	 8.850	40.834	35.50462							
0.35000	 1.022	 2.991	 5.570	 8.835	40.773	35.50645							
0.35333	 1.068	 2.976	 5.539	 8.850	40.727	35.50645							
0.35667	 1.099	 2.991	 5.524	 8.850	40.681	35.50645							
0.36000	 1.114	 3.006	 5.539	 8.835	40.635	35.50584							
0.36333	 1.129	 3.006	 5.539	 8.820	40.620	35.50584							
0.36667	 1.099	 3.021	 5.539	 8.835	40.605	35.50706							
0.37000	 1.038	 3.052	 5.554	 8.866	40.590	35.50890							
0.37333	 0.992	 3.052	 5.570	 8.866	40.544	35.50829							
0.37667	 0.977	 3.037	 5.554	 8.896	40.513	35.50890							
0.38000	 0.961	 3.037	 5.539	 8.896	40.483	35.50951							
0.38333	 0.977	 3.037	 5.554	 8.881	40.437	35.51073							
0.38667	 0.992	 3.021	 5.570	 8.835	40.361	35.51073							
0.39000	 1.007	 3.006	 5.570	 8.835	40.330	35.51195							
0.39333	 1.038	 3.006	 5.600	 8.835	40.345	35.51134							
0.39667	 1.022	 2.991	 5.631	 8.835	40.315	35.51317							
0.40000	 0.992	 2.976	 5.615	 8.835	40.300	35.51195							
0.40333	 0.992	 2.976	 5.615	 8.850	40.315	35.51012							
0.40667	 1.007	 2.976	 5.600	 8.866	40.300	35.50645							
0.41000	 0.992	 2.976	 5.585	 8.866	40.269	35.50462							
0.41333	 1.007	 2.991	 5.585	 8.896	40.254	35.50035							
0.41667	 1.007	 3.006	 5.585	 8.911	40.254	35.49608							
0.42000	 1.007	 3.021	 5.570	 8.896	40.208	35.49181							
0.42333	 0.992	 3.037	 5.570	 8.896	40.178	35.48875							
0.42667	 0.961	 3.037	 5.570	 8.881	40.101	35.48509							
0.43000	 0.931	 3.021	 5.554	 8.850	40.056	35.48204							
0.43333	 0.961	 3.006	 5.539	 8.835	40.040	35.47960							
0.43667	 1.007	 2.991	 5.539	 8.850	40.040	35.47594							
0.44000	 1.038	 2.976	 5.539	 8.835	40.056	35.47166							
0.44333	 1.083	 2.976	 5.539	 8.820	40.101	35.46922							
0.44667	 1.114	 2.991	 5.539	 8.820	40.132	35.46617							
0.45000	 1.099	 3.006	 5.554	 8.820	40.101	35.46067							
0.45333	 1.053	 3.006	 5.539	 8.820	40.086	35.45762							
0.45667	 1.022	 3.021	 5.524	 8.850	40.071	35.45640							
0.46000	 0.977	 3.021	 5.524	 8.850	40.056	35.45518							
0.46333	 0.961	 3.021	 5.509	 8.881	40.040	35.45274							
0.46667	 0.961	 3.021	 5.524	 8.881	40.040	35.45213							
0.47000	 0.977	 3.021	 5.524	 8.896	40.025	35.45091							
0.47333	 0.977	 3.021	 5.509	 8.896	40.025	35.44908							
0.47667	 0.977	 3.021	 5.493	 8.942	40.010	35.44542							
0.48000	 0.992	 3.021	 5.493	 8.927	39.995	35.44175							
0.48333	 0.992	 3.006	 5.463	 8.927	39.979	35.43809							
0.48667	 0.946	 3.021	 5.478	 8.911	39.995	35.43565							
0.49000	 0.946	 3.006	 5.509	 8.896	39.979	35.43260							
0.49333	 0.961	 3.006	 5.509	 8.850	39.979	35.42955							
0.49667	 0.931	 2.991	 5.509	 8.850	39.964	35.42710							
0.50000	 0.931	 3.006	 5.524	 8.866	39.964	35.42466							
0.50333	 0.961	 2.991	 5.554	 8.866	39.949	35.42283							
0.50667	 0.961	 3.006	 5.554	 8.850	39.933	35.42161							
0.51000	 0.961	 3.021	 5.585	 8.881	39.918	35.41978							
0.51333	 0.961	 3.021	 5.585	 8.911	39.918	35.41795							
0.51667	 0.961	 3.021	 5.585	 8.911	39.918	35.41734							
0.52000	 0.946	 3.021	 5.600	 8.927	39.949	35.41673							
0.52333	 0.946	 3.006	 5.585	 8.927	39.918	35.41490							
0.52667	 0.931	 3.006	 5.570	 8.911	39.918	35.41368							
0.53000	 0.946	 3.006	 5.600	 8.927	39.903	35.41368							
0.53333	 0.946	 3.006	 5.615	 8.927	39.872	35.41429							
0.53667	 0.946	 3.006	 5.570	 8.911	39.842	35.41490							
0.54000	 0.961	 3.006	 5.570	 8.911	39.872	35.41551							
0.54333	 0.961	 3.006	 5.554	 8.911	39.872	35.41551							
0.54667	 0.977	 3.021	 5.539	 8.866	39.872	35.41673							
0.55000	 0.977	 3.006	 5.539	 8.850	39.872	35.41673							
