Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_17;57;41_TP19R_01.vdt
Sample ID	TP19R
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 17:57:42
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.849

Ret. Vol.	 15.69
Mn - (Daltons)	 17648
Mw - (Daltons)	 27035
Mz - (Daltons)	 38345
Mp - (Daltons)	 24177
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	380.43
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 8.393	 2.976	74.694	47.609	25.636	35.39231							
0.00333	 8.240	 2.976	74.694	47.609	25.559	35.20615							
0.00667	 7.935	 2.976	74.618	47.456	25.101	34.82162							
0.01000	 7.706	 2.976	74.618	47.456	24.796	34.49202							
0.01333	 7.981	 2.976	74.633	47.517	25.208	34.83932							
0.01667	 7.828	 2.976	74.602	47.502	25.101	34.59517							
0.02000	 7.721	 2.960	74.572	47.456	25.056	34.37422							
0.02333	 7.660	 2.976	74.602	47.456	25.132	34.22102							
0.02667	 7.630	 2.976	74.602	47.456	25.315	34.13312							
0.03000	 7.645	 2.976	74.618	47.472	25.529	34.09406							
0.03333	 7.660	 2.976	74.633	47.456	25.742	34.08795							
0.03667	 7.660	 2.991	74.648	47.472	25.925	34.09955							
0.04000	 7.691	 2.976	74.618	47.472	26.078	34.12458							
0.04333	 7.736	 2.976	74.602	47.487	26.246	34.15815							
0.04667	 7.767	 2.976	74.587	47.456	26.368	34.19782							
0.05000	 7.782	 2.960	74.572	47.441	26.490	34.23627							
0.05333	 7.828	 2.945	74.557	47.426	26.597	34.27534							
0.05667	 7.859	 2.945	74.541	47.411	26.704	34.31623							
0.06000	 7.889	 2.945	74.541	47.365	26.780	34.36201							
0.06333	 7.904	 2.930	74.541	47.380	26.856	34.40657							
0.06667	 7.935	 2.945	74.541	47.380	26.902	34.44746							
0.07000	 7.965	 2.960	74.541	47.411	26.948	34.48653							
0.07333	 7.996	 2.960	74.541	47.411	26.978	34.52620							
0.07667	 8.026	 2.945	74.557	47.441	26.978	34.56221							
0.08000	 8.042	 2.945	74.541	47.441	26.948	34.59273							
0.08333	 8.042	 2.945	74.557	47.456	26.963	34.62081							
0.08667	 8.026	 2.945	74.541	47.456	26.933	34.64888							
0.09000	 8.011	 2.945	74.572	47.502	26.933	34.68062							
0.09333	 8.011	 2.976	74.557	47.533	26.963	34.73312							
0.09667	 8.057	 3.006	74.572	47.517	27.009	34.82101							
0.10000	 8.164	 3.006	74.572	47.517	27.009	34.94064							
0.10333	 8.225	 3.006	74.587	47.487	27.024	35.08286							
0.10667	 8.316	 3.006	74.572	47.456	27.024	35.23545							
0.11000	 8.393	 3.006	74.587	47.426	26.978	35.36851							
0.11333	 8.438	 3.006	74.602	47.441	26.872	35.45945							
0.11667	 8.438	 3.006	74.572	47.441	26.734	35.51195							
0.12000	 8.469	 3.006	74.602	47.456	26.597	35.53880							
0.12333	 8.438	 3.021	74.572	47.456	26.429	35.54552							
0.12667	 8.393	 3.006	74.572	47.472	26.231	35.53819							
0.13000	 8.362	 2.991	74.572	47.456	26.078	35.52293							
0.13333	 8.316	 2.991	74.602	47.456	25.941	35.50462							
0.13667	 8.271	 2.991	74.602	47.441	25.803	35.48570							
0.14000	 8.255	 2.976	74.633	47.426	25.712	35.46617							
0.14333	 8.271	 2.976	74.618	47.395	25.620	35.44419							
0.14667	 8.255	 2.976	74.602	47.395	25.529	35.42161							
0.15000	 8.271	 2.976	74.602	47.380	25.422	35.40330							
0.15333	 8.286	 2.976	74.587	47.395	25.346	35.38804							
0.15667	 8.301	 2.976	74.587	47.395	25.269	35.37095							
0.16000	 8.271	 2.976	74.587	47.395	25.224	35.35264							
0.16333	 8.271	 2.976	74.602	47.411	25.163	35.33860							
0.16667	 8.240	 2.976	74.602	47.441	25.163	35.32700							
0.17000	 8.225	 2.976	74.587	47.441	25.147	35.31663							
0.17333	 8.225	 2.991	74.572	47.456	25.071	35.30625							
0.17667	 8.225	 2.991	74.572	47.472	25.010	35.29710							
0.18000	 8.240	 2.991	74.557	47.487	24.979	35.29099							
0.18333	 8.255	 2.991	74.557	47.487	24.888	35.28916							
0.18667	 8.240	 2.991	74.557	47.502	24.857	35.28733							
0.19000	 8.209	 2.976	74.572	47.487	24.842	35.28306							
0.19333	 8.209	 2.960	74.587	47.487	24.842	35.28123							
0.19667	 8.179	 2.960	74.602	47.487	24.827	35.28245							
0.20000	 8.194	 2.960	74.618	47.487	24.827	35.28550							
0.20333	 8.209	 2.960	74.633	47.441	24.796	35.28550							
0.20667	 8.209	 2.960	74.633	47.472	24.766	35.28794							
0.21000	 8.225	 2.976	74.633	47.472	24.705	35.29160							
0.21333	 8.225	 2.976	74.633	47.456	24.705	35.29893							
0.21667	 8.194	 2.976	74.602	47.441	24.689	35.30381							
0.22000	 8.209	 2.976	74.618	47.472	24.644	35.30991							
0.22333	 8.225	 2.976	74.618	47.456	24.628	35.31480							
0.22667	 8.209	 2.976	74.587	47.456	24.613	35.32334							
0.23000	 8.225	 2.976	74.587	47.456	24.537	35.33250							
0.23333	 8.255	 2.976	74.602	47.472	24.491	35.34105							
0.23667	 8.255	 2.976	74.587	47.472	24.491	35.34593							
0.24000	 8.271	 2.976	74.602	47.472	24.461	35.35203							
0.24333	 8.286	 2.976	74.633	47.502	24.461	35.35997							
0.24667	 8.301	 2.991	74.633	47.502	24.461	35.36851							
0.25000	 8.286	 2.991	74.648	47.472	24.461	35.37400							
0.25333	 8.271	 2.991	74.648	47.472	24.400	35.37828							
0.25667	 8.271	 2.991	74.618	47.472	24.339	35.38377							
0.26000	 8.271	 2.991	74.602	47.441	24.308	35.39170							
0.26333	 8.255	 2.976	74.572	47.426	24.293	35.39598							
0.26667	 8.255	 2.976	74.541	47.426	24.247	35.39903							
0.27000	 8.271	 2.976	74.541	47.426	24.232	35.40086							
0.27333	 8.255	 2.976	74.526	47.441	24.232	35.40513							
0.27667	 8.255	 2.976	74.511	47.441	24.186	35.40940							
0.28000	 8.271	 2.976	74.511	47.456	24.140	35.41063							
0.28333	 8.286	 2.991	74.511	47.472	24.094	35.41002							
0.28667	 8.286	 2.991	74.511	47.487	24.033	35.41002							
0.29000	 8.301	 2.991	74.541	47.472	24.018	35.41185							
0.29333	 8.301	 2.991	74.526	47.472	24.003	35.41185							
0.29667	 8.301	 2.991	74.541	47.472	24.003	35.41002							
0.30000	 8.286	 2.976	74.557	47.472	24.003	35.40757							
0.30333	 8.286	 2.960	74.572	47.441	23.988	35.40879							
0.30667	 8.271	 2.960	74.572	47.441	23.957	35.41185							
0.31000	 8.271	 2.976	74.618	47.441	23.927	35.41185							
0.31333	 8.271	 2.976	74.679	47.426	23.881	35.41063							
0.31667	 8.286	 2.976	74.664	47.441	23.865	35.40818							
0.32000	 8.286	 2.991	74.648	47.456	23.865	35.40879							
0.32333	 8.286	 2.991	74.633	47.456	23.850	35.40818							
0.32667	 8.286	 2.976	74.618	47.456	23.820	35.40635							
0.33000	 8.301	 2.976	74.572	47.472	23.774	35.40269							
0.33333	 8.286	 2.976	74.602	47.441	23.743	35.40208							
0.33667	 8.286	 2.976	74.587	47.441	23.728	35.40330							
0.34000	 8.286	 2.976	74.572	47.441	23.713	35.40208							
0.34333	 8.301	 2.976	74.618	47.456	23.698	35.39964							
0.34667	 8.255	 2.976	74.587	47.441	23.698	35.39720							
0.35000	 8.271	 2.960	74.572	47.487	23.637	35.39720							
0.35333	 8.271	 2.945	74.572	47.487	23.591	35.39781							
0.35667	 8.271	 2.945	74.618	47.472	23.576	35.39659							
0.36000	 8.255	 2.945	74.587	47.456	23.545	35.39231							
0.36333	 8.286	 2.945	74.618	47.456	23.484	35.38987							
0.36667	 8.301	 2.960	74.633	47.426	23.515	35.39048							
0.37000	 8.286	 2.976	74.633	47.441	23.499	35.38926							
0.37333	 8.286	 2.960	74.618	47.456	23.469	35.38682							
0.37667	 8.286	 2.960	74.618	47.472	23.453	35.38438							
0.38000	 8.271	 2.960	74.602	47.487	23.453	35.38377							
0.38333	 8.240	 2.945	74.572	47.472	23.408	35.38377							
0.38667	 8.225	 2.945	74.587	47.456	23.408	35.38255							
0.39000	 8.240	 2.960	74.587	47.441	23.362	35.37828							
0.39333	 8.255	 2.960	74.587	47.426	23.331	35.37584							
0.39667	 8.255	 2.976	74.602	47.426	23.347	35.37706							
0.40000	 8.255	 2.976	74.618	47.441	23.362	35.37706							
0.40333	 8.286	 2.991	74.633	47.441	23.362	35.37523							
0.40667	 8.301	 2.991	74.618	47.456	23.377	35.37278							
0.41000	 8.316	 3.006	74.633	47.456	23.377	35.37156							
0.41333	 8.316	 2.991	74.618	47.472	23.347	35.37217							
0.41667	 8.332	 3.006	74.618	47.472	23.331	35.37095							
0.42000	 8.347	 2.991	74.572	47.472	23.286	35.36729							
0.42333	 8.347	 2.991	74.557	47.472	23.270	35.36363							
0.42667	 8.332	 2.976	74.526	47.456	23.270	35.36302							
0.43000	 8.316	 2.976	74.541	47.441	23.270	35.36241							
0.43333	 8.301	 2.976	74.557	47.426	23.286	35.36119							
0.43667	 8.286	 2.976	74.587	47.426	23.316	35.35875							
0.44000	 8.240	 2.960	74.618	47.426	23.270	35.35691							
0.44333	 8.209	 2.960	74.618	47.456	23.270	35.35814							
0.44667	 8.240	 2.960	74.602	47.487	23.286	35.35814							
0.45000	 8.255	 2.960	74.602	47.502	23.255	35.35691							
0.45333	 8.225	 2.960	74.587	47.487	23.225	35.35386							
0.45667	 8.225	 2.976	74.541	47.487	23.270	35.35447							
0.46000	 8.255	 2.991	74.541	47.472	23.270	35.35508							
0.46333	 8.240	 2.991	74.557	47.456	23.255	35.35508							
0.46667	 8.240	 2.991	74.557	47.456	23.209	35.35203							
0.47000	 8.271	 2.991	74.541	47.472	23.194	35.35081							
0.47333	 8.255	 2.991	74.587	47.487	23.164	35.35203							
0.47667	 8.240	 2.976	74.602	47.472	23.118	35.35386							
0.48000	 8.240	 2.991	74.587	47.456	23.087	35.35264							
0.48333	 8.209	 2.991	74.557	47.426	23.103	35.35081							
0.48667	 8.194	 2.976	74.602	47.395	23.118	35.35081							
0.49000	 8.240	 2.976	74.633	47.365	23.103	35.35264							
0.49333	 8.271	 2.976	74.618	47.365	23.103	35.35203							
0.49667	 8.286	 2.960	74.633	47.349	23.057	35.35020							
0.50000	 8.286	 2.960	74.648	47.365	23.011	35.34837							
0.50333	 8.301	 2.960	74.633	47.380	22.965	35.35081							
0.50667	 8.316	 2.960	74.602	47.380	22.950	35.35325							
0.51000	 8.255	 2.945	74.602	47.411	22.935	35.35264							
0.51333	 8.255	 2.930	74.602	47.426	22.935	35.35081							
0.51667	 8.286	 2.915	74.587	47.472	22.965	35.35081							
0.52000	 8.301	 2.915	74.572	47.456	22.965	35.35142							
0.52333	 8.286	 2.915	74.557	47.472	22.965	35.35142							
0.52667	 8.332	 2.930	74.572	47.441	22.935	35.35020							
0.53000	 8.316	 2.960	74.557	47.426	22.935	35.34715							
0.53333	 8.316	 2.991	74.587	47.365	22.889	35.34653							
0.53667	 8.316	 3.006	74.587	47.380	22.874	35.34715							
0.54000	 8.316	 3.006	74.618	47.365	22.843	35.34653							
0.54333	 8.301	 3.006	74.633	47.380	22.858	35.34348							
0.54667	 8.301	 2.991	74.633	47.411	22.843	35.34165							
0.55000	 8.286	 2.976	74.602	47.456	22.843	35.34226							
0.55333	 8.255	 2.976	74.633	47.456	22.843	35.34348							
0.55667	 8.240	 2.976	74.602	47.472	22.843	35.34104							
0.56000	 8.255	 2.976	74.572	47.472	22.828	35.33921							
0.56333	 8.240	 2.976	74.572	47.456	22.813	35.33860							
0.56667	 8.240	 2.976	74.587	47.441	22.828	35.33982							
0.57000	 8.225	 2.976	74.557	47.456	22.813	35.33860							
0.57333	 8.225	 2.991	74.602	47.441	22.797	35.33677							
0.57667	 8.225	 2.991	74.618	47.441	22.767	35.33494							
0.58000	 8.240	 2.991	74.633	47.441	22.767	35.33555							
0.58333	 8.240	 2.976	74.648	47.441	22.782	35.33738							
0.58667	 8.286	 2.976	74.664	47.456	22.797	35.33677							
0.59000	 8.301	 2.960	74.618	47.472	22.797	35.33372							
0.59333	 8.286	 2.960	74.618	47.472	22.813	35.33128							
0.59667	 8.286	 2.960	74.633	47.456	22.797	35.33311							
0.60000	 8.301	 2.976	74.618	47.456	22.752	35.33311							
0.60333	 8.286	 2.976	74.633	47.411	22.721	35.33006							
0.60667	 8.286	 2.976	74.664	47.395	22.706	35.32761							
0.61000	 8.271	 2.976	74.648	47.395	22.691	35.32761							
0.61333	 8.255	 2.976	74.648	47.380	22.706	35.32883							
0.61667	 8.255	 2.976	74.633	47.349	22.721	35.32945							
0.62000	 8.240	 2.976	74.618	47.365	22.706	35.32883							
0.62333	 8.255	 2.976	74.618	47.380	22.706	35.32822							
0.62667	 8.286	 2.976	74.648	47.395	22.706	35.33067							
0.63000	 8.316	 2.976	74.618	47.411	22.736	35.33250							
0.63333	 8.301	 2.976	74.618	47.426	22.721	35.33067							
0.63667	 8.301	 2.976	74.602	47.426	22.721	35.32822							
0.64000	 8.255	 2.976	74.572	47.426	22.721	35.32883							
0.64333	 8.240	 2.976	74.541	47.426	22.721	35.33067							
0.64667	 8.225	 2.976	74.541	47.441	22.660	35.33128							
0.65000	 8.240	 2.976	74.526	47.456	22.660	35.33006							
0.65333	 8.240	 2.976	74.572	47.472	22.675	35.32944							
0.65667	 8.286	 2.991	74.572	47.472	22.675	35.33067							
0.66000	 8.316	 2.991	74.587	47.456	22.660	35.33311							
0.66333	 8.316	 2.991	74.618	47.472	22.691	35.33311							
0.66667	 8.286	 2.976	74.633	47.487	22.675	35.33128							
0.67000	 8.301	 2.991	74.587	47.502	22.691	35.33128							
0.67333	 8.286	 2.976	74.587	47.517	22.691	35.33433							
0.67667	 8.255	 2.960	74.587	47.533	22.721	35.33677							
0.68000	 8.240	 2.960	74.541	47.517	22.706	35.33555							
0.68333	 8.271	 2.976	74.557	47.517	22.691	35.33494							
0.68667	 8.271	 2.960	74.572	47.487	22.645	35.33616							
0.69000	 8.255	 2.960	74.587	47.456	22.660	35.33921							
0.69333	 8.271	 2.976	74.572	47.456	22.660	35.33860							
0.69667	 8.301	 2.976	74.587	47.456	22.660	35.33860							
0.70000	 8.286	 2.976	74.587	47.441	22.660	35.33738							
0.70333	 8.286	 2.976	74.602	47.456	22.645	35.33982							
0.70667	 8.301	 2.976	74.602	47.456	22.660	35.34044							
0.71000	 8.301	 2.976	74.602	47.426	22.629	35.33982							
0.71333	 8.286	 2.991	74.587	47.426	22.645	35.33677							
0.71667	 8.271	 2.976	74.587	47.426	22.691	35.33677							
0.72000	 8.271	 2.976	74.557	47.426	22.721	35.33799							
0.72333	 8.271	 2.976	74.557	47.426	22.691	35.33860							
0.72667	 8.286	 2.976	74.572	47.441	22.706	35.33738							
0.73000	 8.271	 2.960	74.602	47.441	22.691	35.33799							
0.73333	 8.316	 2.976	74.602	47.426	22.660	35.33982							
0.73667	 8.316	 2.976	74.618	47.441	22.675	35.34227							
0.74000	 8.301	 2.976	74.618	47.456	22.675	35.34288							
0.74333	 8.271	 2.976	74.602	47.472	22.675	35.34105							
0.74667	 8.271	 2.976	74.557	47.487	22.691	35.33921							
0.75000	 8.255	 2.976	74.526	47.502	22.706	35.34227							
0.75333	 8.255	 2.976	74.511	47.502	22.721	35.34288							
0.75667	 8.271	 2.991	74.496	47.517	22.706	35.34105							
0.76000	 8.286	 2.991	74.496	47.517	22.691	35.34105							
0.76333	 8.316	 2.991	74.541	47.517	22.660	35.34288							
0.76667	 8.316	 3.006	74.572	47.517	22.675	35.34593							
0.77000	 8.332	 3.006	74.572	47.517	22.645	35.34898							
0.77333	 8.316	 2.991	74.587	47.487	22.645	35.35020							
0.77667	 8.301	 2.991	74.618	47.487	22.645	35.35142							
0.78000	 8.301	 2.991	74.618	47.456	22.629	35.35508							
0.78333	 8.301	 2.960	74.602	47.456	22.584	35.35752							
0.78667	 8.255	 2.976	74.618	47.441	22.584	35.35630							
0.79000	 8.271	 2.976	74.602	47.441	22.599	35.35447							
0.79333	 8.271	 2.960	74.572	47.426	22.599	35.35447							
0.79667	 8.271	 2.960	74.572	47.456	22.629	35.35569							
0.80000	 8.286	 2.960	74.587	47.441	22.660	35.35569							
0.80333	 8.316	 2.960	74.587	47.441	22.675	35.35447							
0.80667	 8.316	 2.960	74.633	47.426	22.675	35.35325							
0.81000	 8.332	 2.976	74.648	47.456	22.691	35.35386							
0.81333	 8.316	 2.976	74.633	47.441	22.675	35.35569							
0.81667	 8.301	 2.976	74.633	47.472	22.675	35.35569							
0.82000	 8.286	 2.945	74.633	47.472	22.660	35.35447							
0.82333	 8.286	 2.945	74.587	47.502	22.629	35.35325							
0.82667	 8.286	 2.945	74.602	47.487	22.629	35.35630							
0.83000	 8.286	 2.945	74.618	47.487	22.645	35.35752							
0.83333	 8.271	 2.945	74.602	47.456	22.629	35.35569							
0.83667	 8.286	 2.960	74.602	47.456	22.614	35.35447							
0.84000	 8.286	 2.960	74.572	47.456	22.614	35.35508							
0.84333	 8.271	 2.960	74.526	47.441	22.614	35.35508							
0.84667	 8.271	 2.960	74.526	47.456	22.614	35.35447							
0.85000	 8.301	 2.976	74.526	47.472	22.599	35.35203							
0.85333	 8.316	 2.976	74.511	47.472	22.629	35.34959							
0.85667	 8.316	 2.976	74.541	47.456	22.675	35.35142							
0.86000	 8.332	 2.976	74.557	47.441	22.706	35.35386							
0.86333	 8.362	 2.976	74.587	47.426	22.706	35.35386							
0.86667	 8.347	 2.976	74.587	47.380	22.721	35.35264							
0.87000	 8.332	 2.976	74.602	47.380	22.721	35.35325							
0.87333	 8.332	 2.991	74.633	47.380	22.721	35.35569							
0.87667	 8.347	 2.991	74.618	47.395	22.706	35.35508							
0.88000	 8.362	 3.006	74.587	47.380	22.721	35.35325							
0.88333	 8.362	 2.991	74.618	47.411	22.721	35.35264							
0.88667	 8.362	 2.991	74.602	47.395	22.736	35.35447							
0.89000	 8.332	 2.976	74.587	47.395	22.721	35.35691							
0.89333	 8.316	 2.976	74.618	47.426	22.721	35.35752							
0.89667	 8.286	 2.960	74.633	47.441	22.721	35.35630							
0.90000	 8.286	 2.976	74.602	47.441	22.721	35.35630							
0.90333	 8.271	 2.976	74.602	47.426	22.691	35.35874							
0.90667	 8.316	 2.960	74.602	47.441	22.721	35.35997							
0.91000	 8.332	 2.960	74.602	47.411	22.721	35.35936							
0.91333	 8.347	 2.960	74.557	47.395	22.706	35.35752							
0.91667	 8.332	 2.960	74.572	47.411	22.721	35.35875							
0.92000	 8.362	 2.960	74.557	47.426	22.736	35.35936							
0.92333	 8.332	 2.960	74.526	47.426	22.721	35.35814							
0.92667	 8.301	 2.960	74.496	47.456	22.736	35.35630							
0.93000	 8.271	 2.960	74.541	47.472	22.736	35.35630							
0.93333	 8.301	 2.960	74.526	47.502	22.721	35.35752							
0.93667	 8.301	 2.960	74.541	47.517	22.736	35.35997							
0.94000	 8.316	 2.960	74.572	47.517	22.752	35.35997							
0.94333	 8.332	 2.945	74.602	47.502	22.736	35.35936							
0.94667	 8.332	 2.945	74.572	47.502	22.752	35.35752							
0.95000	 8.301	 2.945	74.557	47.472	22.782	35.35936							
0.95333	 8.301	 2.960	74.572	47.487	22.782	35.35936							
0.95667	 8.286	 2.976	74.572	47.472	22.767	35.35752							
0.96000	 8.271	 2.991	74.572	47.456	22.782	35.35447							
0.96333	 8.271	 3.006	74.572	47.472	22.797	35.35630							
0.96667	 8.286	 3.006	74.618	47.456	22.797	35.35691							
0.97000	 8.255	 2.976	74.648	47.456	22.828	35.35691							
0.97333	 8.286	 2.976	74.664	47.472	22.843	35.35508							
0.97667	 8.301	 2.960	74.679	47.472	22.843	35.35386							
0.98000	 8.301	 2.945	74.679	47.456	22.843	35.35569							
0.98333	 8.301	 2.945	74.664	47.456	22.843	35.35691							
0.98667	 8.301	 2.960	74.633	47.426	22.828	35.35447							
0.99000	 8.301	 2.976	74.602	47.395	22.843	35.35264							
0.99333	 8.316	 2.991	74.587	47.380	22.858	35.35325							
0.99667	 8.332	 3.006	74.602	47.380	22.904	35.35447							
1.00000	 8.332	 3.006	74.587	47.395	22.935	35.35508							
1.00333	 8.347	 3.006	74.572	47.380	22.950	35.35325							
1.00667	 8.316	 2.991	74.572	47.411	22.980	35.35203							
1.01000	 8.301	 2.976	74.557	47.441	23.011	35.35386							
1.01333	 8.301	 2.960	74.526	47.426	23.011	35.35630							
1.01667	 8.301	 2.960	74.526	47.395	23.011	35.35447							
1.02000	 8.301	 2.976	74.541	47.426	23.011	35.35386							
1.02333	 8.316	 2.976	74.541	47.426	23.011	35.35386							
1.02667	 8.316	 2.991	74.541	47.411	23.026	35.35630							
1.03000	 8.332	 2.991	74.572	47.426	23.057	35.35630							
1.03333	 8.347	 2.991	74.587	47.472	23.087	35.35508							
1.03667	 8.332	 2.976	74.587	47.456	23.103	35.35386							
1.04000	 8.332	 2.976	74.602	47.426	23.118	35.35508							
1.04333	 8.316	 2.976	74.618	47.441	23.118	35.35569							
1.04667	 8.301	 2.976	74.618	47.441	23.103	35.35630							
1.05000	 8.301	 2.976	74.618	47.426	23.118	35.35569							
1.05333	 8.316	 2.976	74.618	47.456	23.118	35.35447							
1.05667	 8.332	 2.960	74.602	47.472	23.133	35.35691							
1.06000	 8.347	 2.960	74.602	47.472	23.164	35.35997							
1.06333	 8.347	 2.960	74.587	47.472	23.194	35.35936							
1.06667	 8.332	 2.945	74.572	47.472	23.179	35.35691							
1.07000	 8.347	 2.930	74.572	47.456	23.209	35.35875							
1.07333	 8.332	 2.960	74.587	47.487	23.209	35.36241							
1.07667	 8.316	 2.960	74.602	47.487	23.194	35.36302							
1.08000	 8.316	 2.960	74.618	47.487	23.179	35.36119							
1.08333	 8.301	 2.976	74.618	47.456	23.209	35.36119							
1.08667	 8.286	 2.976	74.602	47.456	23.225	35.36180							
1.09000	 8.271	 2.960	74.587	47.426	23.240	35.36180							
1.09333	 8.286	 2.960	74.557	47.395	23.270	35.36119							
1.09667	 8.271	 2.960	74.541	47.365	23.301	35.35997							
1.10000	 8.271	 2.960	74.557	47.395	23.316	35.35997							
1.10333	 8.271	 2.960	74.572	47.411	23.347	35.36302							
1.10667	 8.286	 2.960	74.557	47.441	23.377	35.36363							
