Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-09-07\2022-09-07_18;02;45_TP2_01.vdt
Sample ID	TP2
Method File Name	PS CONV-0000.vcm
Date Acquired	Sep 07, 2022 - 18:02:45
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.174

Ret. Vol.	 16.91
Mn - (Daltons)	  4798
Mw - (Daltons)	  6534
Mz - (Daltons)	  8881
Mp - (Daltons)	  5329
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	263.25
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	-3.891	 3.052	 5.493	 8.927	21.439	35.46251							
0.00333	-4.120	 2.976	 5.570	 8.927	21.287	35.32212							
0.00667	-4.044	 2.976	 5.570	 8.850	21.210	35.13291							
0.01000	-4.349	 2.976	 5.570	 8.850	21.134	34.98947							
0.01333	-4.135	 3.006	 5.524	 8.866	21.226	35.16282							
0.01667	-4.212	 2.991	 5.524	 8.850	21.180	35.04929							
0.02000	-4.273	 2.991	 5.509	 8.820	21.195	34.96566							
0.02333	-4.334	 2.976	 5.493	 8.805	21.241	34.91928							
0.02667	-4.349	 2.976	 5.463	 8.789	21.302	34.89975							
0.03000	-4.364	 2.960	 5.478	 8.805	21.439	34.90097							
0.03333	-4.379	 2.960	 5.478	 8.820	21.546	34.91317							
0.03667	-4.349	 2.960	 5.463	 8.820	21.622	34.92904							
0.04000	-4.334	 2.976	 5.448	 8.820	21.699	34.94674							
0.04333	-4.288	 2.976	 5.448	 8.820	21.775	34.96750							
0.04667	-4.257	 2.991	 5.463	 8.820	21.805	34.99191							
0.05000	-4.227	 2.991	 5.463	 8.774	21.821	35.01450							
0.05333	-4.212	 2.991	 5.478	 8.789	21.851	35.03464							
0.05667	-4.181	 3.006	 5.509	 8.805	21.882	35.05234							
0.06000	-4.181	 3.006	 5.524	 8.789	21.912	35.07248							
0.06333	-4.196	 2.991	 5.509	 8.759	21.943	35.09262							
