Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-04\2022-10-05_00;39;14_TP22_01.vdt
Sample ID	TP22
Method File Name	ps conv-0003.vcm
Date Acquired	Oct 05, 2022 - 00:39:14
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.331

Ret. Vol.	 15.74
Mn - (Daltons)	 17468
Mw - (Daltons)	 26322
Mz - (Daltons)	 37631
Mp - (Daltons)	 22784
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	442.76
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	14.801	 2.976	74.084	48.219	23.194	35.74328							
0.00333	14.725	 2.976	74.084	48.219	23.118	35.65783							
0.00667	14.496	 2.976	74.007	48.296	23.194	35.45335							
0.01000	14.267	 2.976	74.007	48.143	22.813	35.27634							
0.01333	14.512	 2.976	74.023	48.204	23.057	35.45396							
0.01667	14.374	 2.991	74.007	48.173	23.041	35.31724							
0.02000	14.283	 2.991	73.977	48.158	23.041	35.19272							
0.02333	14.237	 2.976	73.962	48.128	23.057	35.11094							
0.02667	14.237	 2.976	73.916	48.143	23.194	35.06516							
0.03000	14.237	 2.976	73.916	48.143	23.316	35.04501							
0.03333	14.267	 2.960	73.901	48.158	23.392	35.04318							
0.03667	14.283	 2.960	73.916	48.158	23.515	35.05478							
0.04000	14.298	 2.976	73.901	48.158	23.637	35.07126							
0.04333	14.313	 2.976	73.931	48.143	23.728	35.08774							
0.04667	14.328	 2.976	73.962	48.143	23.774	35.10605							
0.05000	14.344	 2.960	73.977	48.158	23.881	35.12741							
0.05333	14.359	 2.976	73.962	48.143	23.972	35.14878							
0.05667	14.374	 2.976	73.992	48.143	24.018	35.16831							
0.06000	14.374	 2.976	73.992	48.128	24.033	35.18601							
0.06333	14.389	 2.976	73.977	48.128	24.094	35.20554							
0.06667	14.420	 3.006	73.962	48.143	24.155	35.22813							
0.07000	14.435	 2.991	73.962	48.173	24.155	35.24766							
