Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_19;00;11_TP26_01.vdt
Sample ID	TP26
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 19:00:11
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.024

Ret. Vol.	 18.26	 19.37
Mn - (Daltons)	  1451	   558
Mw - (Daltons)	  1563	   567
Mz - (Daltons)	  1689	   576
Mp - (Daltons)	  1372	   573
IV - (dl/g)	0.0000	0.0000
Radius - (nm)	  0.00	  0.00
RI Area - (mvml)	  7.20	 36.85
UV Area - (mvml)	  0.00	  0.00
RALS Area - (mvml)	  0.00	  0.00
LALS Area - (mvml)	  0.00	  0.00
DP Area - (mvml)	  0.00	  0.00
Wt Fr. (A)	 0.000	 0.000
Wt Fr. (Peak)	 0.164	 0.836
M-H a	 0.000	 0.000
M-H logK	 0.000	 0.000
Bn - (per molecule)	 0.000	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 9.232	 2.976	74.465	47.838	24.186	35.36790							
0.00333	 9.079	 2.976	74.541	47.685	24.033	35.23972							
0.00667	 8.927	 2.976	74.541	47.761	23.804	35.00473							
0.01000	 8.850	 2.976	74.618	47.761	23.728	34.79720							
0.01333	 8.957	 2.976	74.511	47.731	23.881	35.01572							
0.01667	 8.866	 2.976	74.541	47.685	23.835	34.87228							
0.02000	 8.805	 2.976	74.526	47.670	23.804	34.76241							
0.02333	 8.789	 2.976	74.480	47.639	23.850	34.70870							
0.02667	 8.789	 2.976	74.450	47.609	23.927	34.69954							
0.03000	 8.835	 2.976	74.465	47.609	24.033	34.71725							
0.03333	 8.866	 2.976	74.404	47.609	24.125	34.74593							
0.03667	 8.896	 2.976	74.389	47.624	24.247	34.77523							
0.04000	 8.896	 2.976	74.389	47.639	24.339	34.80209							
0.04333	 8.881	 2.976	74.358	47.639	24.415	34.82467							
0.04667	 8.881	 2.991	74.328	47.655	24.476	34.84726							
0.05000	 8.896	 2.991	74.358	47.670	24.506	34.86984							
0.05333	 8.911	 2.976	74.374	47.655	24.522	34.89303							
0.05667	 8.957	 2.976	74.419	47.639	24.522	34.90951							
0.06000	 8.972	 2.960	74.450	47.655	24.552	34.92660							
0.06333	 8.972	 2.945	74.465	47.639	24.552	34.94613							
0.06667	 8.972	 2.930	74.465	47.639	24.552	34.96567							
0.07000	 8.972	 2.945	74.465	47.655	24.552	34.98093							
0.07333	 8.927	 2.945	74.435	47.655	24.567	34.99496							
0.07667	 8.957	 2.945	74.435	47.655	24.552	35.00839							
0.08000	 8.988	 2.945	74.450	47.655	24.552	35.02304							
0.08333	 9.003	 2.945	74.419	47.639	24.522	35.03647							
0.08667	 9.018	 2.945	74.404	47.609	24.506	35.04745							
0.09000	 9.079	 2.945	74.404	47.609	24.506	35.05661							
0.09333	 9.110	 2.960	74.419	47.609	24.491	35.06821							
0.09667	 9.110	 2.960	74.419	47.624	24.491	35.08103							
0.10000	 9.110	 2.976	74.450	47.624	24.491	35.09262							
0.10333	 9.125	 2.976	74.465	47.639	24.491	35.10178							
0.10667	 9.125	 2.976	74.465	47.670	24.461	35.11155							
0.11000	 9.110	 2.976	74.435	47.670	24.415	35.12253							
0.11333	 9.110	 2.976	74.419	47.670	24.400	35.13352							
0.11667	 9.125	 2.976	74.419	47.685	24.400	35.14206							
0.12000	 9.110	 2.976	74.419	47.685	24.400	35.14756							
0.12333	 9.079	 2.960	74.419	47.655	24.369	35.15427							
0.12667	 9.079	 2.945	74.404	47.655	24.384	35.16282							
0.13000	 9.079	 2.945	74.404	47.639	24.339	35.16892							
0.13333	 9.079	 2.945	74.419	47.624	24.323	35.17197							
0.13667	 9.064	 2.945	74.389	47.624	24.247	35.17441							
0.14000	 9.079	 2.960	74.389	47.639	24.232	35.17929							
0.14333	 9.079	 2.976	74.404	47.624	24.186	35.18540							
0.14667	 9.064	 2.960	74.419	47.655	24.171	35.18967							
0.15000	 9.049	 2.945	74.389	47.670	24.110	35.19089							
0.15333	 9.049	 2.945	74.419	47.685	24.094	35.19211							
0.15667	 9.064	 2.945	74.389	47.700	24.079	35.19455							
0.16000	 9.064	 2.945	74.404	47.716	24.049	35.19577							
0.16333	 9.079	 2.960	74.404	47.716	24.018	35.19516							
0.16667	 9.064	 2.976	74.419	47.700	24.018	35.19394							
0.17000	 9.064	 2.976	74.419	47.700	23.988	35.19577							
0.17333	 9.033	 2.976	74.465	47.685	23.942	35.19883							
0.17667	 9.064	 2.976	74.450	47.670	23.911	35.20127							
0.18000	 9.064	 2.991	74.450	47.655	23.911	35.20066							
0.18333	 9.079	 2.991	74.419	47.670	23.865	35.20005							
0.18667	 9.095	 2.991	74.419	47.685	23.850	35.20310							
0.19000	 9.095	 2.976	74.435	47.670	23.835	35.20676							
0.19333	 9.049	 2.991	74.450	47.670	23.835	35.20798							
0.19667	 9.033	 2.976	74.465	47.655	23.774	35.20798							
0.20000	 9.018	 2.976	74.496	47.655	23.743	35.21042							
0.20333	 9.018	 2.976	74.511	47.655	23.698	35.21408							
0.20667	 9.018	 2.976	74.480	47.670	23.682	35.21775							
0.21000	 9.049	 2.960	74.480	47.700	23.652	35.22080							
0.21333	 9.049	 2.945	74.465	47.700	23.637	35.22507							
0.21667	 9.049	 2.945	74.465	47.685	23.621	35.23240							
0.22000	 9.049	 2.930	74.419	47.655	23.606	35.24155							
0.22333	 9.079	 2.945	74.404	47.639	23.576	35.24888							
0.22667	 9.064	 2.945	74.404	47.639	23.545	35.25315							
0.23000	 9.095	 2.960	74.389	47.670	23.515	35.25742							
0.23333	 9.079	 2.960	74.374	47.685	23.484	35.26475							
0.23667	 9.079	 2.960	74.389	47.700	23.484	35.26902							
0.24000	 9.064	 2.960	74.419	47.731	23.438	35.27146							
0.24333	 9.079	 2.960	74.389	47.716	23.392	35.27207							
0.24667	 9.079	 2.960	74.435	47.670	23.362	35.27573							
0.25000	 9.125	 2.960	74.435	47.639	23.331	35.28001							
0.25333	 9.140	 2.976	74.435	47.639	23.301	35.28428							
