Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_19;31;24_TP27_01.vdt
Sample ID	TP27
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 19:31:24
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.070

Ret. Vol.	 14.50	 18.32	 19.09
Mn - (Daltons)	 65834	  1315	   590
Mw - (Daltons)	115228	  1399	   613
Mz - (Daltons)	171542	  1494	   635
Mp - (Daltons)	106732	  1299	   695
IV - (dl/g)	0.0000	0.0000	0.0000
Radius - (nm)	  0.00	  0.00	  0.00
RI Area - (mvml)	 53.58	  3.14	  6.10
UV Area - (mvml)	  0.00	  0.00	  0.00
RALS Area - (mvml)	  0.00	  0.00	  0.00
LALS Area - (mvml)	  0.00	  0.00	  0.00
DP Area - (mvml)	  0.00	  0.00	  0.00
Wt Fr. (A)	 0.000	 0.000	 0.000
Wt Fr. (Peak)	 0.853	 0.050	 0.097
M-H a	 0.000	 0.000	 0.000
M-H logK	 0.000	 0.000	 0.000
Bn - (per molecule)	 0.000	 0.000	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 9.995	 2.976	74.541	47.533	22.813	35.38926							
0.00333	 9.842	 2.976	74.618	47.609	22.813	35.29465							
0.00667	 9.766	 2.899	74.694	47.533	22.507	35.09018							
0.01000	 9.690	 2.976	74.541	47.685	22.355	34.93759							
0.01333	 9.781	 2.960	74.587	47.594	22.599	35.11338							
0.01667	 9.690	 2.960	74.572	47.594	22.523	35.00290							
0.02000	 9.644	 2.960	74.526	47.563	22.507	34.91195							
0.02333	 9.583	 2.960	74.480	47.578	22.568	34.85946							
0.02667	 9.552	 2.945	74.465	47.548	22.660	34.83566							
0.03000	 9.583	 2.930	74.450	47.517	22.782	34.83382							
0.03333	 9.583	 2.930	74.435	47.517	22.904	34.84298							
0.03667	 9.613	 2.930	74.450	47.548	22.980	34.85580							
0.04000	 9.674	 2.945	74.465	47.533	23.072	34.87228							
0.04333	 9.705	 2.945	74.419	47.533	23.164	34.88937							
0.04667	 9.690	 2.960	74.419	47.548	23.194	34.90890							
0.05000	 9.751	 2.960	74.419	47.548	23.270	34.92904							
0.05333	 9.720	 2.945	74.435	47.548	23.316	34.94675							
0.05667	 9.751	 2.945	74.419	47.548	23.347	34.96201							
0.06000	 9.766	 2.960	74.496	47.533	23.392	34.98154							
0.06333	 9.766	 2.945	74.511	47.533	23.438	35.00168							
0.06667	 9.766	 2.945	74.557	47.517	23.453	35.01816							
0.07000	 9.781	 2.945	74.557	47.502	23.484	35.03220							
0.07333	 9.781	 2.960	74.587	47.502	23.499	35.04562							
0.07667	 9.781	 2.960	74.557	47.517	23.515	35.06149							
0.08000	 9.812	 2.976	74.557	47.548	23.560	35.07431							
0.08333	 9.827	 2.976	74.526	47.563	23.576	35.08530							
0.08667	 9.857	 2.991	74.526	47.578	23.576	35.09384							
0.09000	 9.827	 2.976	74.496	47.548	23.576	35.10483							
0.09333	 9.842	 2.976	74.526	47.533	23.545	35.11643							
0.09667	 9.827	 2.960	74.496	47.517	23.484	35.12558							
0.10000	 9.781	 2.945	74.496	47.517	23.453	35.13230							
0.10333	 9.766	 2.945	74.496	47.517	23.438	35.13840							
0.10667	 9.796	 2.945	74.511	47.563	23.408	35.14573							
0.11000	 9.781	 2.945	74.496	47.578	23.423	35.15244							
0.11333	 9.781	 2.960	74.526	47.578	23.423	35.15854							
0.11667	 9.812	 2.976	74.526	47.578	23.438	35.16037							
0.12000	 9.827	 2.976	74.526	47.563	23.423	35.16404							
0.12333	 9.812	 2.960	74.511	47.548	23.438	35.16892							
0.12667	 9.827	 2.960	74.511	47.578	23.423	35.17136							
0.13000	 9.842	 2.960	74.511	47.563	23.423	35.17075							
0.13333	 9.857	 2.960	74.541	47.563	23.392	35.17014							
0.13667	 9.842	 2.960	74.526	47.563	23.423	35.17197							
0.14000	 9.857	 2.976	74.572	47.563	23.408	35.17441							
0.14333	 9.842	 2.976	74.587	47.533	23.392	35.17563							
0.14667	 9.857	 2.976	74.602	47.548	23.392	35.17380							
0.15000	 9.842	 2.960	74.587	47.563	23.408	35.17258							
0.15333	 9.857	 2.960	74.602	47.578	23.392	35.17319							
0.15667	 9.842	 2.960	74.587	47.578	23.408	35.17502							
0.16000	 9.873	 2.960	74.572	47.578	23.408	35.17441							
0.16333	 9.857	 2.960	74.572	47.563	23.392	35.17319							
0.16667	 9.857	 2.976	74.572	47.563	23.347	35.17380							
0.17000	 9.842	 2.960	74.572	47.594	23.347	35.17685							
0.17333	 9.857	 2.960	74.557	47.609	23.331	35.17807							
0.17667	 9.827	 2.960	74.557	47.594	23.331	35.17807							
0.18000	 9.842	 2.976	74.526	47.594	23.316	35.17929							
0.18333	 9.842	 2.976	74.526	47.594	23.331	35.18479							
0.18667	 9.857	 2.976	74.511	47.563	23.316	35.18967							
0.19000	 9.827	 2.960	74.496	47.563	23.316	35.19272							
0.19333	 9.827	 2.960	74.480	47.594	23.316	35.19516							
0.19667	 9.827	 2.945	74.480	47.624	23.301	35.19944							
0.20000	 9.827	 2.930	74.480	47.624	23.301	35.20493							
0.20333	 9.827	 2.945	74.465	47.624	23.286	35.21103							
0.20667	 9.842	 2.960	74.465	47.578	23.255	35.21592							
0.21000	 9.873	 2.960	74.480	47.578	23.225	35.22202							
0.21333	 9.873	 2.960	74.465	47.548	23.209	35.22996							
0.21667	 9.873	 2.976	74.480	47.533	23.209	35.24094							
0.22000	 9.873	 2.976	74.496	47.517	23.225	35.24888							
0.22333	 9.873	 2.976	74.496	47.548	23.240	35.25559							
0.22667	 9.827	 2.960	74.496	47.517	23.240	35.26170							
0.23000	 9.842	 2.960	74.511	47.533	23.240	35.27146							
0.23333	 9.857	 2.960	74.480	47.548	23.225	35.27940							
0.23667	 9.873	 2.945	74.496	47.533	23.164	35.28550							
0.24000	 9.903	 2.945	74.511	47.533	23.118	35.28916							
0.24333	 9.934	 2.960	74.511	47.517	23.057	35.29465							
0.24667	 9.934	 2.960	74.526	47.502	23.057	35.30137							
0.25000	 9.949	 2.960	74.541	47.487	23.041	35.30686							
0.25333	 9.964	 2.976	74.526	47.502	23.072	35.31053							
0.25667	 9.949	 2.976	74.511	47.502	23.072	35.31480							
0.26000	 9.964	 2.991	74.511	47.563	23.103	35.32029							
0.26333	 9.919	 2.991	74.511	47.563	23.087	35.32701							
0.26667	 9.903	 2.976	74.496	47.578	23.041	35.33067							
0.27000	 9.857	 2.976	74.511	47.578	22.980	35.33189							
0.27333	 9.842	 2.976	74.496	47.578	22.950	35.33372							
0.27667	 9.827	 2.945	74.465	47.563	22.935	35.33982							
0.28000	 9.842	 2.945	74.465	47.533	22.919	35.34288							
0.28333	 9.842	 2.945	74.496	47.517	22.919	35.34410							
0.28667	 9.873	 2.930	74.480	47.533	22.935	35.34532							
0.29000	 9.873	 2.915	74.511	47.517	22.935	35.34837							
0.29333	 9.873	 2.930	74.526	47.502	22.919	35.35142							
0.29667	 9.919	 2.930	74.511	47.517	22.904	35.35325							
0.30000	 9.934	 2.945	74.496	47.517	22.889	35.35264							
0.30333	 9.903	 2.976	74.511	47.517	22.828	35.35386							
0.30667	 9.919	 2.991	74.511	47.517	22.813	35.35691							
0.31000	 9.949	 3.006	74.526	47.517	22.797	35.35997							
0.31333	 9.888	 3.006	74.557	47.548	22.782	35.36058							
0.31667	 9.873	 3.006	74.557	47.563	22.752	35.36058							
0.32000	 9.919	 2.991	74.541	47.548	22.782	35.36119							
0.32333	 9.903	 2.991	74.526	47.563	22.782	35.36546							
0.32667	 9.888	 2.976	74.541	47.563	22.752	35.36668							
0.33000	 9.919	 2.976	74.541	47.548	22.736	35.36546							
0.33333	 9.919	 2.960	74.526	47.533	22.767	35.36423							
0.33667	 9.873	 2.960	74.526	47.502	22.767	35.36607							
0.34000	 9.888	 2.945	74.526	47.487	22.721	35.36851							
0.34333	 9.888	 2.930	74.511	47.487	22.752	35.36790							
0.34667	 9.857	 2.930	74.496	47.472	22.736	35.36668							
0.35000	 9.857	 2.930	74.496	47.502	22.721	35.36790							
0.35333	 9.903	 2.915	74.480	47.517	22.706	35.37095							
0.35667	 9.903	 2.930	74.496	47.517	22.736	35.37156							
0.36000	 9.919	 2.945	74.480	47.517	22.706	35.37156							
0.36333	 9.934	 2.945	74.480	47.517	22.706	35.36973							
0.36667	 9.919	 2.960	74.480	47.487	22.691	35.36973							
0.37000	 9.903	 2.976	74.511	47.502	22.691	35.37034							
0.37333	 9.888	 2.960	74.511	47.517	22.675	35.36973							
0.37667	 9.888	 2.945	74.526	47.533	22.691	35.36607							
0.38000	 9.888	 2.945	74.511	47.533	22.675	35.36424							
0.38333	 9.888	 2.960	74.526	47.517	22.691	35.36485							
0.38667	 9.903	 2.945	74.511	47.517	22.675	35.36607							
0.39000	 9.919	 2.960	74.511	47.502	22.675	35.36424							
0.39333	 9.903	 2.976	74.496	47.502	22.645	35.36241							
0.39667	 9.919	 2.976	74.511	47.502	22.660	35.36241							
0.40000	 9.919	 2.960	74.496	47.502	22.645	35.36424							
0.40333	 9.919	 2.976	74.526	47.517	22.645	35.36485							
0.40667	 9.934	 2.976	74.496	47.548	22.629	35.36302							
0.41000	 9.934	 2.976	74.511	47.548	22.629	35.36119							
0.41333	 9.934	 2.976	74.496	47.548	22.599	35.36180							
0.41667	 9.934	 2.960	74.480	47.548	22.584	35.36180							
0.42000	 9.934	 2.960	74.465	47.548	22.584	35.35997							
0.42333	 9.919	 2.960	74.480	47.548	22.584	35.35630							
0.42667	 9.903	 2.960	74.496	47.548	22.568	35.35508							
0.43000	 9.903	 2.945	74.511	47.563	22.584	35.35569							
0.43333	 9.903	 2.945	74.541	47.563	22.599	35.35691							
0.43667	 9.888	 2.945	74.526	47.563	22.584	35.35386							
0.44000	 9.903	 2.945	74.541	47.563	22.553	35.35264							
0.44333	 9.903	 2.945	74.511	47.548	22.553	35.35325							
0.44667	 9.919	 2.960	74.496	47.548	22.553	35.35569							
0.45000	 9.934	 2.960	74.496	47.578	22.523	35.35569							
0.45333	 9.934	 2.960	74.511	47.548	22.507	35.35447							
0.45667	 9.903	 2.945	74.511	47.548	22.538	35.35386							
0.46000	 9.919	 2.945	74.526	47.533	22.568	35.35630							
0.46333	 9.903	 2.945	74.541	47.517	22.568	35.35752							
0.46667	 9.903	 2.960	74.526	47.517	22.553	35.35569							
0.47000	 9.919	 2.960	74.526	47.533	22.553	35.35447							
0.47333	 9.934	 2.976	74.526	47.533	22.553	35.35447							
0.47667	 9.934	 2.960	74.541	47.563	22.538	35.35569							
0.48000	 9.949	 2.960	74.541	47.578	22.523	35.35630							
0.48333	 9.949	 2.960	74.541	47.563	22.523	35.35447							
0.48667	 9.964	 2.960	74.557	47.548	22.492	35.35264							
0.49000	 9.964	 2.960	74.526	47.517	22.431	35.35386							
0.49333	 9.964	 2.976	74.511	47.487	22.385	35.35630							
0.49667	 9.934	 2.976	74.496	47.487	22.370	35.35569							
0.50000	 9.934	 2.976	74.496	47.502	22.355	35.35386							
0.50333	 9.888	 2.960	74.465	47.517	22.355	35.35386							
0.50667	 9.903	 2.960	74.480	47.548	22.355	35.35569							
0.51000	 9.903	 2.960	74.480	47.563	22.324	35.35630							
0.51333	 9.934	 2.960	74.465	47.578	22.309	35.35569							
0.51667	 9.934	 2.960	74.465	47.563	22.294	35.35386							
0.52000	 9.934	 2.976	74.450	47.578	22.309	35.35508							
0.52333	 9.919	 2.991	74.435	47.563	22.340	35.35752							
0.52667	 9.919	 2.976	74.404	47.578	22.401	35.35630							
0.53000	 9.919	 2.976	74.419	47.578	22.446	35.35386							
0.53333	 9.934	 2.960	74.419	47.594	22.492	35.35325							
0.53667	 9.949	 2.945	74.435	47.578	22.477	35.35508							
0.54000	 9.934	 2.930	74.450	47.578	22.492	35.35691							
0.54333	 9.934	 2.945	74.450	47.594	22.492	35.35569							
0.54667	 9.934	 2.945	74.480	47.609	22.477	35.35386							
0.55000	 9.934	 2.976	74.465	47.594	22.492	35.35508							
0.55333	 9.949	 2.991	74.465	47.594	22.523	35.35691							
0.55667	 9.949	 2.991	74.465	47.609	22.538	35.35752							
0.56000	 9.949	 2.991	74.511	47.578	22.523	35.35691							
0.56333	 9.919	 2.991	74.450	47.548	22.477	35.35447							
0.56667	 9.903	 2.976	74.496	47.548	22.446	35.35630							
0.57000	 9.888	 2.976	74.511	47.548	22.446	35.35752							
0.57333	 9.919	 2.976	74.496	47.548	22.416	35.35630							
0.57667	 9.919	 2.976	74.480	47.563	22.431	35.35508							
0.58000	 9.934	 2.991	74.526	47.563	22.462	35.35630							
0.58333	 9.949	 2.991	74.496	47.563	22.477	35.35814							
0.58667	 9.949	 2.976	74.480	47.578	22.477	35.35936							
0.59000	 9.934	 2.960	74.511	47.563	22.431	35.35814							
0.59333	 9.919	 2.960	74.496	47.533	22.431	35.35569							
0.59667	 9.903	 2.945	74.465	47.533	22.446	35.35569							
0.60000	 9.903	 2.945	74.465	47.548	22.462	35.35752							
0.60333	 9.903	 2.960	74.450	47.548	22.477	35.35752							
0.60667	 9.903	 2.976	74.450	47.563	22.507	35.35508							
0.61000	 9.919	 2.976	74.465	47.578	22.492	35.35447							
0.61333	 9.919	 2.976	74.496	47.609	22.477	35.35691							
0.61667	 9.888	 2.976	74.511	47.609	22.462	35.35814							
0.62000	 9.873	 2.960	74.526	47.609	22.446	35.35691							
0.62333	 9.888	 2.960	74.526	47.609	22.446	35.35569							
0.62667	 9.888	 2.945	74.511	47.609	22.431	35.35630							
0.63000	 9.934	 2.945	74.511	47.594	22.446	35.35814							
0.63333	 9.949	 2.945	74.496	47.594	22.431	35.35814							
0.63667	 9.980	 2.960	74.511	47.594	22.446	35.35630							
0.64000	 9.949	 2.976	74.526	47.594	22.477	35.35508							
0.64333	 9.934	 2.991	74.541	47.609	22.477	35.35630							
0.64667	 9.888	 3.006	74.526	47.624	22.477	35.35752							
0.65000	 9.903	 3.006	74.526	47.594	22.462	35.35752							
0.65333	 9.873	 2.991	74.541	47.594	22.431	35.35508							
0.65667	 9.903	 2.991	74.526	47.563	22.401	35.35447							
0.66000	 9.934	 2.991	74.541	47.548	22.401	35.35691							
0.66333	 9.949	 2.991	74.541	47.517	22.370	35.35814							
0.66667	 9.949	 2.991	74.541	47.533	22.385	35.35691							
0.67000	 9.949	 2.991	74.526	47.517	22.385	35.35691							
0.67333	 9.919	 2.976	74.511	47.533	22.416	35.35875							
0.67667	 9.919	 2.976	74.480	47.517	22.431	35.36058							
0.68000	 9.934	 2.960	74.496	47.533	22.462	35.36058							
0.68333	 9.919	 2.960	74.511	47.502	22.462	35.35752							
0.68667	 9.934	 2.976	74.526	47.502	22.477	35.35630							
0.69000	 9.919	 2.976	74.541	47.502	22.477	35.35752							
0.69333	 9.934	 2.976	74.557	47.517	22.507	35.35875							
0.69667	 9.919	 2.976	74.511	47.502	22.523	35.35752							
0.70000	 9.919	 2.976	74.496	47.517	22.507	35.35630							
0.70333	 9.919	 2.976	74.450	47.517	22.507	35.35630							
0.70667	 9.964	 2.976	74.419	47.517	22.523	35.35814							
0.71000	 9.903	 2.976	74.404	47.517	22.507	35.35814							
0.71333	 9.888	 2.976	74.450	47.548	22.492	35.35630							
0.71667	 9.888	 2.976	74.465	47.578	22.507	35.35508							
0.72000	 9.888	 2.976	74.465	47.594	22.507	35.35630							
0.72333	 9.873	 2.976	74.465	47.594	22.492	35.35814							
0.72667	 9.919	 2.960	74.480	47.609	22.507	35.35752							
0.73000	 9.934	 2.960	74.450	47.578	22.523	35.35569							
0.73333	 9.934	 2.945	74.435	47.563	22.568	35.35508							
0.73667	 9.919	 2.945	74.480	47.563	22.584	35.35691							
0.74000	 9.919	 2.930	74.511	47.563	22.629	35.35752							
0.74333	 9.919	 2.945	74.511	47.548	22.629	35.35630							
0.74667	 9.919	 2.930	74.557	47.548	22.614	35.35508							
0.75000	 9.903	 2.945	74.557	47.563	22.599	35.35630							
0.75333	 9.903	 2.945	74.541	47.533	22.614	35.35936							
0.75667	 9.919	 2.960	74.526	47.533	22.599	35.35936							
0.76000	 9.919	 2.960	74.541	47.502	22.629	35.35752							
0.76333	 9.919	 2.976	74.511	47.487	22.660	35.35752							
0.76667	 9.934	 2.960	74.526	47.456	22.645	35.35997							
0.77000	 9.934	 2.960	74.511	47.487	22.645	35.36119							
0.77333	 9.919	 2.960	74.511	47.472	22.645	35.35997							
0.77667	 9.888	 2.960	74.480	47.487	22.614	35.35875							
0.78000	 9.903	 2.960	74.480	47.502	22.599	35.35936							
0.78333	 9.888	 2.976	74.480	47.517	22.629	35.36241							
0.78667	 9.919	 2.976	74.496	47.487	22.614	35.36241							
0.79000	 9.903	 2.976	74.480	47.502	22.629	35.36118							
0.79333	 9.919	 2.960	74.511	47.517	22.614	35.35997							
0.79667	 9.903	 2.960	74.511	47.533	22.629	35.36057							
0.80000	 9.919	 2.960	74.511	47.533	22.645	35.36057							
0.80333	 9.903	 2.960	74.496	47.548	22.660	35.35935							
0.80667	 9.919	 2.960	74.541	47.548	22.645	35.35752							
0.81000	 9.919	 2.976	74.511	47.563	22.675	35.35752							
0.81333	 9.903	 2.976	74.511	47.563	22.675	35.36058							
0.81667	 9.934	 2.976	74.496	47.594	22.675	35.36241							
0.82000	 9.919	 2.976	74.526	47.594	22.706	35.36119							
0.82333	 9.934	 2.976	74.496	47.609	22.706	35.35997							
0.82667	 9.919	 2.976	74.496	47.624	22.721	35.36119							
0.83000	 9.964	 2.991	74.496	47.624	22.752	35.36180							
0.83333	 9.934	 2.991	74.480	47.624	22.752	35.36058							
0.83667	 9.980	 2.991	74.465	47.670	22.736	35.35814							
0.84000	 9.964	 2.991	74.496	47.655	22.767	35.35691							
0.84333	 9.980	 2.991	74.526	47.624	22.782	35.35814							
0.84667	 9.949	 2.991	74.557	47.609	22.782	35.35997							
0.85000	 9.964	 2.991	74.572	47.578	22.813	35.35936							
0.85333	 9.949	 2.991	74.572	47.533	22.828	35.35874							
0.85667	 9.949	 2.991	74.526	47.533	22.843	35.35936							
0.86000	 9.949	 2.976	74.511	47.517	22.843	35.36119							
0.86333	 9.949	 2.960	74.480	47.533	22.858	35.36180							
0.86667	 9.949	 2.960	74.496	47.533	22.874	35.35936							
0.87000	 9.949	 2.960	74.511	47.533	22.874	35.35752							
0.87333	 9.964	 2.960	74.511	47.517	22.889	35.35875							
0.87667	 9.964	 2.960	74.496	47.517	22.919	35.36058							
0.88000	 9.964	 2.960	74.480	47.517	22.935	35.35874							
0.88333	 9.934	 2.960	74.480	47.533	22.919	35.35691							
0.88667	 9.903	 2.960	74.450	47.533	22.950	35.35630							
0.89000	 9.873	 2.960	74.450	47.578	22.950	35.35752							
0.89333	 9.888	 2.976	74.450	47.609	22.935	35.35752							
0.89667	 9.888	 2.976	74.450	47.609	22.935	35.35508							
0.90000	 9.903	 2.976	74.419	47.563	22.950	35.35203							
0.90333	 9.934	 2.976	74.435	47.563	22.950	35.35325							
0.90667	 9.949	 2.976	74.465	47.563	22.965	35.35630							
0.91000	 9.934	 2.976	74.465	47.563	22.996	35.35630							
0.91333	 9.949	 2.976	74.480	47.578	23.041	35.35447							
0.91667	 9.949	 2.976	74.496	47.624	23.057	35.35508							
0.92000	 9.934	 2.991	74.496	47.624	23.087	35.35814							
0.92333	 9.949	 2.991	74.496	47.609	23.087	35.35814							
0.92667	 9.919	 2.991	74.526	47.624	23.103	35.35691							
0.93000	 9.934	 2.991	74.541	47.578	23.087	35.35630							
0.93333	 9.934	 2.991	74.557	47.548	23.087	35.35691							
0.93667	 9.919	 2.976	74.557	47.563	23.087	35.35814							
0.94000	 9.903	 2.976	74.557	47.533	23.103	35.35875							
0.94333	 9.934	 2.976	74.526	47.517	23.133	35.35691							
0.94667	 9.903	 2.976	74.526	47.548	23.118	35.35569							
0.95000	 9.934	 2.976	74.511	47.578	23.164	35.35814							
0.95333	 9.949	 2.976	74.496	47.563	23.194	35.35936							
0.95667	 9.919	 2.976	74.480	47.578	23.225	35.35936							
0.96000	 9.919	 2.976	74.480	47.563	23.225	35.35875							
0.96333	 9.903	 2.976	74.496	47.548	23.286	35.35997							
0.96667	 9.888	 2.960	74.511	47.533	23.286	35.36302							
0.97000	 9.919	 2.960	74.526	47.502	23.301	35.36485							
0.97333	 9.964	 2.960	74.541	47.533	23.301	35.36363							
0.97667	 9.980	 2.960	74.526	47.533	23.301	35.36058							
0.98000	10.010	 2.960	74.511	47.533	23.286	35.36058							
0.98333	10.025	 2.976	74.526	47.548	23.286	35.36119							
0.98667	 9.995	 2.960	74.526	47.578	23.270	35.36058							
0.99000	 9.995	 2.960	74.526	47.548	23.270	35.35814							
0.99333	 9.949	 2.960	74.557	47.533	23.301	35.35936							
0.99667	 9.964	 2.960	74.557	47.563	23.331	35.36119							
1.00000	 9.949	 2.960	74.526	47.517	23.377	35.36241							
1.00333	 9.949	 2.960	74.526	47.517	23.423	35.36058							
1.00667	 9.949	 2.945	74.526	47.502	23.438	35.35936							
1.01000	10.010	 2.960	74.526	47.517	23.438	35.35875							
1.01333	 9.964	 2.960	74.511	47.472	23.469	35.36180							
1.01667	 9.949	 2.960	74.526	47.487	23.484	35.36180							
1.02000	 9.980	 2.976	74.526	47.502	23.469	35.35997							
1.02333	 9.949	 2.991	74.526	47.533	23.484	35.35875							
1.02667	 9.934	 2.976	74.526	47.548	23.499	35.36119							
1.03000	 9.949	 2.976	74.541	47.578	23.499	35.36241							
1.03333	 9.980	 2.976	74.541	47.578	23.484	35.36180							
1.03667	 9.980	 2.960	74.541	47.563	23.515	35.35997							
1.04000	 9.995	 2.945	74.526	47.533	23.530	35.35997							
1.04333	 9.995	 2.945	74.526	47.517	23.560	35.36119							
1.04667	 9.995	 2.945	74.496	47.502	23.591	35.36119							
1.05000	 9.980	 2.945	74.496	47.502	23.621	35.35936							
1.05333	 9.964	 2.960	74.496	47.502	23.637	35.35814							
1.05667	 9.964	 2.976	74.480	47.517	23.682	35.35814							
1.06000	 9.949	 2.960	74.465	47.533	23.698	35.35997							
1.06333	 9.949	 2.960	74.480	47.517	23.682	35.35997							
1.06667	 9.964	 2.945	74.465	47.563	23.728	35.35814							
1.07000	 9.949	 2.945	74.465	47.548	23.759	35.35752							
1.07333	 9.964	 2.945	74.496	47.563	23.774	35.36058							
1.07667	 9.980	 2.960	74.511	47.563	23.820	35.36119							
1.08000	 9.980	 2.960	74.526	47.594	23.865	35.35936							
1.08333	 9.949	 2.960	74.541	47.563	23.865	35.35752							
1.08667	 9.949	 2.960	74.511	47.578	23.881	35.35814							
1.09000	 9.934	 2.945	74.496	47.578	23.896	35.35936							
1.09333	 9.934	 2.945	74.480	47.563	23.896	35.35875							
1.09667	 9.949	 2.945	74.480	47.563	23.911	35.35691							
1.10000	 9.949	 2.960	74.480	47.563	23.911	35.35447							
1.10333	 9.964	 2.976	74.480	47.563	23.942	35.35569							
1.10667	 9.980	 2.991	74.496	47.563	23.972	35.35752							
1.11000	 9.980	 2.991	74.511	47.594	23.988	35.35752							
1.11333	 9.964	 2.991	74.526	47.594	23.988	35.35508							
1.11667	 9.980	 2.991	74.511	47.578	24.033	35.35569							
1.12000	 9.980	 2.976	74.557	47.563	24.064	35.35814							
1.12333	 9.980	 2.976	74.557	47.548	24.049	35.35814							
1.12667	 9.995	 2.976	74.541	47.502	24.064	35.35630							
1.13000	 9.995	 2.976	74.511	47.472	24.094	35.35569							
1.13333	 9.980	 2.991	74.511	47.487	24.110	35.35813							
1.13667	 9.980	 2.976	74.480	47.487	24.110	35.36058							
1.14000	 9.964	 2.991	74.465	47.456	24.171	35.35996							
1.14333	 9.919	 2.991	74.465	47.472	24.186	35.35875							
1.14667	 9.934	 2.991	74.465	47.517	24.186	35.35691							
1.15000	 9.934	 2.960	74.450	47.533	24.201	35.35814							
1.15333	 9.903	 2.960	74.435	47.533	24.216	35.35752							
1.15667	 9.934	 2.945	74.419	47.563	24.216	35.35630							
1.16000	 9.964	 2.945	74.435	47.578	24.247	35.35386							
1.16333	 9.934	 2.945	74.435	47.548	24.293	35.35508							
