Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-09-07\2022-09-07_18;33;48_TP3_01.vdt
Sample ID	TP3
Method File Name	PS CONV-0000.vcm
Date Acquired	Sep 07, 2022 - 18:33:48
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.181

Ret. Vol.	 15.85
Mn - (Daltons)	 17189
Mw - (Daltons)	 25586
Mz - (Daltons)	 36213
Mp - (Daltons)	 22249
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	110.44
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	-3.815	 2.976	 5.570	 8.927	21.744	35.48387							
0.00333	-3.662	 2.976	 5.570	 8.927	21.592	35.35569							
0.00667	-3.815	 2.976	 5.493	 8.927	21.439	35.14817							
0.01000	-3.891	 2.976	 5.570	 8.850	21.363	34.99863							
0.01333	-3.845	 2.976	 5.524	 8.896	21.500	35.18235							
0.01667	-3.891	 2.976	 5.509	 8.866	21.439	35.06943							
0.02000	-3.952	 2.976	 5.493	 8.850	21.439	34.98154							
0.02333	-3.983	 2.976	 5.509	 8.850	21.500	34.93270							
0.02667	-4.013	 2.991	 5.493	 8.835	21.592	34.91317							
0.03000	-3.998	 3.006	 5.493	 8.835	21.699	34.91439							
0.03333	-3.998	 3.006	 5.478	 8.835	21.790	34.92477							
0.03667	-3.998	 3.021	 5.493	 8.835	21.882	34.93881							
0.04000	-3.983	 3.037	 5.463	 8.805	21.958	34.95529							
0.04333	-3.967	 3.021	 5.478	 8.835	22.004	34.97726							
0.04667	-3.952	 3.006	 5.509	 8.835	22.080	35.00107							
0.05000	-3.906	 3.006	 5.509	 8.850	22.126	35.02365							
0.05333	-3.906	 2.991	 5.478	 8.820	22.156	35.04135							
0.05667	-3.891	 2.991	 5.509	 8.805	22.156	35.05966							
0.06000	-3.891	 2.991	 5.478	 8.805	22.187	35.07981							
0.06333	-3.876	 2.991	 5.463	 8.789	22.172	35.09934							
0.06667	-3.876	 2.991	 5.478	 8.789	22.202	35.11521							
0.07000	-3.845	 2.991	 5.509	 8.805	22.187	35.13169							
0.07333	-3.845	 2.976	 5.493	 8.835	22.217	35.14878							
0.07667	-3.815	 2.991	 5.509	 8.820	22.217	35.16587							
0.08000	-3.815	 2.991	 5.478	 8.835	22.202	35.17990							
0.08333	-3.815	 2.991	 5.478	 8.820	22.172	35.19089							
0.08667	-3.830	 2.991	 5.448	 8.850	22.172	35.20127							
0.09000	-3.845	 2.991	 5.448	 8.850	22.141	35.21408							
0.09333	-3.861	 2.976	 5.463	 8.835	22.111	35.22751							
0.09667	-3.876	 2.991	 5.509	 8.835	22.095	35.23850							
0.10000	-3.876	 2.991	 5.509	 8.820	22.065	35.24705							
0.10333	-3.876	 2.991	 5.539	 8.805	22.065	35.25681							
0.10667	-3.861	 3.006	 5.539	 8.805	22.019	35.26902							
0.11000	-3.845	 3.006	 5.524	 8.820	22.004	35.27757							
0.11333	-3.830	 2.991	 5.524	 8.835	21.973	35.28367							
0.11667	-3.845	 3.006	 5.524	 8.850	21.973	35.28977							
0.12000	-3.830	 3.021	 5.509	 8.820	21.912	35.29893							
0.12333	-3.830	 3.006	 5.509	 8.835	21.897	35.30564							
0.12667	-3.815	 2.991	 5.509	 8.805	21.882	35.31052							
0.13000	-3.800	 2.991	 5.509	 8.805	21.867	35.31297							
0.13333	-3.769	 2.991	 5.524	 8.820	21.836	35.31663							
0.13667	-3.784	 2.976	 5.524	 8.850	21.836	35.32090							
0.14000	-3.800	 2.976	 5.509	 8.835	21.805	35.32518							
0.14333	-3.784	 3.006	 5.509	 8.850	21.775	35.32762							
0.14667	-3.784	 3.021	 5.478	 8.835	21.760	35.32823							
0.15000	-3.800	 3.006	 5.478	 8.835	21.729	35.33006							
0.15333	-3.784	 3.006	 5.478	 8.789	21.683	35.33433							
0.15667	-3.784	 3.006	 5.478	 8.774	21.699	35.33677							
0.16000	-3.815	 2.991	 5.478	 8.759	21.653	35.33616							
0.16333	-3.845	 2.976	 5.493	 8.759	21.638	35.33799							
0.16667	-3.830	 2.976	 5.463	 8.759	21.577	35.34226							
0.17000	-3.830	 2.976	 5.448	 8.805	21.561	35.34653							
0.17333	-3.830	 2.976	 5.478	 8.820	21.531	35.34837							
0.17667	-3.845	 2.976	 5.463	 8.835	21.531	35.34959							
0.18000	-3.815	 2.991	 5.463	 8.805	21.485	35.35264							
0.18333	-3.830	 2.991	 5.463	 8.789	21.485	35.35752							
0.18667	-3.830	 2.991	 5.463	 8.774	21.470	35.35936							
0.19000	-3.800	 2.991	 5.448	 8.789	21.424	35.35936							
0.19333	-3.769	 2.991	 5.478	 8.820	21.393	35.35997							
0.19667	-3.784	 2.976	 5.478	 8.850	21.378	35.36424							
0.20000	-3.769	 2.976	 5.509	 8.866	21.378	35.36973							
0.20333	-3.769	 2.991	 5.524	 8.866	21.332	35.37278							
0.20667	-3.769	 2.991	 5.493	 8.866	21.317	35.37400							
0.21000	-3.769	 2.991	 5.478	 8.835	21.271	35.37767							
0.21333	-3.754	 2.991	 5.463	 8.850	21.271	35.38133							
0.21667	-3.784	 3.006	 5.432	 8.866	21.271	35.38438							
0.22000	-3.769	 2.991	 5.432	 8.866	21.271	35.38621							
0.22333	-3.769	 2.991	 5.478	 8.850	21.287	35.38804							
0.22667	-3.800	 2.991	 5.478	 8.881	21.317	35.39109							
0.23000	-3.830	 2.991	 5.524	 8.866	21.302	35.39659							
0.23333	-3.800	 2.976	 5.524	 8.835	21.271	35.39842							
0.23667	-3.800	 2.991	 5.524	 8.820	21.256	35.39842							
0.24000	-3.800	 2.991	 5.509	 8.805	21.226	35.40086							
0.24333	-3.784	 3.006	 5.509	 8.774	21.195	35.40757							
0.24667	-3.754	 3.021	 5.463	 8.759	21.165	35.41246							
0.25000	-3.754	 3.037	 5.478	 8.774	21.134	35.41551							
0.25333	-3.754	 3.037	 5.478	 8.820	21.104	35.41856							
0.25667	-3.769	 3.052	 5.493	 8.835	21.043	35.42405							
0.26000	-3.754	 3.037	 5.493	 8.835	21.027	35.42955							
0.26333	-3.769	 3.021	 5.493	 8.835	20.997	35.43260							
0.26667	-3.784	 3.006	 5.509	 8.820	20.966	35.43382							
0.27000	-3.800	 2.991	 5.509	 8.805	20.966	35.43626							
0.27333	-3.784	 2.991	 5.509	 8.759	20.951	35.44053							
0.27667	-3.784	 2.976	 5.509	 8.759	20.920	35.44419							
0.28000	-3.769	 2.976	 5.524	 8.759	20.905	35.44603							
0.28333	-3.739	 2.976	 5.509	 8.805	20.905	35.44603							
0.28667	-3.723	 2.991	 5.493	 8.805	20.844	35.44786							
0.29000	-3.739	 2.960	 5.463	 8.820	20.829	35.45152							
0.29333	-3.754	 2.976	 5.448	 8.835	20.798	35.45335							
0.29667	-3.769	 2.976	 5.463	 8.835	20.783	35.45396							
0.30000	-3.830	 2.976	 5.463	 8.774	20.753	35.45518							
0.30333	-3.830	 2.960	 5.493	 8.759	20.768	35.45823							
0.30667	-3.815	 2.976	 5.493	 8.774	20.753	35.46189							
0.31000	-3.800	 2.976	 5.478	 8.744	20.753	35.46312							
0.31333	-3.784	 2.991	 5.463	 8.744	20.737	35.46190							
0.31667	-3.769	 2.991	 5.463	 8.728	20.707	35.46312							
0.32000	-3.769	 2.991	 5.417	 8.728	20.692	35.46617							
0.32333	-3.769	 2.991	 5.432	 8.744	20.676	35.46800							
0.32667	-3.769	 2.991	 5.478	 8.759	20.661	35.46678							
0.33000	-3.769	 2.976	 5.448	 8.759	20.646	35.46617							
0.33333	-3.754	 2.976	 5.463	 8.789	20.661	35.46739							
0.33667	-3.754	 2.976	 5.478	 8.820	20.676	35.46922							
0.34000	-3.754	 2.976	 5.463	 8.820	20.676	35.46800							
0.34333	-3.784	 2.960	 5.463	 8.835	20.676	35.46617							
0.34667	-3.800	 2.960	 5.478	 8.820	20.661	35.46434							
0.35000	-3.830	 2.976	 5.478	 8.820	20.646	35.46556							
0.35333	-3.830	 2.976	 5.493	 8.789	20.600	35.46678							
0.35667	-3.830	 2.991	 5.493	 8.759	20.569	35.46495							
0.36000	-3.800	 3.006	 5.478	 8.744	20.508	35.46189							
0.36333	-3.784	 3.006	 5.478	 8.789	20.493	35.46373							
0.36667	-3.739	 2.991	 5.463	 8.820	20.478	35.46678							
0.37000	-3.739	 3.006	 5.493	 8.820	20.478	35.46678							
0.37333	-3.754	 2.991	 5.509	 8.866	20.447	35.46373							
0.37667	-3.754	 2.991	 5.509	 8.881	20.432	35.46373							
0.38000	-3.754	 2.991	 5.539	 8.866	20.402	35.46434							
0.38333	-3.754	 2.991	 5.554	 8.866	20.402	35.46373							
0.38667	-3.784	 2.991	 5.509	 8.866	20.356	35.46068							
0.39000	-3.784	 3.006	 5.509	 8.866	20.371	35.45945							
0.39333	-3.815	 3.021	 5.493	 8.881	20.386	35.45945							
0.39667	-3.830	 3.021	 5.478	 8.866	20.356	35.46189							
0.40000	-3.845	 3.037	 5.478	 8.850	20.295	35.46251							
0.40333	-3.815	 3.037	 5.509	 8.866	20.264	35.46128							
0.40667	-3.800	 3.037	 5.524	 8.866	20.249	35.46006							
0.41000	-3.784	 3.037	 5.539	 8.820	20.234	35.46128							
0.41333	-3.769	 3.037	 5.554	 8.835	20.264	35.46189							
0.41667	-3.769	 3.021	 5.554	 8.820	20.295	35.46067							
0.42000	-3.769	 3.006	 5.554	 8.820	20.325	35.45823							
0.42333	-3.800	 2.991	 5.554	 8.805	20.325	35.45762							
0.42667	-3.784	 2.976	 5.570	 8.850	20.310	35.46067							
0.43000	-3.784	 2.991	 5.539	 8.850	20.295	35.46128							
