Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_22;07;33_TP32_01.vdt
Sample ID	TP32
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 22:07:33
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.093

Ret. Vol.	 15.89
Mn - (Daltons)	 13789
Mw - (Daltons)	 20956
Mz - (Daltons)	 29752
Mp - (Daltons)	 18854
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	 58.13
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	11.368	 2.899	74.236	47.838	23.728	35.37706							
0.00333	11.292	 2.976	74.236	47.761	23.576	35.30076							
0.00667	11.063	 2.976	74.160	47.838	23.423	35.09933							
0.01000	10.834	 2.976	74.084	47.609	23.270	34.93759							
0.01333	11.078	 2.960	74.190	47.746	23.469	35.11276							
0.01667	10.971	 2.991	74.190	47.731	23.423	35.00412							
0.02000	10.880	 2.991	74.175	47.716	23.408	34.91195							
0.02333	10.849	 2.991	74.175	47.670	23.453	34.85824							
0.02667	10.865	 3.006	74.221	47.685	23.545	34.83504							
0.03000	10.880	 3.006	74.206	47.700	23.637	34.83199							
0.03333	10.926	 2.991	74.206	47.670	23.713	34.84237							
0.03667	10.941	 2.991	74.190	47.670	23.804	34.85519							
0.04000	10.941	 2.991	74.190	47.700	23.865	34.87106							
0.04333	10.971	 2.976	74.175	47.700	23.911	34.88937							
0.04667	10.987	 2.976	74.190	47.685	23.972	34.91256							
0.05000	10.987	 2.976	74.175	47.700	24.003	34.93393							
0.05333	11.017	 2.960	74.190	47.700	24.018	34.95285							
0.05667	11.032	 2.960	74.190	47.700	24.033	34.96933							
0.06000	11.017	 2.960	74.175	47.685	24.049	34.98886							
0.06333	11.032	 2.960	74.175	47.700	24.033	35.00778							
0.06667	11.048	 2.960	74.190	47.700	24.049	35.02426							
0.07000	11.063	 2.976	74.206	47.700	24.049	35.03830							
0.07333	11.093	 2.960	74.206	47.716	24.049	35.05356							
0.07667	11.124	 2.945	74.221	47.746	24.049	35.06943							
0.08000	11.139	 2.945	74.206	47.731	24.064	35.08591							
0.08333	11.124	 2.930	74.206	47.746	24.064	35.09811							
0.08667	11.109	 2.930	74.221	47.746	24.049	35.10910							
