Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_22;38;47_TP33_01.vdt
Sample ID	TP33
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 22:38:47
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.057

Ret. Vol.	 15.13	 18.37	 19.07
Mn - (Daltons)	 40989	  1279	   666
Mw - (Daltons)	 56030	  1337	   677
Mz - (Daltons)	 75174	  1398	   689
Mp - (Daltons)	 48255	  1249	   702
IV - (dl/g)	0.0000	0.0000	0.0000
Radius - (nm)	  0.00	  0.00	  0.00
RI Area - (mvml)	 32.41	  2.63	  4.15
UV Area - (mvml)	  0.00	  0.00	  0.00
RALS Area - (mvml)	  0.00	  0.00	  0.00
LALS Area - (mvml)	  0.00	  0.00	  0.00
DP Area - (mvml)	  0.00	  0.00	  0.00
Wt Fr. (A)	 0.000	 0.000	 0.000
Wt Fr. (Peak)	 0.827	 0.067	 0.106
M-H a	 0.000	 0.000	 0.000
M-H logK	 0.000	 0.000	 0.000
Bn - (per molecule)	 0.000	 0.000	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	12.818	 2.976	74.465	47.761	24.873	35.39231							
0.00333	12.818	 2.976	74.465	47.914	24.644	35.22446							
0.00667	12.665	 2.976	74.541	47.685	24.262	34.99557							
0.01000	12.436	 2.976	74.389	47.761	24.262	34.86435							
0.01333	12.650	 2.976	74.450	47.777	24.506	35.06028							
0.01667	12.589	 2.976	74.435	47.761	24.415	34.94247							
0.02000	12.528	 2.976	74.450	47.746	24.400	34.85214							
0.02333	12.482	 2.991	74.419	47.746	24.461	34.80514							
0.02667	12.482	 2.991	74.450	47.731	24.552	34.78866							
0.03000	12.467	 2.991	74.435	47.731	24.628	34.78744							
0.03333	12.467	 2.991	74.450	47.716	24.751	34.79598							
0.03667	12.467	 2.991	74.450	47.685	24.812	34.81002							
0.04000	12.482	 2.991	74.465	47.685	24.903	34.82833							
0.04333	12.513	 2.991	74.450	47.700	24.949	34.85153							
0.04667	12.543	 2.991	74.480	47.670	24.995	34.87472							
0.05000	12.558	 2.991	74.465	47.700	24.995	34.89364							
0.05333	12.558	 2.991	74.435	47.716	25.040	34.91378							
0.05667	12.574	 2.976	74.419	47.731	25.056	34.93637							
0.06000	12.589	 2.976	74.435	47.716	25.086	34.95895							
0.06333	12.589	 2.976	74.419	47.731	25.101	34.97726							
0.06667	12.589	 2.976	74.435	47.731	25.132	34.99374							
0.07000	12.619	 2.976	74.480	47.731	25.117	35.01083							
0.07333	12.619	 2.976	74.465	47.700	25.117	35.02853							
0.07667	12.619	 2.991	74.450	47.716	25.117	35.04379							
0.08000	12.635	 3.006	74.450	47.731	25.117	35.05722							
0.08333	12.650	 3.006	74.450	47.700	25.101	35.06882							
0.08667	12.650	 3.006	74.419	47.685	25.086	35.08102							
0.09000	12.650	 3.006	74.435	47.716	25.086	35.09385							
0.09333	12.680	 2.991	74.419	47.700	25.056	35.10422							
0.09667	12.696	 2.976	74.419	47.685	24.995	35.11216							
0.10000	12.711	 2.976	74.404	47.716	24.964	35.12009							
0.10333	12.711	 2.976	74.419	47.700	24.934	35.13047							
0.10667	12.726	 2.976	74.404	47.700	24.888	35.14145							
0.11000	12.696	 2.976	74.435	47.685	24.873	35.14878							
0.11333	12.680	 2.976	74.435	47.685	24.842	35.15488							
0.11667	12.665	 2.976	74.450	47.655	24.781	35.16282							
0.12000	12.650	 2.976	74.419	47.655	24.766	35.17136							
0.12333	12.680	 2.960	74.450	47.609	24.735	35.17685							
0.12667	12.711	 2.960	74.435	47.624	24.705	35.18113							
0.13000	12.726	 2.960	74.450	47.624	24.674	35.18540							
0.13333	12.741	 2.945	74.435	47.639	24.659	35.19150							
0.13667	12.772	 2.945	74.435	47.639	24.644	35.19883							
0.14000	12.757	 2.960	74.389	47.655	24.598	35.20432							
0.14333	12.726	 2.960	74.374	47.655	24.567	35.20798							
0.14667	12.711	 2.960	74.358	47.655	24.567	35.21103							
0.15000	12.711	 2.976	74.374	47.655	24.537	35.21714							
0.15333	12.711	 2.976	74.374	47.655	24.491	35.22141							
0.15667	12.696	 2.976	74.404	47.685	24.461	35.22324							
0.16000	12.696	 2.976	74.419	47.670	24.400	35.22507							
0.16333	12.696	 2.976	74.435	47.670	24.369	35.22935							
0.16667	12.696	 2.976	74.389	47.670	24.323	35.23545							
0.17000	12.680	 2.976	74.419	47.716	24.293	35.23911							
0.17333	12.680	 2.976	74.419	47.685	24.262	35.24094							
0.17667	12.696	 2.976	74.419	47.700	24.247	35.24277							
0.18000	12.711	 2.976	74.419	47.716	24.186	35.24766							
0.18333	12.711	 2.976	74.465	47.716	24.155	35.25071							
0.18667	12.696	 2.976	74.450	47.700	24.125	35.25254							
0.19000	12.711	 2.976	74.480	47.716	24.094	35.25376							
0.19333	12.711	 2.976	74.496	47.746	24.079	35.25681							
0.19667	12.696	 2.976	74.496	47.761	24.049	35.26170							
0.20000	12.696	 2.960	74.480	47.761	24.033	35.26597							
0.20333	12.711	 2.960	74.480	47.746	24.033	35.26780							
0.20667	12.711	 2.976	74.450	47.761	24.003	35.27085							
0.21000	12.711	 2.976	74.435	47.731	23.972	35.27512							
0.21333	12.741	 2.976	74.404	47.716	23.957	35.28062							
0.21667	12.726	 2.991	74.419	47.716	23.957	35.28367							
0.22000	12.757	 2.991	74.404	47.716	23.911	35.28672							
0.22333	12.772	 2.976	74.404	47.700	23.896	35.28977							
0.22667	12.787	 2.976	74.404	47.700	23.865	35.29649							
0.23000	12.757	 2.976	74.419	47.700	23.865	35.30320							
0.23333	12.787	 2.976	74.404	47.685	23.820	35.30625							
0.23667	12.772	 2.976	74.419	47.685	23.789	35.30808							
0.24000	12.757	 2.991	74.435	47.655	23.743	35.31358							
0.24333	12.741	 2.991	74.435	47.670	23.713	35.31968							
0.24667	12.772	 2.991	74.450	47.639	23.682	35.32273							
0.25000	12.757	 2.976	74.465	47.639	23.652	35.32517							
0.25333	12.757	 2.976	74.450	47.655	23.606	35.32762							
0.25667	12.757	 2.960	74.435	47.685	23.606	35.33128							
0.26000	12.757	 2.960	74.435	47.670	23.591	35.33555							
0.26333	12.741	 2.960	74.419	47.670	23.530	35.33677							
0.26667	12.741	 3.006	74.389	47.700	23.484	35.33677							
0.27000	12.726	 3.006	74.389	47.670	23.469	35.33982							
0.27333	12.741	 3.006	74.404	47.670	23.469	35.34409							
0.27667	12.772	 3.006	74.419	47.670	23.423	35.34592							
0.28000	12.787	 2.991	74.450	47.700	23.392	35.34592							
0.28333	12.787	 2.960	74.480	47.670	23.377	35.34654							
0.28667	12.803	 2.976	74.480	47.685	23.377	35.34898							
0.29000	12.803	 2.960	74.465	47.700	23.331	35.35081							
0.29333	12.787	 2.945	74.450	47.716	23.316	35.35081							
0.29667	12.772	 2.960	74.419	47.685	23.316	35.34959							
0.30000	12.772	 2.960	74.404	47.685	23.286	35.34959							
0.30333	12.787	 2.945	74.404	47.655	23.240	35.35142							
0.30667	12.787	 2.930	74.419	47.670	23.209	35.35386							
0.31000	12.803	 2.945	74.419	47.670	23.179	35.35203							
0.31333	12.818	 2.945	74.435	47.685	23.148	35.35020							
0.31667	12.833	 2.960	74.450	47.716	23.133	35.35081							
0.32000	12.833	 2.960	74.450	47.761	23.118	35.35264							
0.32333	12.818	 2.991	74.435	47.761	23.118	35.35203							
0.32667	12.772	 2.991	74.419	47.731	23.087	35.35142							
