Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_23;10;01_TP34_01.vdt
Sample ID	TP34
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 23:10:01
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI
0.00000	13.352	 2.976	74.618	47.456	25.178	35.38621	
0.00333	13.352	 2.976	74.618	47.609	25.025	35.25193	
0.00667	13.123	 2.976	74.541	47.609	24.949	35.04440	
0.01000	12.970	 2.976	74.541	47.533	24.644	34.91012	
0.01333	13.138	 2.960	74.541	47.517	24.903	35.08469	
0.01667	13.031	 2.960	74.526	47.533	24.827	34.96017	
0.02000	12.970	 2.960	74.496	47.487	24.812	34.85580	
0.02333	12.925	 2.945	74.496	47.472	24.842	34.79598	
0.02667	12.909	 2.945	74.496	47.487	24.949	34.76913	
0.03000	12.909	 2.976	74.526	47.502	25.040	34.75936	
0.03333	12.955	 2.960	74.526	47.472	25.147	34.76241	
0.03667	12.955	 2.945	74.557	47.517	25.208	34.77523	
0.04000	12.986	 2.960	74.557	47.502	25.269	34.79354	
0.04333	13.001	 2.960	74.541	47.487	25.315	34.81307	
0.04667	13.031	 2.945	74.526	47.517	25.376	34.83138	
0.05000	13.031	 2.960	74.526	47.563	25.422	34.84970	
0.05333	13.047	 2.991	74.496	47.533	25.468	34.87045	
0.05667	13.031	 2.976	74.465	47.533	25.513	34.89059	
0.06000	13.047	 2.976	74.480	47.517	25.559	34.90768	
0.06333	13.047	 2.976	74.496	47.487	25.590	34.92355	
0.06667	13.062	 2.976	74.496	47.456	25.605	34.94064	
0.07000	13.047	 2.960	74.496	47.456	25.620	34.95956	
0.07333	13.062	 2.976	74.541	47.472	25.636	34.97665	
0.07667	13.062	 2.976	74.526	47.502	25.651	34.99069	
0.08000	13.077	 2.976	74.526	47.517	25.636	35.00473	
0.08333	13.092	 2.976	74.526	47.502	25.605	35.02182	
0.08667	13.108	 2.960	74.526	47.517	25.620	35.03769	
0.09000	13.123	 2.976	74.511	47.533	25.605	35.05112	
0.09333	13.153	 2.960	74.526	47.487	25.529	35.06210	
0.09667	13.138	 2.960	74.511	47.487	25.513	35.07248	
0.10000	13.123	 2.960	74.511	47.533	25.498	35.08591	
0.10333	13.123	 2.960	74.511	47.548	25.468	35.09873	
0.10667	13.123	 2.945	74.496	47.517	25.437	35.10849	
0.11000	13.108	 2.960	74.480	47.548	25.452	35.11643	
0.11333	13.153	 2.960	74.496	47.533	25.422	35.12680	
0.11667	13.169	 2.960	74.496	47.517	25.422	35.13535	
0.12000	13.169	 2.976	74.511	47.517	25.376	35.14084	
0.12333	13.184	 2.976	74.526	47.517	25.346	35.14206	
0.12667	13.184	 2.976	74.557	47.517	25.330	35.14328	
0.13000	13.153	 2.991	74.541	47.533	25.315	35.14389	
0.13333	13.138	 2.976	74.541	47.533	25.285	35.14511	
0.13667	13.138	 2.976	74.541	47.517	25.269	35.14328	
0.14000	13.153	 2.976	74.541	47.578	25.239	35.14023	
0.14333	13.184	 2.976	74.526	47.563	25.208	35.13840	
0.14667	13.184	 2.945	74.557	47.533	25.178	35.14023	
0.15000	13.184	 2.960	74.557	47.533	25.147	35.13962	
0.15333	13.199	 2.960	74.541	47.517	25.117	35.13718	
0.15667	13.184	 2.960	74.541	47.487	25.117	35.13596	
0.16000	13.184	 2.960	74.526	47.487	25.101	35.13779	
0.16333	13.215	 2.976	74.496	47.517	25.101	35.14145	
0.16667	13.215	 2.976	74.480	47.502	25.086	35.14389	
0.17000	13.215	 2.976	74.480	47.517	25.086	35.14634	
0.17333	13.199	 2.976	74.496	47.502	25.010	35.15000	
0.17667	13.184	 2.976	74.511	47.502	24.979	35.15610	
0.18000	13.184	 2.960	74.511	47.487	24.949	35.16159	
0.18333	13.199	 2.960	74.526	47.502	24.949	35.16648	
0.18667	13.215	 2.960	74.541	47.487	24.903	35.17014	
0.19000	13.230	 2.960	74.511	47.487	24.903	35.17685	
0.19333	13.230	 2.945	74.480	47.502	24.857	35.18479	
0.19667	13.215	 2.960	74.480	47.487	24.796	35.19150	
0.20000	13.215	 2.976	74.465	47.472	24.735	35.19516	
0.20333	13.199	 2.976	74.450	47.472	24.705	35.20127	
0.20667	13.215	 2.976	74.450	47.487	24.689	35.21042	
0.21000	13.215	 3.006	74.450	47.472	24.674	35.22080	
0.21333	13.230	 2.991	74.465	47.502	24.674	35.22995	
0.21667	13.245	 2.960	74.480	47.533	24.644	35.23850	
0.22000	13.276	 2.960	74.496	47.563	24.628	35.24888	
0.22333	13.260	 2.945	74.480	47.533	24.613	35.26048	
0.22667	13.260	 2.930	74.511	47.517	24.598	35.27024	
0.23000	13.230	 2.930	74.511	47.517	24.598	35.27757	
0.23333	13.215	 2.945	74.496	47.472	24.583	35.28489	
0.23667	13.184	 2.945	74.480	47.441	24.552	35.29404	
0.24000	13.184	 2.960	74.511	47.472	24.506	35.30442	
0.24333	13.184	 2.945	74.511	47.517	24.522	35.31297	
0.24667	13.215	 2.960	74.496	47.533	24.461	35.31907	
0.25000	13.230	 2.960	74.496	47.563	24.400	35.32578	
0.25333	13.260	 2.976	74.511	47.548	24.369	35.33494	
0.25667	13.276	 2.976	74.511	47.533	24.323	35.34287	
0.26000	13.306	 2.991	74.526	47.502	24.232	35.34837	
0.26333	13.306	 2.991	74.541	47.472	24.201	35.35203	
0.26667	13.321	 2.991	74.572	47.456	24.201	35.35935	
0.27000	13.306	 2.976	74.557	47.487	24.186	35.36668	
0.27333	13.321	 2.976	74.557	47.472	24.171	35.37156	
0.27667	13.291	 2.976	74.541	47.487	24.155	35.37461	
0.28000	13.291	 2.976	74.541	47.502	24.125	35.37828	
0.28333	13.276	 2.976	74.511	47.502	24.079	35.38194	
0.28667	13.260	 2.976	74.526	47.487	24.018	35.38499	
0.29000	13.245	 2.960	74.511	47.487	23.972	35.38621	
0.29333	13.260	 2.960	74.480	47.487	23.911	35.38560	
0.29667	13.245	 2.960	74.465	47.487	23.881	35.38682	
0.30000	13.245	 2.960	74.450	47.502	23.865	35.38926	
0.30333	13.245	 2.960	74.435	47.502	23.835	35.39170	
0.30667	13.260	 2.976	74.435	47.517	23.789	35.39048	
0.31000	13.276	 2.976	74.450	47.533	23.774	35.38926	
0.31333	13.306	 2.976	74.465	47.548	23.743	35.39109	
0.31667	13.321	 2.976	74.480	47.517	23.728	35.39354	
0.32000	13.337	 2.960	74.496	47.517	23.743	35.39293	
0.32333	13.321	 2.960	74.480	47.517	23.713	35.39048	
0.32667	13.291	 2.960	74.496	47.502	23.667	35.38865	
0.33000	13.276	 2.960	74.496	47.487	23.637	35.38926	
0.33333	13.260	 2.960	74.511	47.533	23.621	35.38987	
0.33667	13.245	 2.976	74.496	47.548	23.591	35.38621	
0.34000	13.230	 2.991	74.526	47.548	23.606	35.38377	
0.34333	13.245	 2.991	74.541	47.548	23.576	35.38316	
0.34667	13.230	 2.991	74.526	47.548	23.576	35.38316	
0.35000	13.230	 2.991	74.511	47.533	23.530	35.38133	
0.35333	13.245	 2.991	74.526	47.533	23.515	35.37950	
0.35667	13.276	 2.976	74.526	47.517	23.484	35.37706	
0.36000	13.276	 2.976	74.496	47.517	23.484	35.37889	
0.36333	13.276	 2.976	74.496	47.517	23.469	35.37889	
0.36667	13.260	 2.960	74.480	47.533	23.484	35.37706	
0.37000	13.260	 2.960	74.480	47.533	23.438	35.37461	
0.37333	13.215	 2.960	74.480	47.548	23.438	35.37400	
0.37667	13.215	 2.960	74.480	47.548	23.423	35.37339	
0.38000	13.230	 2.960	74.480	47.548	23.377	35.37339	
0.38333	13.230	 2.976	74.496	47.517	23.316	35.37156	
0.38667	13.215	 2.976	74.480	47.517	23.286	35.36851	
0.39000	13.245	 2.976	74.480	47.502	23.255	35.36912	
0.39333	13.245	 2.976	74.511	47.502	23.255	35.37217	
0.39667	13.276	 2.976	74.526	47.502	23.270	35.37278	
0.40000	13.291	 2.976	74.541	47.502	23.301	35.37034	
0.40333	13.306	 2.960	74.541	47.502	23.316	35.37034	
0.40667	13.306	 2.960	74.526	47.487	23.301	35.37156	
0.41000	13.306	 2.960	74.496	47.472	23.301	35.37156	
0.41333	13.276	 2.960	74.496	47.456	23.301	35.36973	
0.41667	13.260	 2.960	74.511	47.456	23.255	35.36790	
0.42000	13.245	 2.991	74.511	47.472	23.209	35.36851	
0.42333	13.245	 2.991	74.511	47.517	23.209	35.37034	
0.42667	13.230	 2.991	74.526	47.502	23.194	35.36973	
0.43000	13.215	 2.991	74.526	47.517	23.148	35.36729	
0.43333	13.245	 2.991	74.526	47.533	23.133	35.36668	
0.43667	13.245	 2.976	74.511	47.502	23.148	35.36729	
0.44000	13.260	 2.976	74.541	47.472	23.148	35.36851	
0.44333	13.260	 2.976	74.541	47.487	23.118	35.36790	
0.44667	13.276	 2.976	74.526	47.472	23.118	35.36546	
0.45000	13.245	 2.991	74.511	47.456	23.103	35.36485	
0.45333	13.260	 2.991	74.526	47.472	23.087	35.36607	
0.45667	13.260	 2.976	74.480	47.487	23.041	35.36668	
0.46000	13.276	 2.976	74.465	47.472	23.041	35.36485	
0.46333	13.276	 2.991	74.465	47.487	23.011	35.36362	
0.46667	13.260	 2.976	74.435	47.487	22.980	35.36424	
0.47000	13.230	 2.960	74.450	47.487	22.996	35.36607	
0.47333	13.199	 2.976	74.465	47.487	22.996	35.36424	
0.47667	13.184	 2.991	74.465	47.533	22.980	35.36180	
0.48000	13.184	 2.976	74.465	47.533	22.965	35.35997	
0.48333	13.184	 2.976	74.465	47.548	22.996	35.36119	
0.48667	13.230	 2.991	74.435	47.563	22.950	35.36119	
0.49000	13.230	 2.991	74.419	47.563	22.950	35.36058	
0.49333	13.215	 2.976	74.435	47.548	22.935	35.35814	
0.49667	13.215	 2.976	74.450	47.533	22.935	35.35936	
0.50000	13.230	 2.976	74.465	47.533	22.904	35.36119	
0.50333	13.215	 2.991	74.480	47.533	22.919	35.35997	
0.50667	13.230	 2.976	74.496	47.517	22.904	35.35691	
0.51000	13.260	 2.976	74.465	47.517	22.904	35.35508	
0.51333	13.276	 2.991	74.450	47.517	22.874	35.35569	
0.51667	13.276	 2.991	74.435	47.517	22.858	35.35569	
0.52000	13.230	 2.976	74.450	47.502	22.858	35.35508	
0.52333	13.230	 2.991	74.465	47.517	22.828	35.35386	
0.52667	13.215	 2.991	74.496	47.502	22.797	35.35386	
0.53000	13.199	 2.976	74.496	47.517	22.828	35.35447	
0.53333	13.199	 2.976	74.511	47.517	22.797	35.35569	
0.53667	13.230	 2.976	74.496	47.502	22.752	35.35386	
0.54000	13.215	 2.991	74.496	47.487	22.752	35.35081	
0.54333	13.245	 2.991	74.511	47.487	22.767	35.35203	
0.54667	13.230	 2.991	74.496	47.502	22.736	35.35386	
0.55000	13.245	 2.976	74.480	47.472	22.752	35.35264	
0.55333	13.260	 2.960	74.480	47.487	22.782	35.35142	
0.55667	13.276	 2.945	74.465	47.472	22.767	35.35081	
0.56000	13.276	 2.945	74.450	47.456	22.752	35.35203	
0.56333	13.291	 2.945	74.480	47.441	22.767	35.35386	
0.56667	13.291	 2.960	74.511	47.456	22.752	35.35203	
0.57000	13.291	 2.976	74.526	47.441	22.721	35.35020	
0.57333	13.260	 2.991	74.541	47.487	22.736	35.35203	
0.57667	13.230	 2.976	74.541	47.472	22.736	35.35386	
0.58000	13.230	 2.976	74.526	47.472	22.706	35.35386	
0.58333	13.215	 2.960	74.526	47.456	22.706	35.35203	
0.58667	13.184	 2.945	74.526	47.472	22.675	35.35142	
0.59000	13.199	 2.930	74.541	47.441	22.660	35.35325	
0.59333	13.199	 2.930	74.541	47.456	22.645	35.35508	
0.59667	13.199	 2.915	74.587	47.456	22.645	35.35386	
0.60000	13.184	 2.930	74.557	47.487	22.629	35.35203	
0.60333	13.184	 2.930	74.541	47.472	22.645	35.35081	
0.60667	13.199	 2.930	74.496	47.472	22.645	35.35203	
0.61000	13.215	 2.945	74.480	47.487	22.645	35.35325	
0.61333	13.215	 2.960	74.450	47.487	22.645	35.35203	
0.61667	13.230	 2.960	74.465	47.487	22.645	35.35142	
0.62000	13.260	 2.976	74.480	47.502	22.614	35.35386	
0.62333	13.276	 2.960	74.496	47.517	22.614	35.35630	
0.62667	13.260	 2.945	74.496	47.533	22.614	35.35508	
0.63000	13.260	 2.945	74.496	47.517	22.599	35.35325	
0.63333	13.276	 2.945	74.480	47.517	22.614	35.35203	
0.63667	13.260	 2.945	74.480	47.502	22.629	35.35325	
