Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-12-06\2022-12-06_12;58;36_TP39_01.vdt
Sample ID	TP39
Method File Name	ps conv-0004.vcm
Date Acquired	Dec 06, 2022 - 12:58:36
Solvent	THF
Operator	ADMIN : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.864

Ret. Vol.	 16.34
Mn - (Daltons)	  9402
Mw - (Daltons)	 13610
Mz - (Daltons)	 19114
Mp - (Daltons)	 12079
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	390.01
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	19.532	 3.052	 5.646	 9.003	30.824	35.31297							
0.00333	19.379	 3.052	 5.570	 9.003	30.747	35.17868							
0.00667	19.074	 3.052	 5.417	 8.927	30.519	34.96811							
0.01000	19.074	 3.052	 5.493	 8.927	30.519	34.80331							
0.01333	19.211	 3.037	 5.539	 8.942	30.625	34.99191							
0.01667	19.074	 3.037	 5.524	 8.942	30.580	34.85580							
0.02000	18.998	 3.021	 5.509	 8.911	30.580	34.74227							
0.02333	18.967	 3.006	 5.493	 8.911	30.641	34.67147							
0.02667	18.937	 3.006	 5.478	 8.911	30.747	34.63179							
0.03000	18.937	 3.021	 5.463	 8.927	30.854	34.61104							
0.03333	18.983	 3.006	 5.463	 8.911	30.961	34.60494							
0.03667	18.998	 3.006	 5.463	 8.896	31.037	34.60982							
0.04000	19.013	 3.021	 5.493	 8.881	31.159	34.61715							
0.04333	19.028	 3.006	 5.524	 8.881	31.220	34.62874							
0.04667	19.028	 2.991	 5.539	 8.866	31.297	34.64522							
0.05000	19.028	 2.991	 5.539	 8.866	31.373	34.66658							
0.05333	19.028	 3.006	 5.554	 8.896	31.465	34.68917							
0.05667	19.044	 3.006	 5.554	 8.911	31.495	34.71114							
0.06000	19.074	 3.021	 5.539	 8.896	31.571	34.73251							
0.06333	19.105	 3.021	 5.539	 8.896	31.632	34.75509							
0.06667	19.135	 3.037	 5.524	 8.881	31.678	34.77828							
0.07000	19.150	 3.021	 5.539	 8.850	31.709	34.79842							
0.07333	19.150	 3.006	 5.554	 8.835	31.755	34.81734							
0.07667	19.150	 3.006	 5.554	 8.835	31.755	34.83627							
0.08000	19.150	 3.006	 5.554	 8.835	31.739	34.85641							
0.08333	19.120	 2.991	 5.585	 8.820	31.739	34.87594							
0.08667	19.089	 3.006	 5.554	 8.850	31.724	34.89242							
0.09000	19.089	 3.006	 5.539	 8.850	31.724	34.90890							
0.09333	19.089	 2.991	 5.539	 8.835	31.739	34.92416							
0.09667	19.089	 2.991	 5.509	 8.835	31.755	34.94125							
0.10000	19.105	 2.991	 5.478	 8.835	31.770	34.95529							
0.10333	19.135	 2.976	 5.463	 8.820	31.800	34.96872							
0.10667	19.166	 2.976	 5.478	 8.850	31.770	34.97910							
0.11000	19.166	 2.976	 5.493	 8.850	31.739	34.98947							
0.11333	19.166	 2.976	 5.524	 8.881	31.724	34.99557							
0.11667	19.196	 2.991	 5.524	 8.911	31.678	34.99741							
0.12000	19.181	 2.991	 5.554	 8.927	31.632	34.99435							
0.12333	19.166	 2.991	 5.539	 8.911	31.632	34.99069							
0.12667	19.181	 2.991	 5.539	 8.942	31.602	34.98764							
0.13000	19.196	 3.006	 5.524	 8.911	31.587	34.98154							
0.13333	19.166	 3.006	 5.554	 8.896	31.602	34.97299							
0.13667	19.181	 3.006	 5.539	 8.881	31.587	34.96323							
0.14000	19.181	 3.021	 5.570	 8.881	31.541	34.95468							
0.14333	19.181	 3.021	 5.539	 8.881	31.556	34.94491							
0.14667	19.150	 3.006	 5.539	 8.881	31.541	34.93454							
0.15000	19.150	 2.991	 5.524	 8.866	31.510	34.92416							
0.15333	19.150	 2.991	 5.524	 8.881	31.526	34.91562							
0.15667	19.135	 2.991	 5.493	 8.866	31.526	34.90829							
0.16000	19.120	 3.006	 5.509	 8.881	31.526	34.90341							
0.16333	19.150	 3.006	 5.524	 8.881	31.510	34.89791							
0.16667	19.150	 3.021	 5.493	 8.896	31.510	34.89303							
0.17000	19.150	 3.021	 5.509	 8.896	31.495	34.89120							
0.17333	19.166	 3.006	 5.509	 8.881	31.510	34.89303							
0.17667	19.166	 3.006	 5.524	 8.881	31.510	34.89486							
0.18000	19.150	 3.021	 5.539	 8.881	31.526	34.89791							
0.18333	19.150	 3.006	 5.554	 8.866	31.541	34.90341							
0.18667	19.135	 3.021	 5.539	 8.850	31.556	34.91073							
0.19000	19.166	 3.037	 5.554	 8.835	31.556	34.91867							
0.19333	19.166	 3.021	 5.539	 8.820	31.541	34.92660							
