Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-09-07\2022-09-07_23;13;17_TP14_01.vdt
Sample ID	TP14
Method File Name	PS CONV-0000.vcm
Date Acquired	Sep 07, 2022 - 23:13:17
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.140

Ret. Vol.	 15.63
Mn - (Daltons)	 19075
Mw - (Daltons)	 32779
Mz - (Daltons)	 49704
Mp - (Daltons)	 29968
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	 83.08
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	-1.373	 3.052	 5.722	 8.850	21.363	35.50218							
0.00333	-1.526	 3.052	 5.570	 9.003	21.592	35.40452							
0.00667	-1.373	 2.899	 5.646	 8.927	21.210	35.20310							
0.01000	-1.526	 2.976	 5.570	 8.850	21.134	35.03525							
0.01333	-1.495	 3.006	 5.600	 8.896	21.287	35.21103							
0.01667	-1.587	 2.991	 5.554	 8.881	21.256	35.07919							
0.02000	-1.648	 2.976	 5.554	 8.850	21.226	34.96506							
0.02333	-1.709	 2.991	 5.539	 8.789	21.271	34.89486							
0.02667	-1.755	 2.991	 5.524	 8.774	21.363	34.85946							
0.03000	-1.770	 2.991	 5.539	 8.759	21.455	34.84787							
0.03333	-1.755	 2.991	 5.539	 8.744	21.577	34.85275							
0.03667	-1.724	 2.991	 5.524	 8.713	21.653	34.86801							
0.04000	-1.740	 3.006	 5.509	 8.759	21.729	34.88632							
0.04333	-1.724	 3.006	 5.478	 8.759	21.775	34.90524							
0.04667	-1.709	 2.991	 5.478	 8.774	21.851	34.92660							
0.05000	-1.679	 2.991	 5.448	 8.805	21.912	34.95041							
0.05333	-1.648	 2.991	 5.463	 8.820	21.973	34.97482							
0.05667	-1.602	 2.976	 5.448	 8.789	22.019	34.99557							
0.06000	-1.572	 2.991	 5.493	 8.789	22.080	35.01450							
0.06333	-1.556	 2.991	 5.493	 8.789	22.111	35.03586							
0.06667	-1.556	 3.006	 5.539	 8.789	22.111	35.05905							
0.07000	-1.541	 3.006	 5.524	 8.789	22.126	35.07858							
0.07333	-1.541	 3.006	 5.509	 8.805	22.156	35.09690							
0.07667	-1.541	 3.006	 5.478	 8.820	22.172	35.11460							
0.08000	-1.541	 3.006	 5.448	 8.805	22.172	35.13169							
0.08333	-1.541	 2.991	 5.448	 8.805	22.187	35.14817							
0.08667	-1.572	 2.991	 5.448	 8.805	22.187	35.16159							
0.09000	-1.572	 3.006	 5.493	 8.820	22.187	35.17258							
0.09333	-1.572	 2.991	 5.509	 8.805	22.202	35.18235							
