Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-01-17\2023-01-18_00;14;21_TP40R_01.vdt
Sample ID	TP40R
Method File Name	ps conv-0004.vcm
Date Acquired	Jan 18, 2023 - 00:14:21
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.051

Ret. Vol.	 16.18
Mn - (Daltons)	  9339
Mw - (Daltons)	 14996
Mz - (Daltons)	 22237
Mp - (Daltons)	 14147
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	304.64
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 1.144	 3.052	 5.570	 9.003	41.047	35.44419							
0.00333	 1.297	 2.976	 5.646	 9.003	41.047	35.35569							
0.00667	 1.144	 2.976	 5.493	 9.003	40.819	35.17868							
0.01000	 0.992	 3.052	 5.646	 9.003	40.666	35.06882							
0.01333	 1.114	 3.006	 5.600	 8.988	40.864	35.21042							
0.01667	 1.068	 3.006	 5.615	 8.972	40.819	35.11460							
0.02000	 0.977	 3.006	 5.615	 8.942	40.757	35.03098							
0.02333	 0.931	 3.021	 5.631	 8.927	40.757	34.97849							
0.02667	 0.916	 3.021	 5.615	 8.911	40.819	34.94796							
0.03000	 0.900	 3.037	 5.600	 8.911	40.880	34.93087							
0.03333	 0.916	 3.037	 5.585	 8.911	40.941	34.92294							
0.03667	 0.946	 3.052	 5.585	 8.911	41.017	34.91928							
0.04000	 0.931	 3.037	 5.570	 8.881	41.078	34.92172							
0.04333	 0.931	 3.037	 5.570	 8.881	41.124	34.92782							
0.04667	 0.931	 3.037	 5.570	 8.850	41.169	34.93637							
0.05000	 0.946	 3.037	 5.554	 8.866	41.200	34.94552							
0.05333	 0.931	 3.021	 5.554	 8.850	41.231	34.95773							
0.05667	 0.961	 3.037	 5.570	 8.881	41.261	34.97238							
0.06000	 0.977	 3.037	 5.554	 8.881	41.292	34.98703							
0.06333	 1.022	 3.021	 5.539	 8.896	41.307	35.00046							
0.06667	 1.022	 3.037	 5.554	 8.866	41.322	35.01450							
0.07000	 1.068	 3.037	 5.539	 8.911	41.353	35.02914							
0.07333	 1.099	 3.021	 5.539	 8.881	41.383	35.04257							
0.07667	 1.083	 3.021	 5.554	 8.881	41.429	35.05539							
0.08000	 1.083	 3.021	 5.570	 8.896	41.414	35.06760							
0.08333	 1.083	 2.991	 5.585	 8.896	41.429	35.07858							
0.08667	 1.068	 2.991	 5.570	 8.866	41.429	35.08957							
0.09000	 1.038	 2.991	 5.570	 8.896	41.429	35.10178							
0.09333	 1.083	 2.976	 5.570	 8.866	41.398	35.11155							
0.09667	 1.053	 2.976	 5.554	 8.866	41.429	35.12192							
0.10000	 1.068	 2.976	 5.539	 8.850	41.414	35.13108							
0.10333	 1.068	 2.976	 5.539	 8.866	41.414	35.13962							
0.10667	 1.114	 2.976	 5.539	 8.850	41.414	35.14389							
0.11000	 1.083	 2.991	 5.524	 8.866	41.398	35.14634							
0.11333	 1.114	 2.991	 5.539	 8.835	41.383	35.14328							
0.11667	 1.114	 3.006	 5.509	 8.850	41.383	35.13840							
0.12000	 1.114	 3.021	 5.524	 8.835	41.368	35.12986							
0.12333	 1.083	 3.037	 5.539	 8.866	41.337	35.11887							
0.12667	 1.083	 3.021	 5.570	 8.881	41.322	35.10422							
0.13000	 1.053	 3.021	 5.554	 8.911	41.292	35.09079							
0.13333	 1.038	 3.006	 5.585	 8.942	41.292	35.07553							
0.13667	 1.022	 3.006	 5.600	 8.972	41.292	35.05783							
0.14000	 1.007	 2.991	 5.570	 8.942	41.292	35.03647							
0.14333	 1.022	 3.006	 5.554	 8.957	41.307	35.01511							
0.14667	 1.022	 3.006	 5.585	 8.942	41.322	34.99252							
0.15000	 1.007	 3.021	 5.570	 8.927	41.307	34.96933							
0.15333	 1.007	 3.021	 5.539	 8.896	41.307	34.94735							
0.15667	 1.007	 3.037	 5.554	 8.911	41.322	34.92660							
0.16000	 0.992	 3.037	 5.554	 8.881	41.337	34.90646							
0.16333	 0.992	 3.052	 5.524	 8.896	41.353	34.89059							
0.16667	 0.992	 3.052	 5.524	 8.911	41.368	34.87594							
0.17000	 0.977	 3.052	 5.524	 8.927	41.383	34.86129							
0.17333	 0.977	 3.052	 5.524	 8.911	41.383	34.84909							
0.17667	 0.961	 3.037	 5.539	 8.911	41.368	34.84054							
0.18000	 0.961	 3.037	 5.585	 8.911	41.383	34.83321							
0.18333	 0.916	 3.021	 5.570	 8.896	41.398	34.82650							
0.18667	 0.931	 3.006	 5.585	 8.881	41.398	34.82284							
0.19000	 0.931	 3.006	 5.570	 8.896	41.429	34.82101							
0.19333	 0.931	 3.006	 5.524	 8.896	41.444	34.82101							
0.19667	 0.916	 3.006	 5.493	 8.896	41.490	34.82223							
0.20000	 0.961	 3.006	 5.524	 8.911	41.520	34.82589							
0.20333	 0.916	 3.021	 5.509	 8.927	41.536	34.83016							
0.20667	 0.900	 3.021	 5.524	 8.927	41.551	34.83810							
0.21000	 0.916	 3.021	 5.585	 8.927	41.597	34.84664							
0.21333	 0.946	 3.021	 5.570	 8.942	41.597	34.85397							
0.21667	 0.916	 3.037	 5.554	 8.942	41.612	34.86374							
0.22000	 0.977	 3.021	 5.600	 8.972	41.658	34.87533							
0.22333	 0.961	 3.021	 5.600	 8.957	41.673	34.88937							
0.22667	 0.977	 3.037	 5.570	 8.972	41.673	34.90890							
0.23000	 0.977	 3.037	 5.585	 8.957	41.658	34.93270							
0.23333	 0.992	 3.021	 5.585	 8.942	41.673	34.95895							
0.23667	 1.007	 3.021	 5.554	 8.896	41.658	34.98947							
0.24000	 1.053	 3.021	 5.554	 8.881	41.658	35.01938							
0.24333	 1.053	 3.021	 5.554	 8.881	41.643	35.04745							
0.24667	 1.038	 3.006	 5.539	 8.866	41.627	35.07370							
0.25000	 1.068	 3.021	 5.554	 8.866	41.581	35.09812							
0.25333	 1.114	 3.021	 5.570	 8.850	41.551	35.12070							
0.25667	 1.144	 3.006	 5.570	 8.881	41.551	35.14206							
0.26000	 1.160	 2.991	 5.570	 8.866	41.520	35.15976							
0.26333	 1.175	 2.991	 5.585	 8.866	41.520	35.17502							
0.26667	 1.190	 2.976	 5.585	 8.850	41.490	35.19089							
0.27000	 1.129	 2.991	 5.554	 8.866	41.490	35.20615							
0.27333	 1.099	 2.991	 5.570	 8.850	41.459	35.22080							
0.27667	 1.129	 2.991	 5.570	 8.820	41.444	35.23484							
0.28000	 1.205	 3.006	 5.585	 8.820	41.398	35.24827							
0.28333	 1.221	 3.021	 5.600	 8.820	41.368	35.26170							
0.28667	 1.236	 3.006	 5.585	 8.835	41.322	35.27329							
0.29000	 1.251	 3.021	 5.539	 8.835	41.246	35.28367							
