Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-12-06\2022-12-06_14;31;55_TP42_01.vdt
Sample ID	TP42
Method File Name	ps conv-0004.vcm
Date Acquired	Dec 06, 2022 - 14:31:55
Solvent	THF
Operator	ADMIN : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.837

Ret. Vol.	 16.62
Mn - (Daltons)	  6543
Mw - (Daltons)	 10328
Mz - (Daltons)	 15390
Mp - (Daltons)	  8360
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	618.00
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	20.676	 2.976	 5.493	 8.774	32.502	35.29771							
0.00333	20.524	 2.976	 5.570	 8.850	32.350	35.17868							
0.00667	20.371	 2.976	 5.493	 8.698	32.044	34.96200							
0.01000	20.142	 2.976	 5.493	 8.698	31.968	34.78500							
0.01333	20.371	 2.976	 5.478	 8.759	32.182	34.97787							
0.01667	20.264	 2.976	 5.463	 8.774	32.121	34.83871							
0.02000	20.188	 2.976	 5.432	 8.759	32.105	34.72029							
0.02333	20.142	 2.991	 5.402	 8.789	32.197	34.64339							
0.02667	20.157	 2.991	 5.387	 8.789	32.319	34.59944							
0.03000	20.157	 2.991	 5.371	 8.789	32.441	34.58113							
0.03333	20.157	 2.991	 5.356	 8.789	32.563	34.58113							
0.03667	20.173	 2.991	 5.417	 8.820	32.685	34.59090							
0.04000	20.188	 2.976	 5.432	 8.789	32.762	34.60494							
0.04333	20.188	 2.976	 5.448	 8.820	32.823	34.62325							
0.04667	20.203	 2.976	 5.493	 8.820	32.914	34.64461							
0.05000	20.219	 2.976	 5.524	 8.820	32.975	34.66842							
0.05333	20.234	 2.976	 5.478	 8.805	33.052	34.68978							
0.05667	20.280	 2.976	 5.478	 8.789	33.097	34.71053							
0.06000	20.295	 2.991	 5.448	 8.774	33.143	34.73129							
0.06333	20.310	 3.006	 5.432	 8.805	33.189	34.75265							
0.06667	20.325	 3.006	 5.417	 8.805	33.204	34.77218							
0.07000	20.341	 3.006	 5.402	 8.789	33.235	34.79049							
0.07333	20.325	 3.006	 5.402	 8.805	33.250	34.80697							
0.07667	20.325	 3.006	 5.417	 8.820	33.280	34.82406							
0.08000	20.341	 3.006	 5.432	 8.759	33.265	34.83993							
0.08333	20.371	 3.021	 5.432	 8.744	33.296	34.85397							
0.08667	20.371	 3.037	 5.448	 8.744	33.280	34.86435							
0.09000	20.371	 3.052	 5.463	 8.759	33.280	34.87594							
0.09333	20.386	 3.037	 5.463	 8.728	33.280	34.88937							
0.09667	20.386	 3.037	 5.448	 8.728	33.280	34.90402							
0.10000	20.386	 3.021	 5.463	 8.759	33.296	34.91684							
0.10333	20.402	 3.021	 5.463	 8.759	33.280	34.92904							
0.10667	20.417	 3.006	 5.463	 8.728	33.265	34.94064							
0.11000	20.447	 3.021	 5.478	 8.744	33.280	34.94979							
0.11333	20.463	 3.006	 5.478	 8.774	33.296	34.95590							
0.11667	20.447	 3.021	 5.478	 8.744	33.265	34.95773							
0.12000	20.432	 3.021	 5.448	 8.744	33.265	34.95590							
0.12333	20.417	 3.037	 5.417	 8.789	33.265	34.95285							
0.12667	20.371	 3.037	 5.387	 8.774	33.235	34.94796							
0.13000	20.356	 3.037	 5.402	 8.789	33.189	34.93881							
0.13333	20.325	 3.021	 5.371	 8.805	33.174	34.92660							
0.13667	20.341	 3.021	 5.387	 8.805	33.113	34.91500							
0.14000	20.356	 3.006	 5.402	 8.789	33.097	34.90341							
0.14333	20.371	 2.991	 5.417	 8.805	33.097	34.89303							
