Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-12-06\2022-12-06_15;03;00_TP43_01.vdt
Sample ID	TP43
Method File Name	ps conv-0004.vcm
Date Acquired	Dec 06, 2022 - 15:03:00
Solvent	THF
Operator	ADMIN : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.619

Ret. Vol.	 15.44
Mn - (Daltons)	 31613
Mw - (Daltons)	 61729
Mz - (Daltons)	111990
Mp - (Daltons)	 40567
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	509.06
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	20.066	 2.976	 5.341	 8.850	32.502	35.26109							
0.00333	20.066	 3.052	 5.493	 8.927	32.579	35.25803							
0.00667	19.837	 2.976	 5.570	 8.850	32.273	35.08102							
0.01000	19.761	 2.976	 5.417	 8.774	32.044	34.83688							
0.01333	19.868	 2.991	 5.478	 8.820	32.273	35.01816							
0.01667	19.776	 3.006	 5.493	 8.805	32.151	34.87167							
0.02000	19.669	 2.991	 5.509	 8.774	32.060	34.71297							
0.02333	19.593	 3.006	 5.478	 8.759	32.090	34.58174							
0.02667	19.532	 3.006	 5.509	 8.759	32.182	34.49202							
0.03000	19.517	 3.021	 5.478	 8.789	32.304	34.43525							
0.03333	19.501	 3.006	 5.478	 8.789	32.487	34.40474							
0.03667	19.501	 3.006	 5.448	 8.789	32.624	34.39253							
0.04000	19.532	 3.006	 5.448	 8.789	32.731	34.39192							
0.04333	19.547	 3.006	 5.432	 8.805	32.853	34.39924							
0.04667	19.562	 3.006	 5.463	 8.789	32.960	34.41450							
0.05000	19.593	 3.006	 5.478	 8.759	33.067	34.43403							
0.05333	19.623	 3.006	 5.493	 8.774	33.174	34.45356							
0.05667	19.623	 2.991	 5.478	 8.774	33.250	34.47188							
0.06000	19.654	 3.006	 5.463	 8.759	33.311	34.49141							
0.06333	19.654	 3.006	 5.448	 8.744	33.387	34.51155							
0.06667	19.669	 3.006	 5.432	 8.759	33.433	34.53291							
0.07000	19.669	 3.021	 5.417	 8.744	33.494	34.55305							
0.07333	19.700	 3.006	 5.417	 8.728	33.540	34.57320							
0.07667	19.700	 2.991	 5.432	 8.728	33.555	34.59456							
0.08000	19.715	 2.976	 5.417	 8.728	33.601	34.61776							
0.08333	19.700	 2.976	 5.432	 8.759	33.631	34.64156							
0.08667	19.684	 2.976	 5.417	 8.759	33.631	34.66353							
0.09000	19.684	 3.006	 5.463	 8.774	33.631	34.68550							
0.09333	19.715	 3.006	 5.448	 8.774	33.677	34.70931							
0.09667	19.761	 3.006	 5.432	 8.789	33.692	34.73312							
0.10000	19.776	 3.021	 5.432	 8.774	33.692	34.75448							
0.10333	19.822	 3.021	 5.478	 8.789	33.692	34.77279							
0.10667	19.852	 3.006	 5.463	 8.774	33.692	34.78622							
0.11000	19.852	 3.006	 5.463	 8.789	33.677	34.79537							
