Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-12-06\2022-12-06_16;05;13_TP45_01.vdt
Sample ID	TP45
Method File Name	ps conv-0004.vcm
Date Acquired	Dec 06, 2022 - 16:05:13
Solvent	THF
Operator	ADMIN : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.822

Ret. Vol.	 15.96
Mn - (Daltons)	 13658
Mw - (Daltons)	 23263
Mz - (Daltons)	 35851
Mp - (Daltons)	 20185
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	353.10
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	20.753	 2.976	 5.493	 8.850	33.723	35.27940							
0.00333	20.676	 2.976	 5.570	 8.927	33.876	35.21531							
0.00667	20.447	 2.976	 5.493	 8.774	33.570	34.99863							
0.01000	20.371	 3.052	 5.341	 8.850	33.341	34.81857							
0.01333	20.493	 3.006	 5.478	 8.820	33.570	35.00473							
0.01667	20.402	 3.006	 5.478	 8.835	33.525	34.87533							
0.02000	20.310	 3.006	 5.463	 8.805	33.479	34.74715							
0.02333	20.249	 3.021	 5.478	 8.835	33.540	34.65926							
0.02667	20.234	 3.006	 5.509	 8.850	33.647	34.60921							
0.03000	20.234	 3.006	 5.509	 8.896	33.799	34.58296							
0.03333	20.234	 3.006	 5.509	 8.881	33.921	34.57259							
0.03667	20.249	 3.006	 5.493	 8.881	34.028	34.57564							
0.04000	20.280	 3.006	 5.478	 8.835	34.089	34.58662							
0.04333	20.295	 3.006	 5.463	 8.805	34.181	34.60249							
0.04667	20.325	 2.991	 5.448	 8.759	34.242	34.61898							
0.05000	20.341	 2.991	 5.432	 8.759	34.318	34.63729							
0.05333	20.341	 3.006	 5.448	 8.759	34.364	34.65682							
0.05667	20.356	 2.991	 5.432	 8.774	34.425	34.67818							
0.06000	20.386	 2.991	 5.432	 8.774	34.471	34.69832							
0.06333	20.386	 3.006	 5.432	 8.774	34.486	34.71724							
0.06667	20.402	 3.021	 5.432	 8.759	34.501	34.73617							
