Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-01-17\2023-01-18_00;45;28_TP49_01.vdt
Sample ID	TP49
Method File Name	ps conv-0004.vcm
Date Acquired	Jan 18, 2023 - 00:45:28
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.043

Ret. Vol.	 16.02
Mn - (Daltons)	 12094
Mw - (Daltons)	 19531
Mz - (Daltons)	 28875
Mp - (Daltons)	 17538
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	124.08
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 1.679	 3.052	 5.722	 8.927	40.971	35.42283							
0.00333	 1.526	 3.052	 5.646	 8.927	41.047	35.36485							
0.00667	 1.450	 2.976	 5.570	 9.079	40.895	35.19395							
0.01000	 1.373	 3.052	 5.646	 8.850	40.590	35.05661							
0.01333	 1.480	 3.037	 5.631	 8.911	40.803	35.20127							
0.01667	 1.373	 3.037	 5.585	 8.881	40.742	35.10117							
0.02000	 1.373	 3.021	 5.570	 8.850	40.666	35.00839							
0.02333	 1.373	 3.037	 5.570	 8.820	40.666	34.94735							
0.02667	 1.328	 3.021	 5.554	 8.835	40.742	34.91195							
0.03000	 1.282	 3.006	 5.554	 8.850	40.819	34.89303							
0.03333	 1.312	 2.991	 5.585	 8.866	40.880	34.88510							
0.03667	 1.297	 3.006	 5.585	 8.896	40.986	34.88510							
0.04000	 1.282	 3.006	 5.585	 8.881	41.017	34.88876							
0.04333	 1.312	 3.021	 5.585	 8.881	41.078	34.89486							
0.04667	 1.373	 3.021	 5.554	 8.881	41.139	34.90585							
0.05000	 1.404	 3.021	 5.524	 8.881	41.200	34.91867							
0.05333	 1.419	 3.021	 5.524	 8.866	41.215	34.93087							
0.05667	 1.434	 3.021	 5.524	 8.866	41.261	34.94369							
0.06000	 1.480	 3.006	 5.524	 8.850	41.261	34.95895							
0.06333	 1.450	 3.006	 5.554	 8.866	41.276	34.97421							
0.06667	 1.434	 3.021	 5.570	 8.881	41.307	34.99008							
0.07000	 1.419	 3.006	 5.570	 8.881	41.322	35.00412							
0.07333	 1.434	 3.006	 5.585	 8.881	41.337	35.01877							
0.07667	 1.434	 3.006	 5.554	 8.896	41.337	35.03220							
0.08000	 1.450	 3.006	 5.524	 8.881	41.353	35.04562							
0.08333	 1.465	 3.006	 5.524	 8.850	41.337	35.05600							
0.08667	 1.465	 3.021	 5.493	 8.850	41.368	35.06638							
0.09000	 1.450	 3.021	 5.463	 8.850	41.353	35.07553							
0.09333	 1.434	 3.037	 5.524	 8.835	41.337	35.08652							
0.09667	 1.480	 3.052	 5.554	 8.835	41.322	35.09507							
0.10000	 1.495	 3.037	 5.554	 8.881	41.292	35.10300							
