Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-04-13\2023-04-13_16;36;12_TP49R_01.vdt
Sample ID	TP49R
Method File Name	PS CONV-0003.vcm
Date Acquired	Apr 13, 2023 - 16:36:12
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.891

Ret. Vol.	 15.94
Mn - (Daltons)	 13666
Mw - (Daltons)	 22683
Mz - (Daltons)	 33758
Mp - (Daltons)	 20301
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	 38.67
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	22.279	 3.052	 5.646	 8.850	73.016	35.25498							
0.00333	22.050	 2.976	 5.646	 8.927	72.939	35.18174							
0.00667	21.973	 2.976	 5.570	 8.850	72.710	34.91623							
0.01000	21.973	 2.976	 5.570	 8.774	72.176	34.66903							
0.01333	22.004	 3.006	 5.585	 8.820	72.588	34.90951							
0.01667	21.897	 2.991	 5.539	 8.805	72.481	34.75753							
0.02000	21.851	 3.006	 5.478	 8.759	72.375	34.62447							
0.02333	21.805	 3.006	 5.448	 8.744	72.344	34.54451							
0.02667	21.760	 3.006	 5.432	 8.728	72.420	34.51155							
0.03000	21.790	 3.006	 5.417	 8.744	72.527	34.51033							
0.03333	21.836	 3.021	 5.432	 8.728	72.573	34.52803							
0.03667	21.867	 3.006	 5.463	 8.713	72.634	34.55305							
0.04000	21.912	 3.021	 5.463	 8.728	72.695	34.57869							
0.04333	21.973	 3.037	 5.463	 8.759	72.756	34.60616							
0.04667	22.004	 3.037	 5.463	 8.759	72.817	34.63729							
0.05000	22.019	 3.021	 5.448	 8.789	72.878	34.66780							
0.05333	22.034	 3.021	 5.448	 8.820	72.970	34.69466							
0.05667	22.050	 3.006	 5.448	 8.805	73.016	34.71786							
0.06000	22.034	 2.991	 5.432	 8.805	73.061	34.74288							
0.06333	22.034	 2.976	 5.432	 8.820	73.122	34.76913							
0.06667	22.065	 2.976	 5.432	 8.820	73.153	34.79415							
0.07000	22.065	 2.991	 5.432	 8.789	73.168	34.81307							
0.07333	22.050	 2.991	 5.432	 8.820	73.214	34.83139							
0.07667	22.080	 2.991	 5.432	 8.850	73.244	34.85153							
0.08000	22.095	 2.991	 5.432	 8.866	73.260	34.87411							
0.08333	22.065	 3.006	 5.448	 8.866	73.275	34.89181							
0.08667	22.080	 3.006	 5.463	 8.927	73.260	34.90524							
0.09000	22.111	 3.021	 5.463	 8.927	73.244	34.91867							
0.09333	22.095	 3.021	 5.478	 8.881	73.244	34.93515							
0.09667	22.111	 3.037	 5.524	 8.866	73.229	34.95224							
0.10000	22.095	 3.037	 5.509	 8.850	73.244	34.96444							
0.10333	22.095	 3.037	 5.493	 8.850	73.260	34.97482							
0.10667	22.095	 3.037	 5.509	 8.805	73.260	34.98825							
0.11000	22.111	 3.052	 5.509	 8.820	73.275	35.00473							
0.11333	22.111	 3.037	 5.463	 8.850	73.290	35.01816							
0.11667	22.141	 3.021	 5.463	 8.850	73.275	35.02853							
0.12000	22.141	 3.021	 5.478	 8.820	73.260	35.03830							
0.12333	22.156	 3.021	 5.463	 8.835	73.260	35.05173							
0.12667	22.172	 3.021	 5.463	 8.835	73.229	35.06393							
0.13000	22.172	 3.021	 5.478	 8.789	73.229	35.07370							
0.13333	22.187	 3.021	 5.478	 8.774	73.214	35.07980							
0.13667	22.202	 3.006	 5.478	 8.774	73.214	35.08774							
0.14000	22.187	 2.991	 5.509	 8.774	73.199	35.09995							
0.14333	22.187	 2.991	 5.509	 8.759	73.199	35.11155							
0.14667	22.187	 3.006	 5.478	 8.774	73.183	35.11704							
0.15000	22.187	 3.006	 5.478	 8.805	73.199	35.12253							
0.15333	22.202	 3.006	 5.448	 8.805	73.183	35.13047							
0.15667	22.217	 3.006	 5.417	 8.820	73.183	35.13962							
0.16000	22.248	 2.991	 5.432	 8.835	73.199	35.14634							
0.16333	22.248	 2.976	 5.463	 8.805	73.183	35.15000							
0.16667	22.217	 2.976	 5.493	 8.789	73.168	35.15366							
0.17000	22.187	 2.976	 5.524	 8.805	73.183	35.16098							
0.17333	22.202	 2.976	 5.554	 8.789	73.183	35.16770							
0.17667	22.156	 2.991	 5.524	 8.774	73.183	35.17075							
0.18000	22.126	 3.006	 5.524	 8.759	73.199	35.17136							
0.18333	22.141	 3.006	 5.493	 8.774	73.199	35.17502							
0.18667	22.156	 3.021	 5.478	 8.759	73.199	35.18235							
0.19000	22.126	 3.021	 5.448	 8.759	73.214	35.18723							
0.19333	22.126	 3.006	 5.463	 8.774	73.199	35.18845							
0.19667	22.141	 3.006	 5.478	 8.820	73.138	35.19089							
0.20000	22.141	 3.021	 5.478	 8.805	73.107	35.19577							
0.20333	22.141	 3.021	 5.463	 8.789	73.092	35.20249							
0.20667	22.126	 3.037	 5.463	 8.774	73.092	35.20554							
0.21000	22.141	 3.037	 5.448	 8.789	73.107	35.20737							
0.21333	22.141	 3.037	 5.417	 8.789	73.153	35.20860							
0.21667	22.172	 3.037	 5.432	 8.805	73.168	35.21287							
0.22000	22.187	 3.037	 5.463	 8.835	73.183	35.21592							
0.22333	22.202	 3.037	 5.493	 8.850	73.168	35.21653							
0.22667	22.187	 3.052	 5.509	 8.835	73.138	35.21531							
0.23000	22.202	 3.037	 5.539	 8.835	73.122	35.21714							
0.23333	22.187	 3.021	 5.509	 8.820	73.138	35.22202							
0.23667	22.187	 3.021	 5.493	 8.805	73.138	35.22446							
0.24000	22.187	 3.006	 5.463	 8.835	73.107	35.22446							
