Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-01-17\2023-01-18_01;16;35_TP50_01.vdt
Sample ID	TP50
Method File Name	ps conv-0004.vcm
Date Acquired	Jan 18, 2023 - 01:16:35
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.948

Ret. Vol.	 16.58
Mn - (Daltons)	  6506
Mw - (Daltons)	 10171
Mz - (Daltons)	 15229
Mp - (Daltons)	  8244
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	802.43
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 1.907	 3.052	 5.646	 9.003	41.353	35.45030							
0.00333	 1.907	 2.976	 5.722	 9.079	41.581	35.40147							
0.00667	 1.679	 3.052	 5.646	 9.003	41.353	35.22141							
0.01000	 1.602	 3.052	 5.570	 8.927	41.200	35.07492							
0.01333	 1.724	 3.021	 5.631	 8.988	41.322	35.22691							
0.01667	 1.663	 3.006	 5.615	 8.972	41.292	35.12375							
0.02000	 1.587	 3.021	 5.600	 8.927	41.246	35.02304							
0.02333	 1.556	 3.021	 5.570	 8.896	41.215	34.95163							
0.02667	 1.526	 3.006	 5.570	 8.881	41.215	34.90585							
0.03000	 1.526	 3.006	 5.570	 8.866	41.292	34.87960							
0.03333	 1.541	 3.021	 5.554	 8.881	41.337	34.86435							
0.03667	 1.541	 3.021	 5.509	 8.896	41.368	34.85702							
0.04000	 1.526	 3.021	 5.524	 8.927	41.444	34.85641							
0.04333	 1.556	 3.037	 5.524	 8.942	41.551	34.86190							
0.04667	 1.556	 3.052	 5.509	 8.972	41.581	34.86862							
0.05000	 1.556	 3.037	 5.509	 8.942	41.643	34.87716							
0.05333	 1.572	 3.037	 5.524	 8.942	41.688	34.88632							
0.05667	 1.617	 3.037	 5.539	 8.927	41.719	34.89730							
0.06000	 1.602	 3.037	 5.539	 8.942	41.734	34.91012							
0.06333	 1.633	 3.037	 5.554	 8.911	41.765	34.92294							
0.06667	 1.633	 3.052	 5.554	 8.927	41.780	34.93393							
0.07000	 1.617	 3.052	 5.570	 8.927	41.826	34.94613							
0.07333	 1.633	 3.037	 5.554	 8.942	41.871	34.95956							
0.07667	 1.663	 3.037	 5.554	 8.927	41.871	34.97238							
0.08000	 1.648	 3.021	 5.554	 8.927	41.856	34.98398							
0.08333	 1.648	 3.006	 5.554	 8.911	41.856	34.99619							
0.08667	 1.679	 3.006	 5.554	 8.911	41.841	35.00778							
0.09000	 1.663	 3.021	 5.554	 8.896	41.841	35.01938							
0.09333	 1.648	 3.021	 5.554	 8.911	41.856	35.02975							
0.09667	 1.648	 3.037	 5.554	 8.911	41.902	35.03952							
0.10000	 1.633	 3.052	 5.554	 8.927	41.917	35.04929							
0.10333	 1.648	 3.052	 5.554	 8.927	41.917	35.05844							
0.10667	 1.648	 3.052	 5.539	 8.927	41.932	35.06454							
0.11000	 1.663	 3.037	 5.554	 8.896	41.917	35.06699							
0.11333	 1.663	 3.021	 5.554	 8.911	41.902	35.06210							
0.11667	 1.663	 3.006	 5.554	 8.896	41.871	35.05112							
0.12000	 1.617	 3.006	 5.570	 8.896	41.856	35.03525							
0.12333	 1.617	 2.991	 5.570	 8.881	41.810	35.01266							
0.12667	 1.617	 3.006	 5.539	 8.881	41.795	34.98154							
0.13000	 1.602	 3.006	 5.539	 8.866	41.765	34.94674							
0.13333	 1.572	 3.021	 5.554	 8.866	41.795	34.90890							
0.13667	 1.556	 3.021	 5.524	 8.850	41.765	34.86679							
0.14000	 1.526	 3.021	 5.554	 8.850	41.749	34.82284							
0.14333	 1.511	 3.006	 5.585	 8.850	41.734	34.77706							
0.14667	 1.495	 3.021	 5.600	 8.866	41.719	34.73189							
0.15000	 1.511	 3.006	 5.585	 8.866	41.688	34.68673							
0.15333	 1.511	 3.006	 5.600	 8.881	41.719	34.64095							
0.15667	 1.495	 3.006	 5.570	 8.927	41.734	34.59517							
0.16000	 1.450	 3.021	 5.539	 8.942	41.749	34.55367							
0.16333	 1.404	 3.006	 5.524	 8.957	41.780	34.51521							
0.16667	 1.328	 2.991	 5.539	 8.972	41.810	34.48103							
0.17000	 1.343	 2.991	 5.524	 8.988	41.856	34.44991							
0.17333	 1.343	 2.991	 5.524	 8.957	41.887	34.42122							
0.17667	 1.358	 2.991	 5.524	 8.942	41.948	34.39619							
0.18000	 1.389	 2.991	 5.509	 8.911	42.024	34.37483							
0.18333	 1.434	 3.006	 5.509	 8.881	42.070	34.35652							
0.18667	 1.419	 2.991	 5.524	 8.881	42.116	34.34248							
0.19000	 1.419	 2.991	 5.524	 8.850	42.177	34.33698							
0.19333	 1.419	 2.976	 5.539	 8.866	42.207	34.33942							
0.19667	 1.434	 2.991	 5.570	 8.881	42.238	34.34980							
0.20000	 1.465	 2.991	 5.570	 8.911	42.299	34.36628							
0.20333	 1.480	 3.006	 5.570	 8.881	42.314	34.38887							
0.20667	 1.495	 3.021	 5.585	 8.927	42.360	34.41511							
0.21000	 1.511	 3.021	 5.570	 8.911	42.421	34.44502							
0.21333	 1.526	 3.006	 5.539	 8.881	42.467	34.47615							
0.21667	 1.541	 3.006	 5.539	 8.896	42.482	34.50911							
0.22000	 1.556	 3.006	 5.539	 8.896	42.528	34.54268							
0.22333	 1.572	 2.991	 5.539	 8.866	42.543	34.57869							
0.22667	 1.587	 3.006	 5.570	 8.850	42.543	34.61653							
0.23000	 1.602	 3.021	 5.585	 8.866	42.528	34.65621							
0.23333	 1.617	 3.021	 5.570	 8.835	42.528	34.69710							
0.23667	 1.633	 3.006	 5.570	 8.835	42.512	34.74166							
0.24000	 1.633	 3.006	 5.570	 8.835	42.497	34.78622							
0.24333	 1.633	 3.006	 5.524	 8.850	42.512	34.82955							
0.24667	 1.648	 2.991	 5.524	 8.866	42.512	34.87106							
0.25000	 1.648	 2.991	 5.524	 8.896	42.512	34.91195							
0.25333	 1.648	 3.006	 5.524	 8.896	42.497	34.95102							
0.25667	 1.679	 3.006	 5.524	 8.911	42.467	34.99069							
0.26000	 1.709	 2.991	 5.539	 8.927	42.390	35.02853							
0.26333	 1.740	 3.006	 5.570	 8.927	42.375	35.06454							
0.26667	 1.755	 3.021	 5.585	 8.911	42.329	35.09690							
0.27000	 1.785	 3.021	 5.570	 8.911	42.283	35.12986							
0.27333	 1.770	 3.021	 5.539	 8.911	42.253	35.16037							
0.27667	 1.785	 3.021	 5.554	 8.927	42.222	35.19028							
0.28000	 1.770	 3.021	 5.524	 8.942	42.161	35.22141							
0.28333	 1.785	 3.021	 5.524	 8.942	42.100	35.25437							
0.28667	 1.801	 3.006	 5.539	 8.957	42.055	35.28672							
0.29000	 1.831	 3.021	 5.554	 8.957	42.009	35.31541							
0.29333	 1.816	 3.021	 5.554	 8.927	41.963	35.34227							
0.29667	 1.831	 3.021	 5.554	 8.911	41.871	35.36668							
0.30000	 1.831	 3.006	 5.554	 8.911	41.826	35.38865							
0.30333	 1.816	 3.006	 5.570	 8.911	41.780	35.40635							
0.30667	 1.846	 3.006	 5.585	 8.942	41.704	35.42283							
0.31000	 1.877	 3.021	 5.600	 8.942	41.627	35.43687							
0.31333	 1.892	 3.006	 5.600	 8.957	41.566	35.44969							
0.31667	 1.892	 3.021	 5.600	 8.957	41.505	35.46067							
0.32000	 1.892	 3.021	 5.570	 8.972	41.444	35.46983							
0.32333	 1.862	 3.006	 5.554	 8.942	41.414	35.47593							
0.32667	 1.846	 2.991	 5.539	 8.957	41.398	35.48204							
0.33000	 1.831	 2.991	 5.539	 8.957	41.383	35.48631							
0.33333	 1.846	 2.991	 5.539	 8.957	41.353	35.49059							
0.33667	 1.831	 2.991	 5.554	 8.927	41.307	35.49364							
0.34000	 1.831	 3.006	 5.570	 8.942	41.246	35.49852							
0.34333	 1.816	 3.006	 5.554	 8.911	41.185	35.50157							
0.34667	 1.831	 3.006	 5.554	 8.896	41.139	35.50523							
0.35000	 1.831	 3.006	 5.554	 8.866	41.093	35.50768							
0.35333	 1.862	 3.021	 5.570	 8.881	41.032	35.50829							
0.35667	 1.862	 3.021	 5.570	 8.866	41.002	35.50890							
0.36000	 1.862	 3.021	 5.570	 8.881	40.971	35.50951							
0.36333	 1.831	 3.037	 5.554	 8.881	40.956	35.51073							
0.36667	 1.831	 3.037	 5.554	 8.911	40.925	35.51012							
0.37000	 1.831	 3.021	 5.539	 8.927	40.895	35.51073							
0.37333	 1.816	 3.006	 5.554	 8.927	40.864	35.51073							
0.37667	 1.846	 3.006	 5.554	 8.942	40.819	35.51195							
0.38000	 1.877	 3.006	 5.554	 8.942	40.773	35.51134							
0.38333	 1.862	 2.991	 5.554	 8.911	40.742	35.50951							
0.38667	 1.862	 2.991	 5.554	 8.911	40.742	35.50829							
0.39000	 1.877	 2.991	 5.539	 8.927	40.712	35.50768							
0.39333	 1.862	 3.006	 5.570	 8.927	40.727	35.50645							
0.39667	 1.846	 3.006	 5.585	 8.911	40.681	35.50340							
0.40000	 1.846	 3.021	 5.585	 8.927	40.681	35.50157							
0.40333	 1.831	 3.037	 5.570	 8.911	40.635	35.49974							
0.40667	 1.846	 3.021	 5.570	 8.896	40.620	35.49791							
0.41000	 1.831	 3.006	 5.554	 8.911	40.559	35.49425							
0.41333	 1.816	 3.006	 5.539	 8.927	40.574	35.49120							
0.41667	 1.801	 3.006	 5.539	 8.927	40.513	35.48875							
0.42000	 1.801	 2.991	 5.524	 8.911	40.483	35.48631							
0.42333	 1.755	 3.021	 5.524	 8.896	40.483	35.48387							
0.42667	 1.755	 3.037	 5.570	 8.881	40.483	35.48143							
0.43000	 1.755	 3.021	 5.585	 8.881	40.468	35.47777							
0.43333	 1.740	 3.006	 5.585	 8.896	40.468	35.47472							
0.43667	 1.724	 3.021	 5.615	 8.927	40.513	35.47227							
0.44000	 1.740	 3.006	 5.600	 8.911	40.498	35.46922							
0.44333	 1.724	 3.006	 5.539	 8.911	40.513	35.46617							
0.44667	 1.724	 3.021	 5.570	 8.896	40.513	35.46434							
0.45000	 1.740	 3.021	 5.570	 8.896	40.529	35.46373							
0.45333	 1.740	 3.006	 5.539	 8.881	40.498	35.46312							
0.45667	 1.724	 3.006	 5.524	 8.927	40.468	35.46006							
0.46000	 1.755	 3.006	 5.539	 8.927	40.452	35.45701							
0.46333	 1.770	 3.006	 5.493	 8.927	40.437	35.45640							
0.46667	 1.770	 3.006	 5.493	 8.911	40.422	35.45396							
0.47000	 1.785	 3.006	 5.509	 8.896	40.407	35.45091							
0.47333	 1.831	 3.006	 5.524	 8.881	40.422	35.44847							
0.47667	 1.816	 2.991	 5.524	 8.896	40.422	35.44664							
0.48000	 1.816	 2.991	 5.539	 8.911	40.407	35.44358							
0.48333	 1.816	 3.006	 5.539	 8.927	40.391	35.44114							
0.48667	 1.831	 3.006	 5.554	 8.927	40.376	35.43687							
0.49000	 1.801	 3.006	 5.570	 8.911	40.345	35.43321							
0.49333	 1.801	 3.021	 5.585	 8.896	40.330	35.42894							
0.49667	 1.801	 3.021	 5.585	 8.881	40.345	35.42649							
0.50000	 1.831	 3.006	 5.585	 8.881	40.345	35.42283							
0.50333	 1.816	 3.006	 5.600	 8.881	40.391	35.41795							
0.50667	 1.816	 3.021	 5.585	 8.911	40.407	35.41368							
0.51000	 1.816	 3.006	 5.554	 8.881	40.376	35.41246							
0.51333	 1.816	 2.991	 5.570	 8.896	40.361	35.40879							
0.51667	 1.785	 2.991	 5.570	 8.896	40.376	35.40391							
0.52000	 1.770	 2.991	 5.554	 8.911	40.345	35.40147							
0.52333	 1.785	 2.991	 5.554	 8.881	40.345	35.40025							
0.52667	 1.801	 3.006	 5.570	 8.911	40.391	35.39781							
0.53000	 1.785	 3.006	 5.539	 8.881	40.407	35.39476							
0.53333	 1.785	 3.006	 5.539	 8.866	40.391	35.39293							
0.53667	 1.785	 3.021	 5.539	 8.850	40.407	35.39170							
0.54000	 1.770	 3.021	 5.570	 8.881	40.437	35.39048							
0.54333	 1.770	 3.006	 5.570	 8.881	40.437	35.38926							
0.54667	 1.801	 3.006	 5.585	 8.911	40.437	35.38804							
0.55000	 1.816	 3.021	 5.570	 8.911	40.437	35.38621							
0.55333	 1.816	 3.006	 5.585	 8.911	40.452	35.38560							
0.55667	 1.816	 2.991	 5.554	 8.881	40.407	35.38560							
0.56000	 1.816	 2.991	 5.539	 8.881	40.407	35.38377							
0.56333	 1.801	 2.991	 5.539	 8.866	40.407	35.38133							
0.56667	 1.755	 2.991	 5.570	 8.866	40.422	35.38011							
0.57000	 1.770	 2.991	 5.539	 8.881	40.407	35.37950							
0.57333	 1.785	 2.991	 5.539	 8.881	40.452	35.37767							
0.57667	 1.770	 2.991	 5.570	 8.881	40.452	35.37645							
0.58000	 1.740	 3.006	 5.585	 8.896	40.437	35.37523							
0.58333	 1.770	 3.006	 5.554	 8.927	40.422	35.37400							
0.58667	 1.770	 3.006	 5.570	 8.927	40.422	35.37156							
0.59000	 1.770	 3.006	 5.585	 8.957	40.391	35.36912							
0.59333	 1.770	 3.021	 5.570	 8.942	40.376	35.36607							
0.59667	 1.770	 3.006	 5.554	 8.942	40.376	35.36485							
0.60000	 1.770	 3.006	 5.585	 8.927	40.376	35.36423							
0.60333	 1.755	 3.006	 5.585	 8.911	40.376	35.36423							
0.60667	 1.755	 3.006	 5.554	 8.881	40.391	35.36240							
0.61000	 1.755	 2.991	 5.570	 8.881	40.391	35.36180							
0.61333	 1.770	 3.006	 5.585	 8.881	40.407	35.36180							
0.61667	 1.785	 3.006	 5.585	 8.896	40.407	35.36241							
0.62000	 1.801	 3.021	 5.585	 8.896	40.407	35.36119							
0.62333	 1.770	 3.037	 5.615	 8.911	40.391	35.36058							
0.62667	 1.755	 3.037	 5.600	 8.927	40.407	35.35936							
0.63000	 1.755	 3.037	 5.600	 8.927	40.391	35.35936							
0.63333	 1.724	 3.021	 5.570	 8.911	40.422	35.35936							
0.63667	 1.724	 3.006	 5.570	 8.927	40.407	35.35814							
0.64000	 1.755	 2.991	 5.570	 8.911	40.422	35.35752							
0.64333	 1.785	 3.006	 5.539	 8.896	40.422	35.35814							
0.64667	 1.785	 3.006	 5.524	 8.881	40.437	35.35752							
0.65000	 1.801	 3.006	 5.524	 8.866	40.407	35.35752							
0.65333	 1.801	 3.006	 5.539	 8.850	40.422	35.35875							
0.65667	 1.770	 3.006	 5.539	 8.896	40.391	35.35997							
0.66000	 1.740	 3.006	 5.570	 8.927	40.407	35.36119							
0.66333	 1.724	 2.991	 5.570	 8.942	40.422	35.36241							
0.66667	 1.724	 3.006	 5.585	 8.942	40.422	35.36179							
0.67000	 1.724	 3.021	 5.570	 8.942	40.422	35.35997							
0.67333	 1.740	 3.021	 5.554	 8.927	40.437	35.35997							
0.67667	 1.770	 3.006	 5.554	 8.911	40.391	35.36058							
0.68000	 1.770	 3.006	 5.539	 8.927	40.376	35.36058							
0.68333	 1.785	 3.006	 5.524	 8.927	40.376	35.35997							
0.68667	 1.785	 2.991	 5.509	 8.942	40.361	35.36058							
