Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-01-17\2023-01-18_03;20;58_TP54_01.vdt
Sample ID	TP54
Method File Name	ps conv-0004.vcm
Date Acquired	Jan 18, 2023 - 03:20:58
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.072

Ret. Vol.	 16.41
Mn - (Daltons)	  7080
Mw - (Daltons)	 11863
Mz - (Daltons)	 18040
Mp - (Daltons)	 10274
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	215.27
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 2.670	 2.976	 5.646	 8.927	39.521	35.44419							
0.00333	 2.594	 3.052	 5.646	 9.003	39.750	35.40757							
0.00667	 2.365	 2.976	 5.570	 9.003	39.369	35.23972							
0.01000	 2.365	 3.052	 5.646	 8.927	39.369	35.07187							
0.01333	 2.457	 3.006	 5.615	 8.957	39.476	35.22752							
0.01667	 2.365	 3.021	 5.615	 8.942	39.445	35.12314							
0.02000	 2.289	 3.006	 5.615	 8.927	39.369	35.02182							
0.02333	 2.274	 3.006	 5.600	 8.927	39.430	34.95407							
0.02667	 2.243	 2.991	 5.585	 8.911	39.476	34.91867							
0.03000	 2.213	 3.006	 5.585	 8.911	39.567	34.90280							
0.03333	 2.228	 2.991	 5.570	 8.927	39.674	34.89853							
0.03667	 2.243	 3.006	 5.539	 8.957	39.781	34.90097							
0.04000	 2.228	 3.006	 5.539	 8.957	39.811	34.90707							
0.04333	 2.258	 3.021	 5.524	 9.003	39.903	34.91684							
0.04667	 2.304	 3.006	 5.524	 9.003	39.933	34.92782							
0.05000	 2.319	 3.021	 5.509	 9.003	39.949	34.94125							
0.05333	 2.304	 3.021	 5.509	 8.988	39.979	34.95712							
0.05667	 2.319	 3.037	 5.493	 8.972	40.025	34.97177							
0.06000	 2.289	 3.037	 5.509	 8.957	40.025	34.98642							
0.06333	 2.274	 3.037	 5.509	 8.988	40.040	35.00168							
0.06667	 2.258	 3.021	 5.524	 8.988	40.056	35.01694							
0.07000	 2.289	 3.021	 5.554	 9.003	40.101	35.03159							
0.07333	 2.304	 3.006	 5.585	 9.003	40.132	35.04501							
0.07667	 2.335	 2.991	 5.600	 9.018	40.178	35.05783							
0.08000	 2.350	 3.006	 5.585	 8.957	40.178	35.07065							
0.08333	 2.365	 3.006	 5.585	 8.927	40.239	35.08347							
0.08667	 2.350	 2.991	 5.585	 8.911	40.254	35.09506							
0.09000	 2.350	 2.991	 5.600	 8.911	40.269	35.10605							
0.09333	 2.335	 2.991	 5.585	 8.896	40.254	35.11521							
0.09667	 2.319	 2.976	 5.600	 8.911	40.284	35.12619							
0.10000	 2.304	 2.991	 5.615	 8.957	40.269	35.13657							
0.10333	 2.335	 3.006	 5.600	 8.957	40.239	35.14267							
0.10667	 2.350	 3.021	 5.585	 8.972	40.223	35.14878							
0.11000	 2.365	 3.021	 5.570	 8.957	40.223	35.15366							
0.11333	 2.365	 3.021	 5.585	 8.988	40.208	35.15488							
0.11667	 2.411	 3.021	 5.539	 8.972	40.178	35.15183							
0.12000	 2.426	 3.021	 5.554	 8.942	40.162	35.14695							
0.12333	 2.426	 3.021	 5.570	 8.927	40.132	35.14023							
0.12667	 2.426	 3.037	 5.585	 8.911	40.117	35.13291							
0.13000	 2.426	 3.037	 5.554	 8.911	40.132	35.12497							
0.13333	 2.396	 3.021	 5.585	 8.896	40.132	35.11582							
0.13667	 2.365	 3.021	 5.554	 8.911	40.117	35.10666							
0.14000	 2.350	 3.006	 5.539	 8.911	40.117	35.09568							
0.14333	 2.350	 3.006	 5.554	 8.942	40.101	35.08652							
0.14667	 2.350	 3.021	 5.585	 8.957	40.086	35.07614							
0.15000	 2.350	 3.037	 5.570	 8.988	40.086	35.06516							
0.15333	 2.335	 3.021	 5.585	 9.018	40.086	35.05478							
0.15667	 2.304	 3.037	 5.600	 9.018	40.117	35.04684							
0.16000	 2.289	 3.037	 5.600	 9.003	40.132	35.03891							
0.16333	 2.289	 3.037	 5.585	 8.957	40.117	35.03220							
0.16667	 2.274	 3.037	 5.631	 8.927	40.101	35.02609							
0.17000	 2.274	 3.037	 5.646	 8.881	40.101	35.02182							
0.17333	 2.274	 3.021	 5.646	 8.896	40.071	35.01816							
0.17667	 2.258	 3.006	 5.646	 8.896	40.056	35.01450							
0.18000	 2.243	 3.006	 5.661	 8.911	40.086	35.00961							
0.18333	 2.243	 2.991	 5.631	 8.942	40.086	35.00534							
0.18667	 2.243	 3.006	 5.615	 8.942	40.086	35.00229							
0.19000	 2.258	 3.006	 5.615	 8.911	40.101	35.00107							
0.19333	 2.274	 3.021	 5.600	 8.896	40.117	34.99924							
0.19667	 2.289	 3.021	 5.585	 8.911	40.086	34.99924							
0.20000	 2.274	 3.021	 5.600	 8.911	40.101	35.00046							
0.20333	 2.274	 3.006	 5.615	 8.942	40.086	35.00290							
0.20667	 2.289	 3.006	 5.600	 8.957	40.117	35.00473							
