Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-04-13\2023-04-13_17;07;18_TP58R_01.vdt
Sample ID	TP58R
Method File Name	PS CONV-0003.vcm
Date Acquired	Apr 13, 2023 - 17:07:18
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.898

Ret. Vol.	 16.15
Mn - (Daltons)	  9959
Mw - (Daltons)	 16107
Mz - (Daltons)	 23519
Mp - (Daltons)	 15305
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	253.02
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	23.041	 2.976	 5.493	 8.774	73.855	35.30991							
0.00333	23.041	 3.052	 5.417	 8.850	73.550	35.06271							
0.00667	22.813	 2.976	 5.493	 8.850	73.168	34.77279							
0.01000	22.736	 2.976	 5.417	 8.774	73.016	34.62020							
0.01333	22.858	 3.006	 5.478	 8.805	73.397	34.86862							
0.01667	22.767	 3.006	 5.478	 8.805	73.321	34.71602							
0.02000	22.675	 2.991	 5.478	 8.789	73.290	34.60677							
0.02333	22.645	 3.006	 5.478	 8.774	73.351	34.55367							
0.02667	22.629	 3.006	 5.509	 8.774	73.443	34.54085							
0.03000	22.675	 3.006	 5.478	 8.789	73.504	34.54756							
0.03333	22.706	 3.021	 5.478	 8.774	73.565	34.56282							
0.03667	22.752	 3.037	 5.493	 8.774	73.611	34.58358							
0.04000	22.797	 3.021	 5.478	 8.774	73.641	34.60982							
0.04333	22.813	 3.021	 5.432	 8.789	73.702	34.64034							
0.04667	22.797	 3.021	 5.432	 8.789	73.733	34.66719							
0.05000	22.828	 3.006	 5.432	 8.820	73.763	34.69222							
0.05333	22.858	 2.991	 5.402	 8.835	73.778	34.71542							
0.05667	22.843	 2.991	 5.387	 8.835	73.809	34.74288							
0.06000	22.874	 3.006	 5.417	 8.850	73.840	34.76791							
0.06333	22.874	 2.991	 5.417	 8.850	73.870	34.78866							
0.06667	22.889	 3.021	 5.402	 8.850	73.870	34.80697							
0.07000	22.874	 3.021	 5.448	 8.850	73.916	34.82894							
0.07333	22.904	 3.021	 5.478	 8.881	73.946	34.85336							
0.07667	22.950	 3.021	 5.493	 8.866	73.977	34.87411							
0.08000	22.965	 3.021	 5.524	 8.881	73.992	34.89120							
0.08333	22.965	 2.991	 5.524	 8.866	74.023	34.90768							
0.08667	22.980	 3.006	 5.478	 8.866	74.023	34.92599							
0.09000	22.980	 3.006	 5.463	 8.866	74.068	34.94491							
0.09333	22.965	 3.006	 5.463	 8.850	74.068	34.95956							
0.09667	22.980	 3.021	 5.448	 8.820	74.053	34.97055							
0.10000	22.996	 3.021	 5.432	 8.820	74.053	34.98154							
0.10333	23.026	 3.021	 5.463	 8.820	74.068	34.99619							
0.10667	23.041	 3.021	 5.463	 8.805	74.053	35.00778							
0.11000	23.041	 3.021	 5.432	 8.820	74.038	35.01694							
0.11333	23.057	 3.006	 5.417	 8.835	74.023	35.02548							
0.11667	23.057	 3.006	 5.448	 8.850	73.992	35.03647							
0.12000	23.041	 2.991	 5.448	 8.835	74.007	35.05112							
0.12333	23.026	 3.006	 5.448	 8.820	73.992	35.06271							
0.12667	23.011	 2.991	 5.448	 8.820	73.992	35.07004							
0.13000	22.996	 2.991	 5.448	 8.805	74.007	35.07676							
0.13333	22.996	 2.991	 5.432	 8.805	74.038	35.08957							
0.13667	22.980	 2.991	 5.448	 8.820	74.038	35.10117							
0.14000	22.996	 2.976	 5.448	 8.835	74.053	35.10849							
0.14333	23.011	 2.976	 5.432	 8.820	74.053	35.11399							
0.14667	23.026	 2.991	 5.448	 8.820	74.053	35.12314							
0.15000	23.026	 2.991	 5.463	 8.805	74.038	35.13291							
0.15333	23.072	 2.991	 5.417	 8.805	74.038	35.13901							
0.15667	23.072	 2.991	 5.417	 8.820	74.023	35.14267							
0.16000	23.057	 2.991	 5.417	 8.805	73.992	35.14634							
0.16333	23.087	 2.976	 5.402	 8.805	73.962	35.15183							
0.16667	23.103	 2.976	 5.402	 8.805	73.946	35.15976							
0.17000	23.072	 2.976	 5.432	 8.774	73.916	35.16526							
0.17333	23.057	 2.991	 5.417	 8.759	73.931	35.16831							
0.17667	23.057	 3.006	 5.448	 8.789	73.962	35.17258							
0.18000	23.011	 3.021	 5.463	 8.774	73.962	35.18113							
0.18333	23.026	 3.021	 5.448	 8.789	73.977	35.18845							
0.18667	23.057	 3.037	 5.448	 8.805	73.977	35.19272							
0.19000	23.103	 3.021	 5.478	 8.774	73.946	35.19516							
0.19333	23.118	 3.006	 5.493	 8.759	73.946	35.19944							
0.19667	23.148	 2.991	 5.493	 8.774	73.946	35.20737							
