Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-09-07\2022-09-07_19;35;55_TP6_01.vdt
Sample ID	TP6
Method File Name	PS CONV-0000.vcm
Date Acquired	Sep 07, 2022 - 19:35:55
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.133

Ret. Vol.	 14.73
Mn - (Daltons)	 64281
Mw - (Daltons)	113998
Mz - (Daltons)	175664
Mp - (Daltons)	102815
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	109.24
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	-3.204	 2.976	 5.570	 8.927	21.287	35.48082							
0.00333	-3.281	 2.976	 5.646	 8.927	21.134	35.35875							
0.00667	-3.433	 2.976	 5.646	 8.927	21.134	35.17258							
0.01000	-3.510	 2.976	 5.646	 8.850	21.058	35.02609							
0.01333	-3.403	 2.976	 5.600	 8.896	21.104	35.19089							
0.01667	-3.494	 2.991	 5.600	 8.850	21.073	35.06516							
0.02000	-3.571	 2.991	 5.554	 8.805	21.088	34.96322							
0.02333	-3.632	 3.006	 5.524	 8.789	21.134	34.90280							
0.02667	-3.647	 3.006	 5.493	 8.789	21.226	34.87106							
0.03000	-3.662	 3.006	 5.509	 8.805	21.348	34.86129							
0.03333	-3.647	 2.991	 5.478	 8.850	21.470	34.86740							
0.03667	-3.601	 2.991	 5.509	 8.881	21.546	34.88205							
0.04000	-3.555	 2.976	 5.509	 8.866	21.622	34.89853							
0.04333	-3.540	 2.976	 5.524	 8.850	21.668	34.91745							
0.04667	-3.510	 2.991	 5.509	 8.835	21.714	34.93637							
0.05000	-3.479	 2.991	 5.539	 8.820	21.744	34.95773							
0.05333	-3.494	 2.991	 5.524	 8.805	21.821	34.97909							
0.05667	-3.494	 2.991	 5.509	 8.789	21.867	34.99862							
0.06000	-3.479	 3.006	 5.493	 8.805	21.912	35.01511							
0.06333	-3.464	 3.006	 5.509	 8.789	21.973	35.03464							
0.06667	-3.464	 3.021	 5.509	 8.774	22.019	35.05417							
0.07000	-3.479	 3.021	 5.524	 8.774	22.050	35.07248							
0.07333	-3.479	 3.037	 5.539	 8.789	22.050	35.08774							
0.07667	-3.494	 3.021	 5.539	 8.774	22.065	35.10239							
0.08000	-3.494	 3.021	 5.509	 8.759	22.050	35.11826							
0.08333	-3.479	 3.021	 5.493	 8.759	22.050	35.13535							
0.08667	-3.449	 3.037	 5.478	 8.759	22.034	35.14817							
0.09000	-3.449	 3.037	 5.509	 8.774	22.050	35.15854							
0.09333	-3.449	 3.037	 5.509	 8.789	22.019	35.17014							
0.09667	-3.479	 3.021	 5.509	 8.820	21.989	35.18357							
0.10000	-3.479	 3.006	 5.509	 8.820	21.943	35.19639							
0.10333	-3.479	 2.991	 5.524	 8.835	21.912	35.20737							
0.10667	-3.464	 2.976	 5.509	 8.850	21.867	35.21714							
0.11000	-3.433	 2.991	 5.524	 8.835	21.851	35.22996							
0.11333	-3.403	 2.991	 5.524	 8.820	21.836	35.24216							
0.11667	-3.403	 2.991	 5.539	 8.820	21.805	35.25132							
0.12000	-3.403	 2.991	 5.524	 8.835	21.775	35.25620							
0.12333	-3.388	 2.991	 5.509	 8.820	21.775	35.26170							
0.12667	-3.388	 2.976	 5.524	 8.835	21.760	35.26780							
0.13000	-3.372	 2.976	 5.524	 8.835	21.744	35.27207							
0.13333	-3.388	 2.976	 5.539	 8.866	21.744	35.27024							
0.13667	-3.372	 2.991	 5.570	 8.835	21.699	35.26841							
0.14000	-3.372	 2.991	 5.585	 8.820	21.622	35.26780							
0.14333	-3.388	 2.991	 5.570	 8.835	21.577	35.26719							
0.14667	-3.403	 2.991	 5.600	 8.850	21.546	35.26536							
0.15000	-3.403	 2.976	 5.585	 8.835	21.500	35.26170							
0.15333	-3.418	 2.960	 5.570	 8.835	21.500	35.25925							
0.15667	-3.433	 2.960	 5.554	 8.835	21.485	35.26048							
0.16000	-3.418	 2.960	 5.524	 8.805	21.485	35.26353							
0.16333	-3.418	 2.960	 5.509	 8.835	21.500	35.26170							
0.16667	-3.403	 2.976	 5.493	 8.835	21.470	35.26170							
0.17000	-3.403	 2.991	 5.478	 8.850	21.455	35.26414							
0.17333	-3.372	 3.006	 5.463	 8.850	21.455	35.26780							
0.17667	-3.372	 3.021	 5.478	 8.850	21.424	35.27024							
0.18000	-3.388	 3.021	 5.478	 8.805	21.393	35.27207							
0.18333	-3.403	 3.037	 5.493	 8.820	21.378	35.27512							
0.18667	-3.388	 3.021	 5.509	 8.835	21.332	35.28062							
0.19000	-3.403	 2.991	 5.524	 8.850	21.332	35.28672							
0.19333	-3.403	 2.976	 5.524	 8.866	21.348	35.29038							
0.19667	-3.357	 2.976	 5.524	 8.881	21.332	35.29465							
0.20000	-3.327	 2.960	 5.509	 8.881	21.302	35.30137							
0.20333	-3.327	 2.960	 5.509	 8.850	21.332	35.31052							
0.20667	-3.342	 2.976	 5.509	 8.835	21.287	35.31846							
0.21000	-3.357	 2.991	 5.509	 8.850	21.241	35.32517							
0.21333	-3.372	 3.006	 5.524	 8.835	21.195	35.33250							
0.21667	-3.372	 3.021	 5.493	 8.820	21.195	35.34166							
0.22000	-3.342	 3.021	 5.463	 8.835	21.165	35.35264							
0.22333	-3.311	 3.037	 5.448	 8.850	21.165	35.36241							
0.22667	-3.296	 3.021	 5.448	 8.820	21.119	35.37095							
0.23000	-3.311	 3.021	 5.432	 8.835	21.119	35.38072							
0.23333	-3.342	 3.006	 5.463	 8.820	21.119	35.39354							
0.23667	-3.342	 3.021	 5.493	 8.805	21.088	35.40513							
0.24000	-3.342	 3.006	 5.509	 8.789	21.088	35.41307							
0.24333	-3.357	 3.006	 5.524	 8.789	21.104	35.42039							
0.24667	-3.357	 2.991	 5.509	 8.789	21.104	35.42894							
0.25000	-3.342	 2.991	 5.524	 8.789	21.058	35.43870							
0.25333	-3.357	 2.976	 5.524	 8.820	21.058	35.44542							
0.25667	-3.372	 2.976	 5.539	 8.820	20.997	35.45152							
0.26000	-3.357	 2.976	 5.539	 8.835	20.951	35.45701							
0.26333	-3.327	 2.976	 5.554	 8.866	20.905	35.46617							
0.26667	-3.327	 2.976	 5.554	 8.866	20.890	35.47289							
0.27000	-3.327	 2.976	 5.539	 8.835	20.829	35.47899							
0.27333	-3.327	 2.991	 5.524	 8.835	20.783	35.48265							
0.27667	-3.311	 3.006	 5.509	 8.820	20.768	35.48814							
0.28000	-3.311	 3.006	 5.524	 8.774	20.707	35.49425							
0.28333	-3.311	 3.006	 5.524	 8.789	20.676	35.49791							
0.28667	-3.327	 3.006	 5.524	 8.805	20.692	35.49669							
0.29000	-3.342	 2.991	 5.539	 8.820	20.692	35.49791							
0.29333	-3.342	 2.976	 5.539	 8.820	20.646	35.50035							
0.29667	-3.357	 2.976	 5.524	 8.850	20.661	35.50218							
0.30000	-3.372	 2.976	 5.524	 8.835	20.631	35.50279							
0.30333	-3.372	 2.991	 5.524	 8.835	20.554	35.50218							
0.30667	-3.342	 2.991	 5.524	 8.835	20.493	35.50279							
0.31000	-3.357	 2.991	 5.509	 8.850	20.463	35.50523							
0.31333	-3.372	 3.006	 5.509	 8.835	20.417	35.50706							
0.31667	-3.357	 3.006	 5.509	 8.850	20.402	35.50523							
0.32000	-3.357	 2.991	 5.524	 8.850	20.386	35.50340							
0.32333	-3.342	 3.006	 5.493	 8.835	20.417	35.50340							
0.32667	-3.327	 3.021	 5.509	 8.850	20.417	35.50462							
0.33000	-3.311	 3.021	 5.539	 8.820	20.386	35.50401							
0.33333	-3.281	 3.021	 5.524	 8.805	20.341	35.50157							
0.33667	-3.265	 3.037	 5.524	 8.805	20.325	35.50096							
0.34000	-3.296	 3.021	 5.539	 8.820	20.295	35.50157							
0.34333	-3.281	 3.021	 5.554	 8.774	20.295	35.50279							
0.34667	-3.265	 3.006	 5.509	 8.805	20.325	35.49913							
0.35000	-3.265	 3.021	 5.509	 8.805	20.325	35.49730							
0.35333	-3.281	 3.006	 5.509	 8.820	20.280	35.49669							
0.35667	-3.281	 3.006	 5.539	 8.820	20.295	35.49791							
