Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-04\2022-10-04_15;50;31_TP6R_01.vdt
Sample ID	TP6R
Method File Name	ps conv-0003.vcm
Date Acquired	Oct 04, 2022 - 15:50:31
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.809

Ret. Vol.	 14.79
Mn - (Daltons)	 49715
Mw - (Daltons)	 81232
Mz - (Daltons)	118848
Mp - (Daltons)	 74812
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	121.93
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	11.292	 2.976	74.847	47.761	27.161	35.67919							
0.00333	11.292	 2.976	74.847	47.685	27.161	35.65172							
0.00667	11.139	 2.899	74.923	47.838	26.933	35.39842							
0.01000	10.910	 2.976	74.770	47.761	26.704	35.07797							
0.01333	11.078	 2.960	74.862	47.777	26.933	35.32639							
0.01667	10.941	 2.960	74.862	47.792	26.811	35.11582							
0.02000	10.773	 2.960	74.847	47.777	26.749	34.88205							
0.02333	10.666	 2.976	74.816	47.746	26.765	34.67879							
0.02667	10.605	 2.991	74.831	47.761	26.856	34.53169							
0.03000	10.559	 2.991	74.801	47.716	27.009	34.43770							
0.03333	10.529	 2.991	74.786	47.685	27.238	34.38643							
0.03667	10.559	 3.006	74.770	47.700	27.421	34.36567							
0.04000	10.575	 3.006	74.770	47.700	27.619	34.36872							
0.04333	10.590	 2.991	74.770	47.655	27.787	34.38948							
0.04667	10.605	 2.991	74.786	47.685	27.970	34.41877							
0.05000	10.651	 2.976	74.786	47.700	28.108	34.45234							
0.05333	10.697	 2.960	74.831	47.700	28.260	34.48653							
0.05667	10.727	 2.960	74.847	47.700	28.367	34.52315							
0.06000	10.743	 2.960	74.862	47.731	28.504	34.55855							
0.06333	10.788	 2.945	74.877	47.716	28.581	34.59151							
0.06667	10.819	 2.976	74.892	47.700	28.687	34.62142							
0.07000	10.834	 2.976	74.892	47.700	28.718	34.65194							
0.07333	10.834	 2.991	74.877	47.670	28.779	34.68184							
0.07667	10.865	 2.976	74.877	47.655	28.840	34.71175							
