Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-01-17\2023-01-18_06;27;35_TP60_01.vdt
Sample ID	TP60
Method File Name	ps conv-0004.vcm
Date Acquired	Jan 18, 2023 - 06:27:35
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.011

Ret. Vol.	 15.42
Mn - (Daltons)	 27904
Mw - (Daltons)	 44870
Mz - (Daltons)	 66321
Mp - (Daltons)	 39054
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	 77.75
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 2.518	 2.976	 5.722	 9.003	40.742	35.45030							
0.00333	 2.518	 2.976	 5.646	 9.079	40.819	35.36179							
0.00667	 2.213	 2.976	 5.570	 9.079	40.513	35.18479							
0.01000	 2.289	 3.052	 5.493	 9.003	40.361	35.05356							
0.01333	 2.319	 3.006	 5.570	 9.003	40.544	35.20493							
0.01667	 2.243	 3.006	 5.539	 9.003	40.498	35.10056							
0.02000	 2.167	 3.021	 5.539	 8.957	40.437	35.00839							
0.02333	 2.152	 3.037	 5.539	 8.942	40.452	34.94735							
0.02667	 2.106	 3.021	 5.539	 8.927	40.529	34.91012							
0.03000	 2.121	 3.021	 5.554	 8.942	40.635	34.88998							
0.03333	 2.121	 3.021	 5.570	 8.927	40.696	34.88083							
0.03667	 2.106	 3.006	 5.554	 8.942	40.788	34.87655							
0.04000	 2.121	 2.991	 5.570	 8.927	40.864	34.87777							
0.04333	 2.152	 2.991	 5.600	 8.911	40.910	34.88205							
0.04667	 2.136	 2.991	 5.615	 8.911	40.941	34.88876							
0.05000	 2.167	 3.006	 5.615	 8.911	40.986	34.89547							
0.05333	 2.197	 3.021	 5.646	 8.896	41.002	34.90524							
0.05667	 2.197	 3.037	 5.631	 8.911	41.047	34.91684							
0.06000	 2.167	 3.037	 5.615	 8.927	41.078	34.93270							
0.06333	 2.182	 3.021	 5.615	 8.911	41.139	34.94979							
0.06667	 2.167	 3.021	 5.600	 8.896	41.154	34.96811							
0.07000	 2.182	 3.006	 5.585	 8.896	41.185	34.98581							
0.07333	 2.182	 3.006	 5.585	 8.881	41.200	35.00351							
0.07667	 2.228	 3.021	 5.600	 8.881	41.231	35.02060							
0.08000	 2.258	 3.021	 5.615	 8.896	41.231	35.03525							
0.08333	 2.258	 3.021	 5.615	 8.896	41.276	35.04807							
0.08667	 2.243	 3.037	 5.600	 8.896	41.276	35.06088							
0.09000	 2.243	 3.037	 5.585	 8.896	41.276	35.07309							
0.09333	 2.228	 3.021	 5.585	 8.881	41.276	35.08408							
0.09667	 2.228	 3.037	 5.554	 8.881	41.261	35.09262							
0.10000	 2.228	 3.021	 5.554	 8.911	41.231	35.10056							
0.10333	 2.228	 3.021	 5.554	 8.911	41.215	35.10666							
0.10667	 2.228	 3.021	 5.554	 8.896	41.185	35.10971							
0.11000	 2.228	 3.021	 5.539	 8.896	41.169	35.10666							
0.11333	 2.228	 3.021	 5.554	 8.911	41.154	35.09934							
0.11667	 2.213	 3.037	 5.554	 8.896	41.139	35.08652							
0.12000	 2.213	 3.037	 5.524	 8.927	41.154	35.07004							
0.12333	 2.197	 3.037	 5.524	 8.942	41.169	35.05051							
0.12667	 2.182	 3.052	 5.539	 8.972	41.169	35.02914							
0.13000	 2.167	 3.052	 5.539	 8.972	41.169	35.00778							
0.13333	 2.182	 3.052	 5.509	 8.957	41.185	34.98886							
0.13667	 2.167	 3.052	 5.554	 8.927	41.154	34.97055							
0.14000	 2.182	 3.037	 5.570	 8.927	41.154	34.95468							
0.14333	 2.197	 3.021	 5.539	 8.927	41.124	34.94003							
0.14667	 2.167	 3.021	 5.524	 8.896	41.139	34.92843							
0.15000	 2.152	 3.006	 5.539	 8.911	41.124	34.91745							
0.15333	 2.152	 2.991	 5.539	 8.911	41.169	34.90890							
0.15667	 2.136	 2.991	 5.554	 8.911	41.169	34.89975							
0.16000	 2.121	 3.006	 5.570	 8.927	41.200	34.89242							
0.16333	 2.136	 2.991	 5.585	 8.957	41.215	34.88510							
0.16667	 2.136	 2.991	 5.600	 8.957	41.246	34.87960							
0.17000	 2.152	 3.006	 5.585	 9.003	41.231	34.87228							
0.17333	 2.136	 3.006	 5.615	 8.988	41.246	34.86435							
0.17667	 2.136	 3.006	 5.631	 8.927	41.246	34.85519							
0.18000	 2.121	 3.006	 5.615	 8.881	41.231	34.84481							
0.18333	 2.121	 3.021	 5.600	 8.881	41.215	34.83321							
0.18667	 2.091	 3.021	 5.585	 8.850	41.200	34.82223							
0.19000	 2.106	 3.037	 5.524	 8.850	41.185	34.81185							
0.19333	 2.091	 3.037	 5.509	 8.881	41.200	34.80453							
0.19667	 2.106	 3.052	 5.509	 8.896	41.200	34.80025							
0.20000	 2.091	 3.052	 5.524	 8.881	41.215	34.79842							
0.20333	 2.106	 3.052	 5.539	 8.850	41.231	34.79781							
0.20667	 2.106	 3.037	 5.585	 8.866	41.231	34.79964							
0.21000	 2.121	 3.037	 5.585	 8.881	41.261	34.80453							
0.21333	 2.121	 3.021	 5.585	 8.911	41.292	34.81063							
0.21667	 2.136	 3.006	 5.570	 8.927	41.292	34.81734							
0.22000	 2.136	 3.006	 5.585	 8.957	41.292	34.82589							
0.22333	 2.152	 3.021	 5.570	 8.957	41.322	34.83688							
0.22667	 2.152	 3.021	 5.570	 8.942	41.292	34.84970							
0.23000	 2.167	 3.037	 5.585	 8.942	41.307	34.86435							
0.23333	 2.197	 3.052	 5.600	 8.957	41.322	34.88083							
0.23667	 2.213	 3.052	 5.600	 8.957	41.368	34.89791							
0.24000	 2.213	 3.052	 5.585	 8.957	41.398	34.91806							
0.24333	 2.243	 3.037	 5.570	 8.957	41.414	34.93637							
0.24667	 2.243	 3.037	 5.570	 8.942	41.414	34.95468							
0.25000	 2.213	 3.021	 5.570	 8.927	41.414	34.97299							
0.25333	 2.213	 3.021	 5.539	 8.911	41.383	34.99252							
