Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-02-28\2023-02-28_15;28;44_TP66_01.vdt
Sample ID	TP66
Method File Name	PS CONV-0003.vcm
Date Acquired	Feb 28, 2023 - 15:28:44
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.009

Ret. Vol.	 16.00
Mn - (Daltons)	 11922
Mw - (Daltons)	 19993
Mz - (Daltons)	 30234
Mp - (Daltons)	 18180
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	127.59
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 5.722	 3.052	 5.570	 8.850	49.898	35.29465							
0.00333	 5.646	 2.976	 5.493	 8.927	49.974	35.26109							
0.00667	 5.493	 2.976	 5.570	 9.003	49.974	35.04745							
0.01000	 5.417	 2.976	 5.570	 8.850	49.669	34.83688							
0.01333	 5.524	 2.991	 5.539	 8.896	49.806	35.03159							
0.01667	 5.448	 2.991	 5.554	 8.896	49.760	34.91439							
0.02000	 5.371	 2.991	 5.524	 8.881	49.730	34.80697							
0.02333	 5.356	 3.006	 5.493	 8.835	49.715	34.74044							
0.02667	 5.310	 3.006	 5.478	 8.820	49.776	34.71358							
0.03000	 5.310	 3.021	 5.478	 8.820	49.867	34.71603							
0.03333	 5.295	 3.006	 5.463	 8.820	49.944	34.73251							
0.03667	 5.341	 3.006	 5.478	 8.820	50.005	34.75326							
0.04000	 5.325	 2.991	 5.509	 8.820	50.050	34.77401							
0.04333	 5.402	 2.991	 5.509	 8.835	50.081	34.79598							
0.04667	 5.417	 2.976	 5.539	 8.820	50.111	34.82162							
0.05000	 5.432	 2.991	 5.524	 8.759	50.157	34.84664							
0.05333	 5.432	 3.006	 5.539	 8.759	50.172	34.86618							
0.05667	 5.463	 3.021	 5.539	 8.774	50.172	34.88510							
0.06000	 5.448	 3.037	 5.524	 8.728	50.203	34.90524							
0.06333	 5.493	 3.052	 5.493	 8.744	50.249	34.92660							
