Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-02-28\2023-02-28_17;33;08_TP70_01.vdt
Sample ID	TP70
Method File Name	PS CONV-0003.vcm
Date Acquired	Feb 28, 2023 - 17:33:08
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.029

Ret. Vol.	 15.73
Mn - (Daltons)	 16119
Mw - (Daltons)	 28127
Mz - (Daltons)	 42171
Mp - (Daltons)	 26191
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	 58.71
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 6.638	 2.976	 5.570	 9.003	50.432	35.33128							
0.00333	 6.561	 2.976	 5.417	 9.003	50.279	35.14511							
0.00667	 6.256	 2.976	 5.417	 8.850	49.821	34.90402							
0.01000	 6.256	 2.976	 5.493	 8.850	49.898	34.77889							
0.01333	 6.378	 2.976	 5.478	 8.911	50.081	34.98398							
0.01667	 6.287	 2.976	 5.448	 8.896	50.035	34.86862							
0.02000	 6.195	 2.991	 5.448	 8.850	50.035	34.78622							
0.02333	 6.180	 2.991	 5.478	 8.850	50.111	34.74837							
0.02667	 6.149	 2.991	 5.463	 8.866	50.188	34.74410							
0.03000	 6.165	 3.006	 5.463	 8.881	50.279	34.75570							
0.03333	 6.180	 3.006	 5.463	 8.866	50.310	34.77218							
0.03667	 6.226	 3.006	 5.478	 8.881	50.325	34.79049							
0.04000	 6.226	 3.021	 5.448	 8.866	50.340	34.81490							
0.04333	 6.241	 3.021	 5.448	 8.866	50.386	34.84176							
0.04667	 6.256	 3.006	 5.463	 8.866	50.401	34.86557							
0.05000	 6.256	 3.021	 5.478	 8.850	50.417	34.88571							
0.05333	 6.241	 3.021	 5.478	 8.835	50.447	34.90463							
0.05667	 6.256	 3.021	 5.478	 8.850	50.493	34.92538							
0.06000	 6.287	 3.021	 5.478	 8.820	50.508	34.94735							
0.06333	 6.272	 3.021	 5.448	 8.789	50.539	34.96383							
0.06667	 6.287	 3.006	 5.448	 8.774	50.539	34.97787							
0.07000	 6.317	 3.006	 5.463	 8.774	50.539	34.99252							
0.07333	 6.348	 2.991	 5.478	 8.759	50.569	35.01083							
0.07667	 6.363	 3.006	 5.493	 8.789	50.569	35.02548							
0.08000	 6.394	 3.021	 5.509	 8.835	50.554	35.03586							
0.08333	 6.409	 3.037	 5.524	 8.866	50.584	35.04440							
0.08667	 6.409	 3.037	 5.493	 8.866	50.615	35.05722							
0.09000	 6.409	 3.037	 5.509	 8.881	50.600	35.07065							
0.09333	 6.394	 3.037	 5.524	 8.866	50.569	35.08102							
0.09667	 6.394	 3.021	 5.524	 8.866	50.584	35.08896							
0.10000	 6.394	 3.021	 5.509	 8.835	50.539	35.09689							
0.10333	 6.394	 3.006	 5.524	 8.866	50.478	35.10788							
0.10667	 6.394	 3.021	 5.493	 8.881	50.447	35.11948							
0.11000	 6.394	 3.006	 5.493	 8.866	50.462	35.12619							
