Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_16;55;15_TP7R2_01.vdt
Sample ID	TP7R2
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 16:55:15
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.078

Ret. Vol.	 15.97
Mn - (Daltons)	 12442
Mw - (Daltons)	 19286
Mz - (Daltons)	 27453
Mp - (Daltons)	 17160
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	110.65
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 8.240	 2.976	74.770	47.151	10.987	35.38621							
0.00333	 8.393	 2.976	74.770	47.380	11.139	35.34959							
0.00667	 8.164	 2.976	74.770	47.456	10.834	35.13596							
0.01000	 8.087	 2.899	74.847	47.304	10.834	34.96811							
0.01333	 8.133	 2.960	74.770	47.349	10.910	35.14634							
0.01667	 8.057	 2.960	74.770	47.395	10.895	35.04013							
0.02000	 7.965	 2.960	74.740	47.395	10.849	34.93393							
0.02333	 7.904	 2.960	74.725	47.365	10.895	34.86679							
0.02667	 7.874	 2.976	74.709	47.380	10.941	34.83627							
0.03000	 7.889	 2.976	74.694	47.349	11.032	34.82772							
0.03333	 7.889	 2.960	74.709	47.334	11.093	34.83138							
0.03667	 7.874	 2.960	74.740	47.304	11.124	34.84115							
0.04000	 7.874	 2.960	74.755	47.288	11.139	34.85641							
0.04333	 7.889	 2.976	74.725	47.273	11.200	34.87655							
0.04667	 7.904	 2.976	74.725	47.288	11.231	34.89791							
0.05000	 7.920	 2.991	74.694	47.288	11.246	34.91623							
0.05333	 7.950	 2.991	74.664	47.319	11.292	34.93515							
0.05667	 7.996	 2.991	74.679	47.334	11.322	34.95468							
0.06000	 7.996	 2.976	74.709	47.334	11.322	34.97604							
0.06333	 8.026	 2.976	74.725	47.319	11.322	34.99435							
0.06667	 8.042	 2.960	74.740	47.304	11.307	35.00961							
0.07000	 8.042	 2.960	74.786	47.273	11.292	35.02426							
0.07333	 8.026	 2.960	74.755	47.273	11.292	35.04135							
0.07667	 8.042	 2.945	74.740	47.288	11.277	35.05600							
0.08000	 8.026	 2.945	74.740	47.288	11.231	35.06699							
0.08333	 8.042	 2.960	74.740	47.304	11.216	35.07675							
0.08667	 8.042	 2.960	74.709	47.319	11.170	35.08835							
0.09000	 8.057	 2.945	74.725	47.334	11.109	35.10056							
0.09333	 8.057	 2.945	74.725	47.319	11.078	35.11032							
0.09667	 8.072	 2.945	74.694	47.334	11.048	35.11826							
0.10000	 8.042	 2.945	74.679	47.349	11.017	35.12497							
0.10333	 8.042	 2.960	74.694	47.349	10.987	35.13413							
0.10667	 8.026	 2.976	74.664	47.334	10.956	35.14389							
0.11000	 8.026	 2.991	74.664	47.334	10.895	35.15061							
0.11333	 8.042	 2.991	74.694	47.334	10.849	35.15488							
0.11667	 8.072	 2.976	74.694	47.304	10.788	35.16098							
0.12000	 8.103	 2.960	74.664	47.273	10.743	35.16892							
0.12333	 8.118	 2.960	74.709	47.258	10.712	35.17563							
0.12667	 8.118	 2.960	74.694	47.258	10.666	35.17990							
0.13000	 8.087	 2.945	74.664	47.243	10.605	35.18296							
0.13333	 8.087	 2.960	74.679	47.258	10.590	35.18906							
0.13667	 8.057	 2.960	74.709	47.288	10.544	35.19455							
0.14000	 8.057	 2.960	74.664	47.288	10.498	35.19883							
0.14333	 8.057	 2.960	74.648	47.273	10.437	35.20005							
0.14667	 8.087	 2.976	74.679	47.288	10.407	35.20310							
0.15000	 8.087	 2.960	74.633	47.319	10.346	35.20615							
0.15333	 8.087	 2.945	74.618	47.319	10.331	35.21104							
0.15667	 8.087	 2.945	74.618	47.334	10.300	35.21348							
0.16000	 8.072	 2.945	74.679	47.349	10.269	35.21531							
0.16333	 8.057	 2.930	74.664	47.319	10.224	35.21836							
0.16667	 8.057	 2.945	74.679	47.273	10.178	35.22446							
0.17000	 8.072	 2.960	74.679	47.258	10.147	35.22813							
0.17333	 8.103	 2.945	74.664	47.243	10.102	35.22813							
0.17667	 8.118	 2.945	74.633	47.243	10.056	35.22934							
0.18000	 8.118	 2.960	74.633	47.258	10.056	35.23178							
0.18333	 8.118	 2.945	74.664	47.304	10.041	35.23545							
0.18667	 8.103	 2.930	74.648	47.319	 9.995	35.23728							
0.19000	 8.072	 2.945	74.694	47.334	 9.934	35.23850							
0.19333	 8.072	 2.945	74.725	47.334	 9.903	35.23911							
0.19667	 8.057	 2.930	74.740	47.334	 9.857	35.24277							
0.20000	 8.072	 2.930	74.740	47.319	 9.827	35.24583							
0.20333	 8.103	 2.945	74.770	47.319	 9.796	35.24705							
0.20667	 8.118	 2.945	74.740	47.334	 9.796	35.24644							
0.21000	 8.103	 2.945	74.725	47.334	 9.781	35.24949							
0.21333	 8.133	 2.960	74.740	47.334	 9.751	35.25498							
0.21667	 8.133	 2.991	74.709	47.319	 9.690	35.25925							
0.22000	 8.118	 2.991	74.679	47.319	 9.674	35.25803							
0.22333	 8.087	 2.991	74.709	47.304	 9.629	35.25437							
0.22667	 8.087	 2.976	74.709	47.273	 9.598	35.25071							
0.23000	 8.087	 2.976	74.709	47.258	 9.552	35.24461							
0.23333	 8.072	 2.945	74.709	47.258	 9.537	35.23423							
0.23667	 8.072	 2.930	74.740	47.243	 9.476	35.22690							
0.24000	 8.087	 2.930	74.740	47.212	 9.430	35.22446							
0.24333	 8.103	 2.945	74.725	47.273	 9.430	35.22691							
0.24667	 8.087	 2.945	74.709	47.288	 9.445	35.23179							
0.25000	 8.087	 2.960	74.725	47.258	 9.445	35.23606							
0.25333	 8.087	 2.976	74.725	47.288	 9.415	35.24033							
0.25667	 8.087	 2.960	74.725	47.334	 9.400	35.24705							
0.26000	 8.087	 2.960	74.709	47.304	 9.369	35.25437							
0.26333	 8.087	 2.945	74.725	47.319	 9.339	35.25986							
0.26667	 8.087	 2.945	74.740	47.349	 9.278	35.26353							
0.27000	 8.087	 2.930	74.740	47.349	 9.278	35.26658							
0.27333	 8.087	 2.930	74.725	47.334	 9.262	35.27390							
0.27667	 8.087	 2.930	74.755	47.334	 9.232	35.28062							
0.28000	 8.072	 2.945	74.755	47.319	 9.186	35.28306							
0.28333	 8.072	 2.945	74.740	47.319	 9.186	35.28428							
0.28667	 8.103	 2.960	74.755	47.319	 9.171	35.28794							
0.29000	 8.087	 2.976	74.770	47.319	 9.171	35.29221							
0.29333	 8.103	 2.976	74.786	47.319	 9.140	35.29527							
0.29667	 8.118	 2.976	74.770	47.319	 9.110	35.29588							
0.30000	 8.103	 2.976	74.786	47.334	 9.095	35.29710							
0.30333	 8.072	 2.991	74.770	47.319	 9.064	35.30076							
0.30667	 8.103	 2.976	74.770	47.319	 9.064	35.30442							
0.31000	 8.103	 2.976	74.755	47.304	 9.049	35.30564							
0.31333	 8.103	 2.976	74.755	47.288	 9.018	35.30564							
0.31667	 8.118	 2.976	74.725	47.258	 8.988	35.30747							
0.32000	 8.118	 2.960	74.694	47.273	 8.957	35.31113							
0.32333	 8.087	 2.976	74.664	47.258	 8.911	35.31480							
0.32667	 8.087	 2.976	74.648	47.243	 8.881	35.31419							
0.33000	 8.087	 2.976	74.633	47.258	 8.896	35.31358							
0.33333	 8.087	 2.991	74.664	47.288	 8.866	35.31480							
0.33667	 8.118	 2.991	74.648	47.258	 8.850	35.31724							
0.34000	 8.118	 2.991	74.633	47.288	 8.850	35.31663							
0.34333	 8.103	 2.991	74.633	47.304	 8.820	35.31602							
0.34667	 8.103	 2.991	74.664	47.304	 8.774	35.31602							
0.35000	 8.118	 2.976	74.664	47.273	 8.744	35.31846							
0.35333	 8.103	 2.976	74.679	47.304	 8.744	35.32151							
0.35667	 8.103	 2.976	74.725	47.288	 8.713	35.32212							
0.36000	 8.087	 2.976	74.725	47.319	 8.698	35.32090							
0.36333	 8.103	 2.976	74.709	47.334	 8.683	35.32212							
0.36667	 8.087	 2.976	74.694	47.349	 8.667	35.32456							
0.37000	 8.087	 2.976	74.694	47.349	 8.667	35.32456							
0.37333	 8.118	 2.976	74.664	47.334	 8.637	35.32334							
0.37667	 8.164	 2.976	74.694	47.288	 8.606	35.32334							
0.38000	 8.179	 2.976	74.679	47.243	 8.606	35.32456							
0.38333	 8.179	 2.960	74.694	47.227	 8.637	35.32761							
0.38667	 8.164	 2.945	74.725	47.197	 8.621	35.32761							
0.39000	 8.148	 2.960	74.755	47.212	 8.606	35.32639							
0.39333	 8.133	 2.960	74.725	47.243	 8.621	35.32517							
0.39667	 8.103	 2.960	74.755	47.288	 8.621	35.32761							
0.40000	 8.103	 2.991	74.770	47.334	 8.591	35.32823							
0.40333	 8.103	 3.006	74.740	47.349	 8.560	35.32762							
0.40667	 8.103	 2.991	74.725	47.349	 8.545	35.32640							
0.41000	 8.087	 2.991	74.725	47.349	 8.530	35.32823							
0.41333	 8.087	 2.991	74.694	47.319	 8.545	35.33006							
0.41667	 8.103	 2.976	74.694	47.304	 8.545	35.33128							
0.42000	 8.087	 2.976	74.725	47.304	 8.545	35.33067							
0.42333	 8.087	 2.976	74.725	47.304	 8.545	35.32945							
0.42667	 8.118	 2.976	74.740	47.304	 8.560	35.33128							
0.43000	 8.103	 2.976	74.755	47.304	 8.530	35.33372							
0.43333	 8.103	 2.976	74.740	47.304	 8.515	35.33372							
0.43667	 8.118	 2.976	74.755	47.304	 8.530	35.33189							
0.44000	 8.118	 2.976	74.755	47.319	 8.560	35.33250							
0.44333	 8.072	 2.976	74.755	47.288	 8.545	35.33494							
