Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-04-13\2023-04-13_18;09;30_TP84_01.vdt
Sample ID	TP84
Method File Name	PS CONV-0003.vcm
Date Acquired	Apr 13, 2023 - 18:09:30
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.878

Ret. Vol.	 16.10
Mn - (Daltons)	  9727
Mw - (Daltons)	 16895
Mz - (Daltons)	 25384
Mp - (Daltons)	 16464
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	149.52
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	24.949	 2.976	 5.493	 8.927	73.397	35.27329							
0.00333	24.796	 2.976	 5.570	 8.850	73.473	35.10544							
0.00667	24.491	 3.052	 5.570	 8.850	73.168	34.84298							
0.01000	24.339	 2.976	 5.417	 8.774	72.939	34.65377							
0.01333	24.567	 2.991	 5.478	 8.835	73.168	34.87899							
0.01667	24.445	 2.976	 5.478	 8.789	73.077	34.71114							
0.02000	24.354	 2.991	 5.463	 8.774	72.985	34.57442							
0.02333	24.308	 2.976	 5.417	 8.774	73.016	34.49995							
0.02667	24.323	 2.976	 5.402	 8.774	73.092	34.47127							
0.03000	24.354	 2.976	 5.402	 8.774	73.168	34.47005							
0.03333	24.354	 2.991	 5.371	 8.805	73.260	34.48592							
0.03667	24.369	 2.991	 5.341	 8.805	73.321	34.51460							
0.04000	24.430	 3.006	 5.387	 8.805	73.382	34.54756							
0.04333	24.430	 3.021	 5.402	 8.820	73.443	34.57686							
0.04667	24.461	 3.037	 5.417	 8.805	73.504	34.60555							
0.05000	24.491	 3.021	 5.448	 8.789	73.550	34.63607							
0.05333	24.522	 3.006	 5.478	 8.789	73.626	34.66964							
0.05667	24.537	 2.991	 5.432	 8.805	73.656	34.69832							
0.06000	24.552	 2.976	 5.432	 8.805	73.687	34.72396							
0.06333	24.567	 2.960	 5.448	 8.805	73.702	34.74776							
0.06667	24.583	 2.976	 5.432	 8.789	73.733	34.77523							
0.07000	24.567	 3.006	 5.432	 8.789	73.763	34.80025							
0.07333	24.552	 3.021	 5.463	 8.759	73.778	34.82223							
0.07667	24.583	 3.021	 5.493	 8.759	73.794	34.84054							
0.08000	24.567	 3.037	 5.463	 8.789	73.840	34.85885							
0.08333	24.567	 3.052	 5.463	 8.805	73.840	34.88083							
0.08667	24.613	 3.021	 5.432	 8.805	73.855	34.90158							
0.09000	24.613	 3.006	 5.402	 8.789	73.855	34.91623							
0.09333	24.598	 3.021	 5.371	 8.774	73.855	34.93026							
0.09667	24.613	 3.021	 5.387	 8.774	73.870	34.94796							
0.10000	24.644	 3.006	 5.402	 8.774	73.885	34.96688							
0.10333	24.628	 3.006	 5.402	 8.774	73.870	34.98093							
0.10667	24.659	 3.006	 5.432	 8.774	73.870	34.99374							
0.11000	24.674	 2.976	 5.448	 8.774	73.855	35.00595							
0.11333	24.674	 2.960	 5.463	 8.759	73.855	35.02243							
0.11667	24.689	 2.960	 5.478	 8.759	73.885	35.03708							
0.12000	24.689	 2.960	 5.524	 8.774	73.901	35.04990							
0.12333	24.674	 2.960	 5.524	 8.805	73.901	35.05966							
0.12667	24.689	 2.976	 5.509	 8.805	73.901	35.07126							
0.13000	24.705	 2.976	 5.509	 8.805	73.885	35.08469							
0.13333	24.689	 2.976	 5.478	 8.805	73.901	35.09629							
0.13667	24.705	 2.976	 5.448	 8.774	73.885	35.10300							
0.14000	24.705	 2.976	 5.432	 8.774	73.916	35.10849							
0.14333	24.689	 2.976	 5.448	 8.927	73.962	35.11765							
0.14667	24.674	 2.976	 5.432	 8.927	73.992	35.12803							
0.15000	24.659	 2.991	 5.448	 8.942	73.946	35.13413							
0.15333	24.628	 3.006	 5.448	 8.957	73.931	35.13840							
0.15667	24.644	 3.021	 5.448	 8.942	73.885	35.14511							
0.16000	24.644	 3.021	 5.417	 8.805	73.870	35.15366							
0.16333	24.674	 3.021	 5.417	 8.805	73.840	35.16220							
0.16667	24.689	 3.006	 5.387	 8.805	73.870	35.16709							
0.17000	24.689	 3.006	 5.371	 8.820	73.870	35.17075							
0.17333	24.674	 2.991	 5.387	 8.820	73.870	35.17624							
0.17667	24.689	 2.991	 5.402	 8.820	73.824	35.18601							
0.18000	24.689	 2.991	 5.417	 8.850	73.809	35.19089							
0.18333	24.705	 2.991	 5.448	 8.850	73.763	35.19333							
0.18667	24.735	 2.976	 5.463	 8.820	73.748	35.19455							
0.19000	24.751	 2.976	 5.478	 8.820	73.733	35.19944							
0.19333	24.751	 2.991	 5.478	 8.805	73.748	35.20493							
0.19667	24.751	 3.006	 5.478	 8.774	73.733	35.20737							
0.20000	24.735	 3.006	 5.478	 8.774	73.717	35.20737							
0.20333	24.720	 3.006	 5.509	 8.789	73.717	35.21042							
0.20667	24.720	 3.021	 5.493	 8.789	73.717	35.21653							
0.21000	24.705	 3.006	 5.493	 8.789	73.702	35.22019							
0.21333	24.674	 2.991	 5.478	 8.774	73.702	35.22019							
0.21667	24.659	 3.006	 5.493	 8.744	73.702	35.21958							
0.22000	24.659	 3.006	 5.463	 8.759	73.687	35.22202							
0.22333	24.659	 2.991	 5.463	 8.759	73.672	35.22691							
0.22667	24.674	 2.991	 5.493	 8.744	73.672	35.22935							
0.23000	24.689	 3.006	 5.509	 8.759	73.672	35.22874							
0.23333	24.720	 2.991	 5.478	 8.744	73.656	35.22996							
0.23667	24.735	 2.991	 5.478	 8.728	73.656	35.23484							
0.24000	24.735	 3.006	 5.463	 8.728	73.672	35.23789							
0.24333	24.735	 3.021	 5.432	 8.728	73.656	35.23667							
0.24667	24.735	 3.006	 5.402	 8.713	73.656	35.23545							
0.25000	24.705	 3.006	 5.417	 8.759	73.656	35.23667							
0.25333	24.705	 3.006	 5.432	 8.759	73.641	35.24094							
0.25667	24.705	 2.991	 5.448	 8.774	73.641	35.24461							
0.26000	24.705	 2.976	 5.432	 8.805	73.626	35.24583							
0.26333	24.689	 2.976	 5.448	 8.835	73.595	35.24583							
0.26667	24.689	 2.976	 5.432	 8.835	73.565	35.24949							
0.27000	24.689	 2.991	 5.402	 8.835	73.580	35.25437							
0.27333	24.689	 2.991	 5.387	 8.850	73.580	35.25559							
0.27667	24.705	 2.991	 5.402	 8.866	73.565	35.25376							
0.28000	24.720	 2.991	 5.417	 8.850	73.565	35.25376							
0.28333	24.735	 2.991	 5.417	 8.820	73.565	35.25681							
0.28667	24.766	 2.976	 5.463	 8.820	73.534	35.25864							
0.29000	24.781	 2.976	 5.448	 8.774	73.504	35.25742							
0.29333	24.751	 2.991	 5.463	 8.744	73.519	35.25620							
0.29667	24.766	 2.991	 5.463	 8.774	73.504	35.25803							
0.30000	24.751	 2.991	 5.493	 8.789	73.534	35.26292							
0.30333	24.735	 2.976	 5.448	 8.805	73.580	35.26353							
0.30667	24.720	 2.976	 5.463	 8.820	73.580	35.26048							
0.31000	24.735	 2.945	 5.448	 8.820	73.595	35.25864							
0.31333	24.705	 2.960	 5.432	 8.789	73.595	35.26048							
0.31667	24.705	 2.960	 5.402	 8.774	73.595	35.26292							
0.32000	24.705	 2.991	 5.432	 8.774	73.565	35.26231							
0.32333	24.705	 2.991	 5.432	 8.774	73.550	35.26048							
0.32667	24.689	 3.021	 5.432	 8.789	73.504	35.26048							
0.33000	24.689	 3.006	 5.432	 8.805	73.534	35.26414							
0.33333	24.705	 3.021	 5.432	 8.805	73.504	35.26597							
0.33667	24.674	 3.006	 5.417	 8.789	73.519	35.26353							
0.34000	24.659	 3.021	 5.402	 8.774	73.519	35.26170							
0.34333	24.659	 3.006	 5.402	 8.774	73.534	35.26170							
0.34667	24.674	 3.021	 5.387	 8.774	73.504	35.26414							
0.35000	24.659	 3.021	 5.387	 8.805	73.534	35.26292							
0.35333	24.644	 3.021	 5.402	 8.820	73.504	35.26109							
0.35667	24.644	 3.006	 5.417	 8.835	73.504	35.25986							
0.36000	24.659	 3.021	 5.448	 8.820	73.519	35.26353							
0.36333	24.674	 3.006	 5.463	 8.820	73.534	35.26597							
0.36667	24.674	 2.991	 5.463	 8.835	73.534	35.26475							
0.37000	24.720	 2.991	 5.463	 8.835	73.534	35.26231							
0.37333	24.735	 2.991	 5.478	 8.835	73.519	35.26292							
0.37667	24.735	 2.991	 5.463	 8.850	73.519	35.26536							
0.38000	24.705	 2.991	 5.463	 8.850	73.504	35.26536							
0.38333	24.720	 2.991	 5.478	 8.820	73.489	35.26292							
0.38667	24.705	 3.006	 5.463	 8.820	73.504	35.26048							
0.39000	24.705	 3.021	 5.463	 8.820	73.519	35.26109							
0.39333	24.705	 3.021	 5.463	 8.789	73.550	35.26170							
0.39667	24.720	 3.021	 5.478	 8.759	73.580	35.25986							
0.40000	24.705	 3.021	 5.478	 8.759	73.595	35.25559							
0.40333	24.689	 3.021	 5.463	 8.744	73.580	35.25315							
0.40667	24.689	 3.006	 5.448	 8.744	73.580	35.25437							
0.41000	24.705	 3.006	 5.432	 8.759	73.565	35.25559							
0.41333	24.720	 3.021	 5.432	 8.774	73.565	35.25315							
0.41667	24.735	 3.021	 5.432	 8.774	73.565	35.24949							
0.42000	24.751	 3.006	 5.463	 8.805	73.595	35.25010							
0.42333	24.766	 3.021	 5.463	 8.820	73.626	35.25315							
0.42667	24.735	 3.006	 5.463	 8.835	73.626	35.25376							
0.43000	24.720	 3.006	 5.463	 8.850	73.626	35.25071							
0.43333	24.705	 3.021	 5.463	 8.866	73.595	35.25010							
0.43667	24.674	 3.021	 5.448	 8.835	73.595	35.25193							
0.44000	24.659	 3.021	 5.478	 8.850	73.595	35.25376							
0.44333	24.674	 3.021	 5.478	 8.835	73.580	35.25254							
0.44667	24.674	 3.021	 5.463	 8.805	73.595	35.25071							
0.45000	24.674	 3.006	 5.448	 8.789	73.626	35.24949							
0.45333	24.720	 3.021	 5.463	 8.789	73.611	35.25254							
0.45667	24.705	 3.006	 5.432	 8.759	73.611	35.25376							
0.46000	24.689	 3.006	 5.432	 8.759	73.626	35.25132							
0.46333	24.689	 3.006	 5.432	 8.759	73.626	35.24827							
0.46667	24.689	 3.021	 5.432	 8.728	73.611	35.24949							
0.47000	24.674	 3.021	 5.432	 8.759	73.611	35.25193							
0.47333	24.705	 3.037	 5.432	 8.774	73.611	35.25071							
0.47667	24.720	 3.037	 5.417	 8.759	73.595	35.24705							
0.48000	24.689	 3.037	 5.432	 8.774	73.580	35.24583							
0.48333	24.720	 3.037	 5.432	 8.805	73.611	35.24827							
0.48667	24.705	 3.037	 5.432	 8.789	73.641	35.25010							
0.49000	24.689	 3.037	 5.417	 8.789	73.641	35.24827							
0.49333	24.689	 3.052	 5.432	 8.820	73.641	35.24705							
0.49667	24.705	 3.052	 5.402	 8.805	73.641	35.24705							
0.50000	24.705	 3.037	 5.402	 8.774	73.626	35.25071							
0.50333	24.735	 3.021	 5.371	 8.759	73.626	35.25254							
0.50667	24.735	 3.006	 5.402	 8.728	73.641	35.25071							
0.51000	24.720	 2.991	 5.417	 8.698	73.656	35.24888							
