Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-04-13\2023-04-13_20;13;53_TP88_01.vdt
Sample ID	TP88
Method File Name	PS CONV-0003.vcm
Date Acquired	Apr 13, 2023 - 20:13:53
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.889

Ret. Vol.	 15.34
Mn - (Daltons)	 29613
Mw - (Daltons)	 49639
Mz - (Daltons)	 73707
Mp - (Daltons)	 45160
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	114.35
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	27.924	 3.052	 5.570	 8.774	73.778	35.27024							
0.00333	27.848	 2.976	 5.570	 8.774	73.931	35.22141							
0.00667	27.619	 3.052	 5.646	 8.850	73.550	34.98031							
0.01000	27.543	 2.976	 5.417	 8.850	73.397	34.72091							
0.01333	27.680	 3.006	 5.524	 8.820	73.611	34.94674							
0.01667	27.573	 2.991	 5.478	 8.835	73.519	34.78255							
0.02000	27.497	 2.991	 5.432	 8.835	73.412	34.62935							
0.02333	27.451	 2.976	 5.402	 8.820	73.428	34.52925							
0.02667	27.451	 2.991	 5.387	 8.789	73.473	34.47981							
0.03000	27.436	 2.991	 5.387	 8.789	73.504	34.46638							
0.03333	27.467	 2.991	 5.402	 8.774	73.580	34.47981							
0.03667	27.482	 2.991	 5.432	 8.789	73.672	34.50606							
0.04000	27.512	 2.991	 5.417	 8.789	73.717	34.53474							
0.04333	27.543	 2.976	 5.432	 8.805	73.778	34.56526							
0.04667	27.589	 2.976	 5.417	 8.789	73.855	34.59700							
0.05000	27.589	 2.976	 5.417	 8.805	73.901	34.63057							
0.05333	27.589	 2.991	 5.387	 8.774	73.931	34.66353							
0.05667	27.589	 2.991	 5.402	 8.759	73.962	34.69222							
0.06000	27.573	 3.006	 5.432	 8.759	73.962	34.71847							
0.06333	27.558	 3.021	 5.448	 8.759	73.977	34.74654							
0.06667	27.604	 3.021	 5.448	 8.759	74.023	34.77645							
