Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_17;26;29_TP8R2_01.vdt
Sample ID	TP8R2
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 17:26:29
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	35.037

Ret. Vol.	 15.70
Mn - (Daltons)	 18426
Mw - (Daltons)	 26757
Mz - (Daltons)	 37114
Mp - (Daltons)	 23895
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	112.72
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	 8.240	 3.052	74.694	47.380	25.330	35.36790							
0.00333	 8.164	 2.976	74.770	47.456	25.407	35.30381							
0.00667	 7.935	 2.976	74.694	47.380	25.178	35.08713							
0.01000	 7.859	 2.899	74.694	47.304	24.796	34.90707							
0.01333	 8.011	 2.976	74.709	47.380	25.147	35.09385							
0.01667	 7.920	 2.960	74.679	47.365	25.086	34.97421							
0.02000	 7.843	 2.960	74.664	47.349	25.056	34.86862							
0.02333	 7.797	 2.945	74.679	47.349	25.071	34.80392							
0.02667	 7.782	 2.960	74.664	47.349	25.178	34.77340							
0.03000	 7.767	 2.960	74.633	47.334	25.254	34.76546							
0.03333	 7.782	 2.945	74.664	47.334	25.346	34.77279							
0.03667	 7.797	 2.930	74.664	47.319	25.391	34.78622							
0.04000	 7.828	 2.930	74.618	47.304	25.452	34.80270							
0.04333	 7.843	 2.930	74.633	47.304	25.513	34.82162							
0.04667	 7.874	 2.945	74.648	47.319	25.575	34.84481							
0.05000	 7.874	 2.960	74.648	47.319	25.636	34.86923							
0.05333	 7.904	 2.960	74.618	47.334	25.712	34.88876							
0.05667	 7.935	 2.976	74.633	47.349	25.773	34.90768							
0.06000	 7.965	 2.960	74.633	47.349	25.788	34.92721							
0.06333	 7.965	 2.945	74.648	47.334	25.788	34.94857							
0.06667	 7.996	 2.945	74.648	47.319	25.788	34.96566							
0.07000	 8.011	 2.945	74.664	47.319	25.773	34.98276							
0.07333	 7.996	 2.945	74.694	47.334	25.758	34.99680							
0.07667	 7.996	 2.960	74.725	47.334	25.758	35.01266							
0.08000	 8.011	 2.960	74.725	47.334	25.788	35.02792							
0.08333	 8.011	 2.945	74.709	47.365	25.788	35.04074							
0.08667	 8.026	 2.945	74.740	47.349	25.758	35.05051							
0.09000	 8.057	 2.945	74.740	47.319	25.727	35.06149							
0.09333	 8.042	 2.945	74.725	47.319	25.712	35.07553							
0.09667	 8.072	 2.930	74.725	47.334	25.666	35.08835							
0.10000	 8.087	 2.930	74.725	47.304	25.620	35.09873							
0.10333	 8.072	 2.945	74.725	47.304	25.605	35.10605							
0.10667	 8.057	 2.960	74.725	47.288	25.575	35.11643							
0.11000	 8.072	 2.976	74.679	47.273	25.544	35.12558							
0.11333	 8.057	 2.991	74.664	47.212	25.498	35.13352							
0.11667	 8.057	 3.006	74.679	47.212	25.468	35.13779							
0.12000	 8.057	 3.006	74.648	47.197	25.422	35.14267							
0.12333	 8.118	 2.991	74.618	47.197	25.407	35.14878							
0.12667	 8.118	 2.976	74.633	47.212	25.376	35.15488							
0.13000	 8.118	 2.960	74.648	47.258	25.376	35.15732							
0.13333	 8.103	 2.960	74.648	47.273	25.376	35.15915							
0.13667	 8.087	 2.960	74.664	47.288	25.361	35.16098							
0.14000	 8.042	 2.976	74.679	47.304	25.330	35.16587							
0.14333	 8.057	 2.976	74.709	47.304	25.315	35.16892							
0.14667	 8.042	 2.991	74.725	47.288	25.269	35.17014							
0.15000	 8.026	 2.991	74.740	47.319	25.224	35.17014							
0.15333	 8.042	 2.991	74.755	47.334	25.208	35.17380							
0.15667	 8.042	 2.976	74.755	47.349	25.178	35.17746							
0.16000	 8.026	 2.976	74.694	47.365	25.147	35.18052							
0.16333	 8.026	 2.976	74.679	47.395	25.101	35.18052							
0.16667	 8.057	 2.976	74.664	47.380	25.056	35.18357							
0.17000	 8.042	 2.991	74.664	47.365	25.010	35.18967							
0.17333	 8.042	 2.991	74.679	47.365	24.979	35.19577							
0.17667	 8.057	 2.991	74.725	47.349	24.934	35.19822							
0.18000	 8.072	 2.976	74.725	47.349	24.903	35.20005							
0.18333	 8.072	 2.976	74.725	47.349	24.888	35.20249							
0.18667	 8.087	 2.960	74.725	47.349	24.873	35.20676							
0.19000	 8.103	 2.945	74.694	47.349	24.842	35.20737							
0.19333	 8.103	 2.945	74.679	47.334	24.812	35.20798							
0.19667	 8.087	 2.960	74.694	47.334	24.812	35.20981							
