Data File	C:\Users\user\Documents\OmniSEC Data\THF\2023-04-13\2023-04-13_23;20;31_TP94_01.vdt
Sample ID	TP94
Method File Name	PS CONV-0003.vcm
Date Acquired	Apr 13, 2023 - 23:20:31
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 4.000	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	34.929

Ret. Vol.	 15.60
Mn - (Daltons)	 23285
Mw - (Daltons)	 37205
Mz - (Daltons)	 54011
Mp - (Daltons)	 32186
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	 37.34
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	32.502	 2.976	 5.570	 8.774	73.550	35.36485							
0.00333	32.350	 3.052	 5.570	 8.774	73.397	35.25193							
0.00667	32.044	 2.976	 5.493	 8.850	73.244	34.93454							
0.01000	32.044	 2.976	 5.570	 8.927	72.863	34.69954							
0.01333	32.167	 3.006	 5.539	 8.805	73.199	34.97116							
0.01667	32.044	 3.006	 5.509	 8.805	73.092	34.81246							
0.02000	31.968	 3.006	 5.493	 8.805	73.031	34.66842							
0.02333	31.922	 3.006	 5.493	 8.789	73.031	34.58296							
0.02667	31.907	 3.006	 5.493	 8.744	73.138	34.55061							
0.03000	31.922	 3.006	 5.493	 8.728	73.214	34.54939							
0.03333	31.938	 3.006	 5.509	 8.759	73.305	34.56221							
0.03667	31.938	 3.006	 5.493	 8.759	73.382	34.58296							
0.04000	31.999	 3.006	 5.493	 8.759	73.458	34.60982							
0.04333	32.014	 3.006	 5.463	 8.774	73.489	34.64156							
0.04667	32.060	 2.991	 5.448	 8.805	73.580	34.67269							
0.05000	32.105	 3.006	 5.448	 8.789	73.626	34.69954							
0.05333	32.151	 2.991	 5.463	 8.789	73.656	34.72518							
0.05667	32.167	 2.991	 5.448	 8.789	73.656	34.75387							
0.06000	32.167	 3.006	 5.463	 8.774	73.687	34.78255							
0.06333	32.182	 3.021	 5.509	 8.774	73.702	34.80880							
0.06667	32.167	 3.021	 5.509	 8.759	73.748	34.82955							
